Tissue,Phase,Baseline_Velocity_Pred,Rescued_Velocity_Pred,Delta_Velocity
Lung,Phase_II,1.9045094982894608,1.888505472351709,-0.016004025937751853
Skeletal_muscle_EDL,Phase_II,1.7857302970625224,1.7723419310028594,-0.013388366059662982
Ovary_Cortex,Phase_II,2.0920897892784662,2.066466946350789,-0.025622842927677247
Skin dermis,Phase_II,2.0911156933806385,1.9981350767463908,-0.09298061663424773
Skeletal_muscle_TA,Phase_II,1.955220121542284,1.9262431872901427,-0.028976934252141318
Skeletal_muscle_Gastrocnemius,Phase_II,1.8291905351916922,1.7959129371186044,-0.03327759807308772
Intervertebral_disc_OAF,Phase_II,1.870304962404356,1.8283190692738276,-0.04198589313052836
Kidney_Glomerular,Phase_II,1.7894758562453015,1.7299685289860756,-0.05950732725922592
Brain_Cortex,Phase_II,1.6983786003804502,1.6820607887615506,-0.016317811618899558
Intervertebral_disc_IAF,Phase_II,1.697975186354542,1.705746301392509,0.0077711150379669025
Skeletal_muscle_Soleus,Phase_II,1.6514308567227654,1.6498891810634129,-0.0015416756593524816
Heart_Native_Tissue,Phase_I,1.8173572843648091,1.7928766636486957,-0.024480620716113455
Brain_Hippocampus,Phase_I,1.4494980403764433,1.465798199875268,0.016300159498824796
Ovary,Phase_I,1.4459648309865754,1.3653539911963646,-0.08061083979021078
Intervertebral_disc_NP,Phase_I,1.3483772623393744,1.2757279274389484,-0.07264933490042602
Heart_Decellularized_Tissue,Phase_I,1.7725605484251399,1.754855026125723,-0.01770552229941691
Kidney_Tubulointerstitial,Phase_I,0.9514732035079904,0.9652037143705473,0.013730510862556944
