Tissue,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Lung,0.37445232,2.5653863,7.4028482,2.9171638,5.5358377,6.454494,-1.5433198,1.0486324,-10.18598,-7.8049717,0.5664996,1.7195277,6.2233825,1.5910068,-8.544049,1.4264563,-6.569718,-3.6624308,-0.35924044,-6.986963,1.9382472,-7.189973,-0.6999338,3.2252707,-5.694674,-5.8194013,7.3587875,-0.3715833,-6.217349,-3.9501302,1.9964979,5.357031
Skeletal_muscle_EDL,-1.2667179,-1.3228033,-2.4944012,-2.1707935,1.3827825,5.852923,2.0210986,0.23909688,0.17649621,-0.23548616,-2.50005,-1.1067777,-3.7532825,5.226139,2.1332498,-0.37463462,1.2683806,2.2554054,-0.47673944,2.2389781,5.284392,-0.3206166,2.3922956,-3.4413283,0.75921035,3.7420006,2.3664272,-0.1634098,-1.2741332,-2.2347262,-0.7844303,-2.7283213
Ovary_Cortex,0.9906343,0.5056403,1.2272729,-4.845475,-1.7649843,4.7094345,0.3185596,5.103637,-6.7496867,-3.3919072,-1.9878868,1.0362844,0.47757232,6.185656,-2.4662359,0.09146178,-4.533743,-2.3461907,2.3082654,-3.287625,6.4981155,-4.573976,3.3302524,3.2695222,-0.9375029,3.316775,0.6188522,-6.2586846,-1.3600836,-4.0868163,-8.3290825,-1.6780524
Skin dermis,4.9616866,5.806989,4.3050704,-3.9375634,-5.062272,-4.190583,-2.1408923,4.5975976,-5.19398,-4.785681,7.0745473,-4.5393925,9.415241,-5.994519,-4.423134,5.054086,-6.780446,-2.6674516,-0.047500815,4.865961,5.535612,3.8809185,-2.0551896,3.1116674,5.355474,4.4234915,1.07819,-7.776233,4.771299,-3.0108235,-10.28894,0.043347545
Skeletal_muscle_TA,-2.730621,-3.3811016,-2.0010233,0.017689653,3.1529536,3.7987206,5.56151,-1.2929113,-0.07772049,-1.4485537,-1.9321861,1.8540725,-1.8901489,3.226744,2.761594,-4.2791734,3.3804493,5.426097,-2.044845,2.1750567,6.0536647,2.1574697,-2.2986853,-5.4963613,-5.8336697,2.8766456,4.1134176,-1.5303087,-0.1501813,-0.0285925,-1.5736212,0.7253455
Skeletal_muscle_Gastrocnemius,0.1643258,-2.265988,-5.5838113,1.4280953,5.2081237,5.0485287,2.158372,1.423521,3.614226,-5.2208285,-1.6526703,0.27862146,-0.5126153,1.626481,3.614804,-1.4046448,-2.47252,5.159005,1.0077618,3.8567498,2.9057546,-2.508352,1.340555,-0.60473174,0.723915,5.143814,5.0270658,2.927475,-0.30995068,1.6259166,2.453268,-2.9383607
Intervertebral_disc_OAF,-2.5724177,0.6122426,4.8817267,6.8632216,-6.954426,2.0351262,-4.0555854,1.0341144,-2.0323439,0.16430366,4.3551683,7.9346457,4.4586554,0.20574883,-2.7608707,-7.008547,-4.092772,-1.0298921,-1.9819392,-1.0078541,1.7204063,-3.4747994,-6.166296,3.2914166,0.29207402,-6.9828324,1.1664553,-9.773595,-0.9777854,2.4973304,-0.9615226,-0.07941333
Kidney_Glomerular,5.755133,-1.484613,-2.5565486,-2.2483444,4.8493176,3.7979674,3.9224725,-0.4392082,-7.7702622,-6.2105327,-1.5570594,4.0569587,-2.8165238,0.24521323,0.91277206,-4.970032,-4.044691,3.510945,-4.252473,-3.9395056,2.1525545,-1.1690054,2.3346207,1.0013252,-0.33615893,3.005749,-7.21117,0.39542478,-5.48079,-1.32396,-0.12043513,1.6148307
Brain_Cortex,-0.6716795,0.6618682,-1.0954877,2.966112,6.8027325,-2.4090283,3.36349,-2.931424,-5.614678,2.3367648,5.749487,0.19068474,-4.6158147,-1.4665244,-4.7259393,-4.2217865,-3.0536745,-3.8707192,-5.796273,8.657228,-2.9390442,1.2705357,0.48726198,-9.23739,1.7964102,-0.034851734,-3.2075095,-0.5463225,3.1875758,-6.5853524,-2.8956425,-1.0947299
Intervertebral_disc_IAF,-3.12532,3.7219067,7.7783294,3.994406,-1.9278263,-5.6103334,-3.522673,-2.5812976,-1.9313505,-3.9638782,-1.7941189,8.048531,9.527521,-1.8058648,0.8234106,-7.2031417,7.762134,8.900113,2.335235,-2.2623413,-0.099844314,6.2106295,-1.6377453,-3.8213155,3.5996048,-0.9458971,4.517285,-1.0704482,4.8122773,0.29166776,-0.2174539,4.3242974
Skeletal_muscle_Soleus,-5.360864,-3.8121862,-0.30774602,-3.7355394,-1.740892,4.2146015,-0.22563551,6.305635,2.9829066,-1.6292448,1.4645699,-3.821399,-4.849791,0.37905285,0.17344438,4.7902017,0.3730445,1.4597982,0.6707066,3.5219412,5.5255647,-2.2789214,3.562161,1.2571597,4.5105863,4.132122,2.0662084,1.6229024,-2.7725506,-3.6715474,-1.6296301,-1.3457649
Heart_Native_Tissue,-7.4505453,-5.6510267,-0.75159836,0.22053069,0.6699132,3.227723,1.368072,1.9147317,1.4022913,-2.3279347,6.3519373,5.935157,-3.902694,-8.997734,2.2616713,-0.1745909,-4.113315,3.3927872,3.1276848,-5.9326897,4.3685126,-9.857399,3.4982393,3.2360542,-4.802779,-7.4322205,-0.88139445,2.1443665,2.1878705,5.336514,2.1301348,-5.945706
