Tissue,Mean_Delta,Velocity,N_Markers,Upregulated_Pct,Downregulated_Pct,Bootstrap_CI,Velocity_Rank,Phase
Lung,-2.468420068888548,4.162418661183056,8,12.5,87.5,"[2.535, 5.763]",1,Phase_II
Skeletal_muscle_EDL,-1.5866143816707448,2.1738021055823493,5,20.0,80.0,"[1.006, 3.360]",2,Phase_II
Ovary_Cortex,-1.3307991245259048,2.0921174870763606,16,18.75,81.25,"[1.683, 2.517]",3,Phase_II
Skin dermis,1.5302777350511478,2.091129248165303,34,82.35294117647058,17.647058823529413,"[1.818, 2.353]",4,Phase_II
Skeletal_muscle_TA,-1.3855189411162918,1.9552397727644704,6,16.666666666666664,83.33333333333334,"[1.296, 2.761]",5,Phase_II
Skeletal_muscle_Gastrocnemius,0.3641291528547818,1.8983645516982757,12,50.0,50.0,"[1.295, 2.820]",6,Phase_II
Intervertebral_disc_OAF,0.1881873782494814,1.870316585116976,38,42.10526315789473,57.89473684210527,"[1.437, 2.350]",7,Phase_II
Kidney_Glomerular,1.4895636070057785,1.7894837018395124,18,88.88888888888889,11.11111111111111,"[1.514, 2.086]",8,Phase_II
Brain_Cortex,1.3271959115652223,1.6983804366068975,10,90.0,10.0,"[1.187, 2.336]",9,Phase_II
Intervertebral_disc_IAF,-0.0583989537118646,1.6979697582453006,25,28.000000000000004,72.0,"[1.175, 2.291]",10,Phase_II
Skeletal_muscle_Soleus,0.243743064647656,1.6514273463924554,7,57.14285714285714,42.85714285714285,"[1.006, 2.366]",11,Phase_II
Heart_Native_Tissue,0.7234588025280262,1.6346478411541698,38,47.368421052631575,52.63157894736842,"[1.293, 2.021]",12,Phase_I
Brain_Hippocampus,0.4685379303171462,1.449479842265239,12,50.0,50.0,"[0.962, 2.029]",13,Phase_I
Ovary,0.1940111647355755,1.4459533416596355,11,63.63636363636363,36.36363636363637,"[1.105, 1.825]",14,Phase_I
Intervertebral_disc_NP,0.198216600380201,1.3483618382854905,26,38.46153846153847,61.53846153846154,"[0.897, 1.847]",15,Phase_I
Heart_Decellularized_Tissue,0.685629548945825,1.186435355652691,7,57.14285714285714,42.85714285714285,"[0.714, 1.736]",16,Phase_I
Kidney_Tubulointerstitial,-0.2183330017135122,0.9514450451015464,7,42.85714285714285,57.14285714285714,"[0.696, 1.218]",17,Phase_I
