Protein,Degree,Betweenness,Eigenvector,Closeness,PageRank,Katz,Subgraph
1810010H24RIK,0.1276127612761276,4.168656903685451e-05,0.018095511139393346,0.7925601777566331,0.0012808169915111852,0.023893474050045348,7.242378884632615e+59
ADAMTSL1,0.11661166116611661,0.00035765979576770333,0.012207186272358771,0.7718235120850507,0.0011327657345389904,0.018130882650404533,3.9523281348515563e+59
ADAMTSL3,0.1276127612761276,6.053835926911343e-05,0.022498878375604058,0.7216092612125095,0.001180496282062824,0.02559891572794567,1.1371388189084297e+60
ADAMTSL4,0.1243124312431243,0.0015514216619899874,0.01042636545818444,0.7898631831942153,0.001060648906394806,0.016351627514547752,4.335693754008491e+59
ADAMTSL5,0.0836083608360836,0.0005791328031481563,0.0062780660586044595,0.6849319789677267,0.0008343997002134175,0.012034362292330293,1.4700179007296623e+59
ANGPT1,0.1276127612761276,4.168656903685451e-05,0.018095511139393346,0.7925601777566331,0.0012808169915111852,0.023893474050045348,7.242378884632633e+59
ANGPT2,0.1276127612761276,4.168656903685451e-05,0.018095511139393346,0.7925601777566331,0.0012808169915111852,0.023893474050045348,7.24237888463263e+59
ANXA8,0.11001100110011,9.854142536133204e-05,0.011155593226256508,0.7565249186024091,0.0010571141363662623,0.017025018133105675,3.4004538300471995e+59
ANXA9,0.1276127612761276,4.168656903685451e-05,0.018095511139393346,0.7925601777566331,0.0012808169915111852,0.023893474050045348,7.242378884632636e+59
BMP3,0.2354235423542354,0.0007475417145238754,0.08061172279262152,0.8553399666605048,0.0018574798482207907,0.06531018049780338,1.0602966076442407e+61
BMP5,0.1276127612761276,4.168656903685451e-05,0.018095511139393346,0.7925601777566331,0.0012808169915111852,0.023893474050045348,7.24237888463264e+59
BMP6,0.22332233223322331,0.0015542262335223552,0.0630141304601568,0.8343863835520156,0.0017076174052423102,0.05364210318432314,8.468853851665777e+60
BMPER,0.1221122112211221,0.0005524108455877404,0.016934070030353965,0.8098691857423503,0.0011041191771881701,0.021144733509713094,7.553598601958997e+59
C1QTNF2,0.11001100110011,9.854142536133204e-05,0.011155593226256508,0.7565249186024091,0.0010571141363662623,0.017025018133105675,3.4004538300472173e+59
C1QTNF7,0.15841584158415842,0.0004749373615775672,0.022741309687423106,0.7762100910833845,0.0012837904509244982,0.025758749769518575,1.4896693223355026e+60
CCL21C;CCL21B;CCL21A,0.1276127612761276,4.0232679154474206e-05,0.018095511139393346,0.7925601777566331,0.0012808169915111852,0.023893474050045348,7.242378884632637e+59
CHAD,0.2431243124312431,0.00017567836078762058,0.08233546114937162,0.8565815575895132,0.0019066812020029085,0.06691540232888625,1.1348195720018934e+61
CHRDL1,0.1276127612761276,4.0232679154474206e-05,0.018095511139393346,0.7925601777566331,0.0012808169915111852,0.023893474050045348,7.242378884632637e+59
CILP2,0.2134213421342134,0.0021947679349432737,0.06655703701034145,0.8540001755486609,0.0016404830314514297,0.0551038641790178,8.506238272120962e+60
CLEC1A,0.1276127612761276,4.0232679154474206e-05,0.018095511139393346,0.7925601777566331,0.0012808169915111852,0.023893474050045348,7.242378884632637e+59
COL4A3,0.1243124312431243,0.00017527450248695954,0.012142436830507046,0.7996202393238727,0.0011443844614877083,0.017919099752544528,4.800833011445334e+59
COL4A4,0.1243124312431243,0.0003622608956930935,0.012111608059754605,0.8017142305868725,0.0011433526239075723,0.01789430333058729,4.8008330114453315e+59
COL4A6,0.11991199119911991,0.0005306698070688126,0.011279555810294514,0.7804729659997355,0.0010613563391679564,0.016910177168848902,4.582526768049952e+59
COL6A4,0.099009900990099,7.107906091637065e-05,0.009117575330370246,0.7729252027164822,0.001042135325643297,0.015399287497668782,2.1021613843628383e+59
COL6A5,0.1397139713971397,0.0017444659297060387,0.012263592116550929,0.7966068956567601,0.0012116917793245142,0.017981072156602006,5.2534304545526346e+59
COLEC12,0.099009900990099,7.107906091637065e-05,0.009117575330370248,0.7729252027164822,0.001042135325643297,0.015399287497668782,2.1021613843628383e+59
COLQ,0.1276127612761276,4.0232679154474206e-05,0.018095511139393346,0.7925601777566331,0.0012808169915111852,0.023893474050045348,7.24237888463264e+59
CRELD1,0.1265126512651265,0.009354973676515959,0.012028193799618952,0.8631388127863412,0.0012031925392096976,0.019664267213122522,3.5220664162962704e+59
CRELD2,0.1276127612761276,6.053835926911343e-05,0.022498878375604058,0.7216092612125095,0.001180496282062824,0.02559891572794567,1.1371388189082857e+60
CRISPLD2,0.1221122112211221,0.0005790654934313793,0.016934070030353965,0.8098691857423503,0.0011041191771881704,0.021144733509713094,7.55359860195899e+59
CRLF3,0.1276127612761276,4.0232679154474206e-05,0.018095511139393346,0.7925601777566331,0.0012808169915111852,0.023893474050045348,7.24237888463264e+59
CTSH,0.1276127612761276,6.053835926911343e-05,0.022498878375604058,0.7216092612125095,0.001180496282062824,0.02559891572794567,1.1371388189082857e+60
CTSL,0.1397139713971397,0.0023526765305018015,0.016214126928722435,0.8062992737639241,0.0011839146519447893,0.020583769033899364,8.59427499434516e+59
