Protein,Consensus,Consensus_Rank,Degree,Betweenness,Eigenvector,Closeness,PageRank,Katz,Subgraph
Bgn,3.3274448966526804,1,0.1639163916391639,0.0821641635529191,0.0183809136601556,0.9643074974342764,0.0012926177942878,0.0343588025444456,2.6078330794790428e+59
LOX,2.402149031495693,2,0.2156215621562156,0.0294865739571463,0.0607682821352272,0.9535473650066096,0.0016186653985699,0.0514807107642826,7.449665014245849e+60
S100A1,2.2649068586019014,3,0.2167216721672167,0.0240590522176803,0.0617897815901176,0.961599075251264,0.0016802078841585,0.0521803981722588,7.453749114893764e+60
FSTL1,2.0345871012723467,4,0.2574257425742574,0.0056807442858823,0.0782869739735969,0.876493463540396,0.0019324497517902,0.0642191876414195,1.1690130026159251e+61
COMP,2.012455685951091,5,0.2343234323432343,0.0001484523088115,0.096636274801922,0.8396332797276661,0.0019556881966077,0.0750097912306549,1.4179208927854955e+61
CTGF,2.012455685951091,6,0.2343234323432343,0.0001484523088115,0.096636274801922,0.8396332797276661,0.0019556881966077,0.0750097912306549,1.4179208927854955e+61
NOV,2.0124091386370897,7,0.2343234323432343,0.0001471195764193,0.096636274801922,0.8396332797276661,0.0019556881966077,0.0750097912306549,1.4179208927854955e+61
LOXL4,2.0124091386370897,8,0.2343234323432343,0.0001471195764193,0.096636274801922,0.8396332797276661,0.0019556881966077,0.0750097912306549,1.4179208927854955e+61
IGF2,2.012392212341089,9,0.2343234323432343,0.0001466349464585,0.096636274801922,0.8396332797276661,0.0019556881966077,0.0750097912306549,1.4179208927854955e+61
HABP2,2.012392212341089,10,0.2343234323432343,0.0001466349464585,0.096636274801922,0.8396332797276661,0.0019556881966077,0.0750097912306549,1.4179208927854955e+61
COL9A1,2.0061788988474825,11,0.2343234323432343,0.0001270468068772,0.0965896712255107,0.8384161342361602,0.0019522428683529,0.0749328765712428,1.415067313662893e+61
SCUBE1,2.005950393851478,12,0.2343234323432343,0.0001205043024065,0.0965896712255107,0.8384161342361602,0.0019522428683529,0.0749328765712428,1.4150673136628931e+61
PDGFC,2.005950393851478,13,0.2343234323432343,0.0001205043024065,0.0965896712255107,0.8384161342361602,0.0019522428683529,0.0749328765712428,1.4150673136628931e+61
PAMR1,2.005950393851478,14,0.2343234323432343,0.0001205043024065,0.0965896712255107,0.8384161342361602,0.0019522428683529,0.0749328765712428,1.4150673136628934e+61
BMP1,2.0054524786441315,15,0.2343234323432343,0.0001062481043931,0.0965896712255107,0.8384161342361602,0.0019522428683529,0.0749328765712428,1.4150673136628931e+61
CHRD,2.0054524786441315,16,0.2343234323432343,0.0001062481043931,0.0965896712255107,0.8384161342361602,0.0019522428683529,0.0749328765712428,1.4150673136628931e+61
WISP3,2.005336815621463,17,0.2343234323432343,0.0001029364663277,0.0965896712255107,0.8384161342361602,0.0019522428683529,0.0749328765712428,1.4150673136628934e+61
SPP1,2.00525218414146,18,0.2343234323432343,0.0001005133165237,0.0965896712255107,0.8384161342361602,0.0019522428683529,0.0749328765712428,1.4150673136628934e+61
IL17B,1.966217935102017,19,0.2321232123212321,0.0001540046319854,0.0955768451236836,0.8364412125478241,0.0019358941702347,0.0741974548546583,1.381449191377438e+61
CRISPLD1,1.966217935102017,20,0.2321232123212321,0.0001540046319854,0.0955768451236836,0.8364412125478241,0.0019358941702347,0.0741974548546583,1.381449191377438e+61
CLEC3A,1.966217935102017,21,0.2321232123212321,0.0001540046319854,0.0955768451236836,0.8364412125478241,0.0019358941702347,0.0741974548546583,1.381449191377438e+61
ECM2,1.9654725533695125,22,0.2398239823982398,0.0087356064901644,0.0766269049612449,0.8655794010855035,0.0018546918470711,0.0625900744032009,1.0285449415923763e+61
THBS3,1.9613183664596439,23,0.1969196919691969,0.012377287655344,0.0753694756260617,0.9375853453506982,0.0016105144293938,0.0597668598832144,9.666123572681112e+60
FGFBP2,1.9413324906370675,24,0.2288228822882288,0.0001677358142079,0.0954305875473245,0.8353531001961544,0.0019230205876363,0.0740950222358017,1.3617533814448595e+61
TIMP2,1.9411632276770658,25,0.2288228822882288,0.0001628895146,0.0954305875473246,0.8353531001961544,0.0019230205876363,0.0740950222358017,1.3617533814448595e+61
KERA,1.9404861758370477,26,0.2288228822882288,0.0001435043161682,0.0954305875473245,0.8353531001961544,0.0019230205876363,0.0740950222358017,1.3617533814448595e+61
GDF6,1.8578716315781538,27,0.2211221122112211,6.996040166537837e-05,0.0944717693651116,0.8322760915919265,0.0018783914882219,0.0730217015993128,1.3050206572645382e+61
CCL14,1.8578716315781538,28,0.2211221122112211,6.996040166537837e-05,0.0944717693651116,0.8322760915919265,0.0018783914882219,0.0730217015993128,1.3050206572645382e+61
PRSS3P2;PRSS2;PRSS1,1.8578081579681525,29,0.2211221122112211,6.814303931240297e-05,0.0944717693651116,0.8322760915919265,0.0018783914882219,0.0730217015993128,1.3050206572645382e+61
HHIP,1.8578081579681525,30,0.2211221122112211,6.814303931240297e-05,0.0944717693651116,0.8322760915919265,0.0018783914882219,0.0730217015993128,1.3050206572645382e+61
MASP1,1.8578081579681525,31,0.2211221122112211,6.814303931240297e-05,0.0944717693651116,0.8322760915919265,0.0018783914882219,0.0730217015993128,1.3050206572645382e+61
IL11,1.8425230162260235,32,0.22002200220022,2.110108447454091e-05,0.0940636797518904,0.833167220726241,0.0018690543743511,0.072712119338623,1.295156884125162e+61
