Protein,Original_Degree,Delta_Edges,Delta_Num_Components,Delta_Largest_Component_Size,Delta_Density,Delta_Avg_Clustering,Delta_Avg_Degree,Impact_Score
SERPING1,126,126,0,1,4.710496706832046e-05,-8.180583712918965e-05,0.15999951643516397,53.008175748064566
SERPINE2,124,124,0,1,4.225866746039586e-05,-0.00025571631744097933,0.15559907639115522,52.181562395655654
SERPINF1,120,120,0,1,3.256606824451891e-05,-0.00012913711829659613,0.14679819630315194,50.48089567486118
SERPINF2,120,120,0,1,3.256606824451891e-05,2.3193783096564502e-05,0.14679819630315194,50.47030134134118
SERPINA3,118,118,0,1,2.771976863659431e-05,-0.00019358274824987642,0.1423977562591432,49.64333583741642
SERPINC1,108,108,0,1,3.48827059691581e-06,-0.0001210494730307099,0.12039555603912788,45.416060507694354
SERPINA1,94,94,0,1,-3.0435826658625764e-05,-0.00017460989458512044,0.08959247573109508,39.513385746769465
SERPINB8,84,84,0,1,-5.466732469829039e-05,-0.00045258053178609536,0.06759027551106556,35.321160808289264
SERPINA5,84,84,0,1,-5.466732469829039e-05,-0.00021635648567713828,0.06759027551106556,35.297538403678374
SERPINE1,68,68,0,1,-9.343772156177044e-05,-0.00042074518911144887,0.032386755159038216,28.56594207050153
SERPINH1,52,52,0,1,-0.0001322081184252505,-0.00038567243724618727,-0.0028167651930033344,21.810399591794585
SERPINB1,43,43,0,1,-0.0001540164666609528,-0.00046416488042028137,-0.022618745391014272,18.020229034131884
SERPINB6,33,33,0,1,-0.00017824796470061743,-0.00034349801459115925,-0.044620945611043794,13.78814034534868
