Protein_A,Protein_B,Correlation,P_value,Abs_Correlation
1810010H24RIK,ADAMTSL1,0.7288689868556625,0.0009029735311402593,0.7288689868556625
1810010H24RIK,ADAMTSL3,0.7288689868556625,0.0009029735311402593,0.7288689868556625
1810010H24RIK,ADAMTSL4,-0.5065607304015044,0.0379820225393794,0.5065607304015044
1810010H24RIK,ADAMTSL5,0.5370613587357513,0.026213040165845948,0.5370613587357513
1810010H24RIK,ANGPT1,1.0,0.0,1.0
1810010H24RIK,ANGPT2,1.0,0.0,1.0
1810010H24RIK,ANXA8,-0.6377603634987047,0.005880667598464436,0.6377603634987047
1810010H24RIK,ANXA9,-1.0,0.0,1.0
1810010H24RIK,BMP3,0.5485298130021853,0.022606111780429924,0.5485298130021853
1810010H24RIK,BMP5,1.0,0.0,1.0
1810010H24RIK,BMP6,0.6137844099837158,0.00877233937647742,0.6137844099837158
1810010H24RIK,BMPER,-0.6377603634987047,0.005880667598464436,0.6377603634987047
1810010H24RIK,C1QTNF2,-0.6377603634987047,0.005880667598464436,0.6377603634987047
1810010H24RIK,C1QTNF7,0.5370613587357513,0.026213040165845948,0.5370613587357513
1810010H24RIK,CCL21C;CCL21B;CCL21A,-1.0,0.0,1.0
1810010H24RIK,CHAD,0.5485298130021853,0.022606111780429924,0.5485298130021853
1810010H24RIK,CHRDL1,1.0,0.0,1.0
1810010H24RIK,CILP2,-0.5485298130021853,0.022606111780429924,0.5485298130021853
1810010H24RIK,CLEC1A,1.0,0.0,1.0
1810010H24RIK,COL4A3,0.6137844099837158,0.00877233937647742,0.6137844099837158
1810010H24RIK,COL4A4,0.6137844099837158,0.00877233937647742,0.6137844099837158
1810010H24RIK,COL4A6,0.5485298130021853,0.022606111780429924,0.5485298130021853
1810010H24RIK,COL6A4,-0.7288689868556625,0.0009029735311402593,0.7288689868556625
1810010H24RIK,COL6A5,-0.5370613587357513,0.026213040165845948,0.5370613587357513
1810010H24RIK,COLEC12,-0.7288689868556625,0.0009029735311402593,0.7288689868556625
1810010H24RIK,COLQ,1.0,0.0,1.0
1810010H24RIK,CRELD1,0.7288689868556625,0.0009029735311402593,0.7288689868556625
1810010H24RIK,CRELD2,0.7288689868556625,0.0009029735311402593,0.7288689868556625
