Protein,Metric,Rank,Total_Proteins,Percentile,Score,Is_Central
SERPINA1,Degree,524,910,57.58241758241758,0.1034103410341034,False
SERPINA3,Degree,349,910,38.35164835164836,0.1298129812981298,False
SERPINA5,Degree,598,910,65.71428571428571,0.0924092409240924,False
SERPINB1,Degree,829,910,91.0989010989011,0.0473047304730473,False
SERPINB6,Degree,877,910,96.37362637362638,0.0363036303630363,False
SERPINB8,Degree,595,910,65.38461538461539,0.0924092409240924,False
SERPINC1,Degree,442,910,48.57142857142857,0.1188118811881188,False
SERPINE1,Degree,672,910,73.84615384615385,0.0748074807480748,False
SERPINE2,Degree,322,910,35.38461538461539,0.13641364136413642,False
SERPINF1,Degree,340,910,37.362637362637365,0.132013201320132,False
SERPINF2,Degree,341,910,37.472527472527474,0.132013201320132,False
SERPING1,Degree,290,910,31.868131868131865,0.1386138613861386,False
SERPINH1,Degree,775,910,85.16483516483517,0.0572057205720572,False
SERPINA1,Betweenness,204,910,22.41758241758242,0.0015580853239508972,False
SERPINA3,Betweenness,254,910,27.912087912087912,0.001085571112177297,False
SERPINA5,Betweenness,350,910,38.46153846153847,0.0006372883984433685,False
SERPINB1,Betweenness,245,910,26.923076923076923,0.0011752276549240827,False
SERPINB6,Betweenness,284,910,31.208791208791208,0.0008868728282519882,False
SERPINB8,Betweenness,283,910,31.0989010989011,0.0008907871471660891,False
SERPINC1,Betweenness,246,910,27.032967032967033,0.0011703813553161483,False
SERPINE1,Betweenness,77,910,8.461538461538462,0.004532501708320612,True
SERPINE2,Betweenness,230,910,25.274725274725274,0.001304866169436327,False
SERPINF1,Betweenness,212,910,23.296703296703296,0.001512045477675521,False
SERPINF2,Betweenness,207,910,22.747252747252748,0.001546575362382053,False
SERPING1,Betweenness,264,910,29.010989010989015,0.001020146067470183,False
SERPINH1,Betweenness,7,910,0.7692307692307693,0.022343864342381375,True
SERPINA1,Eigenvector,200,910,21.978021978021978,0.031646795460498305,False
SERPINA3,Eigenvector,179,910,19.67032967032967,0.03469773615320707,True
SERPINA5,Eigenvector,428,910,47.03296703296703,0.014390017420176883,False
SERPINB1,Eigenvector,744,910,81.75824175824175,0.0036110196004845697,False
SERPINB6,Eigenvector,774,910,85.05494505494505,0.002949716740902094,False
SERPINB8,Eigenvector,660,910,72.52747252747253,0.006879076429509543,False
SERPINC1,Eigenvector,174,910,19.12087912087912,0.03651992769516728,True
SERPINE1,Eigenvector,648,910,71.20879120879121,0.007804971379190504,False
SERPINE2,Eigenvector,149,910,16.373626373626372,0.04433057022165205,True
SERPINF1,Eigenvector,164,910,18.021978021978022,0.03990788036841513,True
SERPINF2,Eigenvector,129,910,14.175824175824175,0.047334057321120525,True
SERPING1,Eigenvector,131,910,14.395604395604394,0.04693621948139354,True
SERPINH1,Eigenvector,785,910,86.26373626373626,0.002672698742755143,False
SERPINA1,Closeness,298,910,32.747252747252745,0.8092158029591235,False
SERPINA3,Closeness,290,910,31.868131868131865,0.8130170499245827,False
SERPINA5,Closeness,334,910,36.7032967032967,0.7984439397932432,False
SERPINB1,Closeness,602,910,66.15384615384615,0.7260753022523855,False
SERPINB6,Closeness,462,910,50.76923076923077,0.7825514798987493,False
SERPINB8,Closeness,319,910,35.05494505494505,0.8024224711173817,False
SERPINC1,Closeness,257,910,28.24175824175824,0.819790002301319,False
SERPINE1,Closeness,210,910,23.076923076923077,0.8272369884640243,False
SERPINE2,Closeness,249,910,27.362637362637365,0.8226511975693118,False
SERPINF1,Closeness,215,910,23.626373626373624,0.8265367671906967,False
SERPINF2,Closeness,212,910,23.296703296703296,0.8268589291568079,False
SERPING1,Closeness,213,910,23.406593406593405,0.8268587812973338,False
SERPINH1,Closeness,60,910,6.593406593406594,0.8881366039718565,True
SERPINA1,PageRank,692,910,76.04395604395604,0.000819813183741833,False
SERPINA3,PageRank,471,910,51.758241758241766,0.001031267407348258,False
SERPINA5,PageRank,620,910,68.13186813186813,0.0008893871495741399,False
SERPINB1,PageRank,867,910,95.27472527472527,0.0005439957386383885,False
SERPINB6,PageRank,891,910,97.91208791208791,0.0004659680288073495,False
SERPINB8,PageRank,632,910,69.45054945054945,0.0008711871781344605,False
SERPINC1,PageRank,538,910,59.120879120879124,0.0009561776775600706,False
SERPINE1,PageRank,737,910,80.98901098901099,0.0007300138592826943,False
SERPINE2,PageRank,409,910,44.94505494505495,0.0010930980427890362,False
SERPINF1,PageRank,459,910,50.43956043956044,0.0010428450328164053,False
SERPINF2,PageRank,424,910,46.59340659340659,0.001076572150487638,False
SERPING1,PageRank,421,910,46.26373626373626,0.0010827237344040123,False
SERPINH1,PageRank,807,910,88.68131868131867,0.0006355057591290152,False
SERPINA1,Katz,361,910,39.67032967032967,0.027646787193174573,False
SERPINA3,Katz,334,910,36.7032967032967,0.03054168659201077,False
SERPINA5,Katz,523,910,57.47252747252747,0.01699339453858104,False
SERPINB1,Katz,842,910,92.52747252747253,0.008181083532532354,False
SERPINB6,Katz,856,910,94.06593406593406,0.007556142726662757,False
SERPINB8,Katz,646,910,70.98901098901099,0.013221775122995607,False
SERPINC1,Katz,301,910,33.07692307692307,0.031375044128112255,False
