gene,degree_centrality,strength,betweenness_centrality,closeness_centrality,harmonic_centrality,eigenvector_centrality,pagerank,clustering_coefficient,core_number
A2M,0.1643258426966292,69.96113257030466,0.00011852273266012421,0.2860093797880792,234.93146785551073,0.039726261323471686,0.0012151702115337619,0.47540308324160063,98
A2m,0.16713483146067415,89.30081995431915,0.0020889631631346903,0.2726001424016327,241.63086291737886,0.000599909376730724,0.001989417741584048,0.5921636325361478,77
ABI3BP,0.22752808988764045,114.01331372436887,0.0008296591286208694,0.2923891484793173,263.46545814619435,0.06728116538824341,0.0018309588800182529,0.5036659574406152,100
ACAN,0.2050561797752809,101.15098739435425,0.0011812765688459046,0.2724310257435322,249.22348434976587,0.06016959618673562,0.0016537687200770632,0.5140697674537903,100
ADAM10,0.0800561797752809,35.91010331156546,0.00016905950894714942,0.2318611947932389,204.9190942169048,0.010243237715210756,0.0008495426475200961,0.3123403742576993,46
ADAM15,0.05196629213483146,24.728192459424257,0.00029630683165031055,0.24604007951212567,202.43239287012887,0.0037678823333967245,0.0007489976172438446,0.3769213810621983,32
ADAM17,0.09129213483146068,37.87898879553949,0.0006597765451413581,0.2643488999663935,214.76414747050055,0.011376153670410583,0.0008781933422625041,0.26184377328842756,47
ADAM19,0.1348314606741573,66.74813122124067,9.208401091964359e-05,0.2541170255296372,226.2662666072046,0.014264357026787184,0.001340665018528861,0.41367492161144703,59
ADAMTS5,0.1348314606741573,66.74813122124067,9.208401091964359e-05,0.2541170255296372,226.2662666072046,0.014264357026787178,0.001340665018528861,0.413674921611447,59
ADAMTSL2,0.043539325842696625,22.658419560034737,0.00012510732891902007,0.24190012256326043,205.38867601191214,0.00527432953660846,0.000658705293240553,0.45023530871058004,30
ADAMTSL4,0.0997191011235955,47.046432779997325,0.0034529622781649524,0.2887974321713797,231.23392065777864,0.007482716401407737,0.0010575334225494811,0.31818342360022456,50
ADAMTSL5,0.0547752808988764,27.50346967996351,2.592684776940217e-05,0.2393899924400441,196.81415282207686,0.003380630865436813,0.0008296075898678102,0.45614316982697084,33
ADIPOQ,0.08567415730337079,38.09252535826928,0.0006657026817743643,0.24034057757611596,204.3213406199562,0.007487541536960832,0.0010054211879877042,0.27478448657462556,46
AEBP1,0.12780898876404495,56.84170977026583,0.017473543092231755,0.33820123038296973,256.9740427246369,0.011263082551809198,0.0013586558233223494,0.23963901645707192,56
AGRN,0.125,54.81359186900212,0.01071379657284934,0.3348015371409267,254.02483654008003,0.010239825680190037,0.0013262176439911978,0.22467396808629875,56
AGT,0.1151685393258427,48.80088304644443,0.0006044659365666335,0.26760441152999825,219.5203704880951,0.008140044689396525,0.0011397813852121468,0.27262524140457134,48
AMBP,0.10112359550561797,42.97501754508147,0.0005373030547258964,0.234864435554729,201.96888566625543,0.0059880819709471995,0.0010737379332953069,0.24501087976627264,46
ANGPTL2,0.07443820224719101,32.122724829669686,0.000495820098294853,0.26319283756028433,211.17368728721263,0.006378572863097852,0.0008293653339499738,0.2515862897129674,43
ANGPTL3,0.21348314606741572,104.65247912337233,0.0003221010830170267,0.2662375856059099,247.51723637906542,0.06318257884537656,0.001720344735990871,0.5008964959721353,100
ANGPTL4,0.06741573033707865,38.8465709255989,1.6214356232995485e-05,0.23850700418535847,214.07619437799448,0.002607026530859135,0.00106518490176998,0.6501916826766575,46
ANGPTL5,0.22191011235955055,120.28572241823424,8.690884642336095e-05,0.2872440746930907,270.72075814811205,0.07184858474066355,0.0019039390958358116,0.5487640276319405,100
ANGPTL6,0.0547752808988764,27.50346967996351,2.592684776940217e-05,0.2393899924400441,196.81415282207686,0.0033806308654368137,0.0008296075898678102,0.4561431698269708,33
ANGPTL7,0.2794943820224719,152.6745948522695,0.00012391864813284241,0.3013367771710823,291.59825292035487,0.09453898357559515,0.0022951665629540935,0.550207712662559,100
ANXA1,0.17275280898876405,76.95599505315981,0.0004622386573744844,0.270501126912514,232.45864346108462,0.045089862002039426,0.0013666516977028228,0.47681567725361873,100
ANXA11,0.10393258426966293,46.64989186944399,0.0001224734904154617,0.275898585012204,223.78115599360905,0.01661142884093013,0.001009425632676739,0.36051929866729154,54
ANXA2,0.2191011235955056,101.21221068498977,0.0031290001422272793,0.32777048376796936,268.52683739996166,0.055960020204896696,0.0016992800037979104,0.44540927215783815,100
ANXA3,0.16151685393258428,76.93699446873171,0.0009850556003308101,0.25065785977844657,227.59296649710996,0.04339920856076846,0.0013588750142109276,0.49083470948637375,91
ANXA4,0.21067415730337077,97.85437759756586,0.0016316629529543767,0.3269077024997471,267.05804943320396,0.05348475587734473,0.0016447678480938823,0.44827756047012146,100
ANXA5,0.1797752808988764,76.49470076345162,0.00112596596027118,0.28568680692178394,237.04071128312447,0.04078021528417263,0.0013506251339317943,0.40034938772556816,94
ANXA6,0.19241573033707865,84.53183848705629,0.0006992841226947328,0.2863047783200857,240.61433010586293,0.04631648663473678,0.0014890862804512659,0.44364479476188506,100
ANXA7,0.10252808988764045,47.427004655465495,0.0013985682453894657,0.27613672938774014,225.33561714228986,0.016861922936218895,0.0010257876803649248,0.3790703698006278,53
ANXA8,0.08707865168539325,36.98411143158562,0.0005056969926831966,0.2665006729857311,215.73211044367082,0.014580310584785056,0.0008135356496654625,0.32276882262430884,48
ASPN,0.19662921348314605,91.91603708802843,0.0012444886929313043,0.27571873541671577,242.91980294329466,0.05300031308297231,0.0015776484362362514,0.47698513947496146,100
Acan,0.1853932584269663,103.36843623598463,9.699961503186146e-05,0.27225659725659157,248.68739994538174,0.0006890398676835976,0.0022170780137921254,0.6085956110033576,77
Adam10,0.047752808988764044,21.120736319998585,0.0169843075901958,0.2643449468787957,204.0767973460401,0.00026014863168014344,0.0007813377166166172,0.2766841525398934,26
Adam11,0.1853932584269663,103.59826712167923,4.944817962556036e-05,0.27179076196036295,248.66066753331884,0.0006879741054076003,0.0022174211190711043,0.6135786963555543,77
Adam17,0.06320224719101124,29.48379388308936,0.000440838719533073,0.21579858529409182,183.94343610760296,3.7825146497882745e-05,0.0012049616985284257,0.23684267237370316,26
Adam22,0.1853932584269663,103.59826712167923,4.944817962556036e-05,0.27179076196036295,248.66066753331884,0.0006879741054075969,0.0022174211190711043,0.6135786963555543,77
Adam23,0.1853932584269663,103.36843623598463,9.699961503186146e-05,0.27225659725659157,248.68739994538174,0.0006890398676835959,0.0022170780137921254,0.6085956110033577,77
Adam9,0.12359550561797752,53.57405344428786,0.001050901562919768,0.24311847446756832,202.7755609407995,0.00028220464948774346,0.0013581361231476772,0.49015168891127253,74
Adamtsl1,0.04073033707865169,18.57953860505875,6.650442221484749e-05,0.207666106323153,170.11672243041,1.0792431546793366e-05,0.0008937413046847767,0.30461684560309166,23
Adamtsl4,0.07162921348314606,34.34114734304307,0.0009047235259722814,0.230015616985054,192.20336718785273,6.021816874653841e-05,0.00139012284046453,0.27656484780130103,26
Adipoq,0.0702247191011236,32.148038086113104,0.0005491553279919089,0.2808801274809465,216.19459392265247,0.001395536129444012,0.0011198879347027809,0.32632060208130703,26
Aebp1,0.025280898876404494,10.812393247062065,0.0001659318257241739,0.22317518287627086,171.6693398291178,2.91638035194318e-05,0.0006044539764871971,0.18533795997636418,17
Agrn,0.056179775280898875,24.011796048550142,0.0008059545820888447,0.2131985540434477,178.78647451421654,3.117612799292502e-05,0.000969525151933291,0.182631248134245,24
Agt,0.13764044943820225,74.38135896209437,0.000683481091673383,0.22679661843240573,212.02693231548366,0.00036433822366505405,0.0016810663987664575,0.6381027971658753,77
Ambp,0.0646067415730337,28.39361045952608,0.018378925077829927,0.292851759861972,222.27744402607618,0.0021077216339156412,0.0010619741246888175,0.24327707037349444,26
Angpt1,0.06039325842696629,29.785314061405366,7.73989360250205e-05,0.21930076909091503,185.96800839001503,3.270045849981265e-05,0.0011640523743005038,0.39207179032965284,26
Angptl2,0.06039325842696629,26.586785018894584,0.0006992841226947328,0.2393852736316521,190.47450853279108,8.615520273454701e-05,0.0011239286945978538,0.2838549434908468,26
Angptl7,0.06320224719101124,28.005532873898645,0.0011575720223138799,0.25437057069182206,199.20295293292656,0.00040503836740890265,0.0010399713089442146,0.32199157620615415,26
Anxa1,0.1699438202247191,70.76962173279567,0.0009995417121003809,0.2435790495831433,210.07626977750263,0.0003160577584611089,0.001799171375899274,0.38752522457746075,77
Anxa11,0.06601123595505617,30.414205053272607,0.0004345833530871221,0.2355446951548885,194.56110493941657,7.200755782730304e-05,0.001070124591503185,0.2648724426686683,26
Anxa2,0.15730337078651685,67.36217500032595,0.003575435768580414,0.25516347703918324,214.7165435065337,0.0003459924363464198,0.0017782286733515444,0.352428868124716,75
