gene,community
A2M,0
IGFBP3,0
IGFBP7,0
KNG1,0
LOX,0
MFAP2,0
MFGE8,0
PLG,0
PRELP,0
REG1A,0
REG3A,0
S100A4,0
SERPINE2,0
SERPINF1,0
THBS4,0
TSKU,0
VWF,0
ANXA2,0
CD109,0
CSPG4,0
DPT,0
DSPP,0
FBLN2,0
ITIH3,0
HAPLN1,0
LAMA5,0
FSTL3,0
FGB,0
TIMP2,0
TNFAIP6,0
TNXB,0
VCAN,0
VTN,0
ANGPTL3,0
ANXA3,0
ANXA6,0
ASPN,0
BMP6,0
CCL16,0
CCN1,0
CD209,0
CLEC3B,0
COL11A1,0
COL11A2,0
COL9A2,0
COL9A3,0
CST3,0
CTSA,0
ECM2,0
FBN3,0
FGA,0
FNDC1,0
LGALS3,0
LPA,0
MATN2,0
DCN,0
EMILIN1,0
F12,0
IGFALS,0
LGALS1,0
LTBP1,0
LUM,0
MXRA5,0
P3H1,0
PCOLCE,0
S100A1,0
S100A10,0
SERPING1,0
SPARC,0
SRPX,0
SRPX2,0
TGFB1,0
TGFBI,0
TGM2,0
THBS2,0
TNC,0
VWA1,0
ANXA8,0
CXCL12,0
CTHRC1,0
COL8A1,0
COL6A3,0
P4HA1,0
P4HA2,0
SERPINC1,0
SERPIND1,0
ABI3BP,0
CCL18,0
COL4A1,0
F2,0
FCN2,0
MASP2,0
PRSS2,0
SULF2,0
SMOC2,0
VIT,0
ANXA1,0
ANXA4,0
ANXA5,0
BGN,0
CILP,0
COL12A1,0
COL2A1,0
COL5A1,0
COL5A2,0
COL6A1,0
THBS3,0
SPP1,0
LRG1,0
SNED1,0
EFEMP1,0
EFEMP2,0
EMILIN3,0
EPYC,0
F7,0
FBLN7,0
FBN1,0
FCN3,0
FGFBP2,0
FGG,0
FMOD,0
FRZB,0
EDIL3,0
FSTL1,0
GPC1,0
HABP2,0
HAPLN3,0
HHIP,0
HPX,0
HRG,0
IGF2,0
IGFBP2,0
IGFBP5,0
IL11,0
IL17B,0
ITIH1,0
GDF6,0
ITIH2,0
ECM1,0
CTSD,0
ACAN,0
ADAM17,0
ANGPTL5,0
ANGPTL7,0
BCAN,0
BMP1,0
BMP3,0
CCL14,0
CCN2,0
CCN3,0
CCN6,0
CHAD,0
CXCL10,0
CHADL,0
CILP2,0
CLEC3A,0
COL14A1,0
COL15A1,0
COL1A1,0
COL1A2,0
COL3A1,0
COL6A2,0
COL9A1,0
COMP,0
CRISPLD1,0
CRLF1,0
