gene,consensus_z,consensus_rank
Lamb2,2.70098609518382,1.0
TNXB,1.92634709560767,2.0
LRG1,1.7172518926729443,3.0
COL11A2,1.7032979181003638,4.0
HHIP,1.479203328096192,5.0
GDF6,1.479188111046747,6.0
LTBP3,1.479081591700631,7.0
MASP1,1.479015651153035,8.0
CCL14,1.4789990814769731,9.0
NTN1,1.4789091318069192,10.0
SPP1,1.477096809267509,11.0
BMP1,1.477030240714698,12.0
CCN6,1.477030240714698,12.0
CHRD,1.4769998066158077,14.0
PAMR1,1.4769555080940897,15.0
PDGFC,1.4769555080940895,16.0
SCUBE1,1.4769294217236122,17.0
COL9A1,1.476908504319137,18.0
CRLF1,1.4769085043191368,19.0
ANGPTL7,1.4767496804821487,20.0
TNFAIP6,1.4765715695549557,21.0
SULF2,1.4765715695549555,22.0
PTN,1.4764887118846257,23.0
SEMA3A,1.4763903417422783,24.0
BCAN,1.4763885291753174,25.0
BMP3,1.4763885291753174,25.0
MATN3,1.4763568307894341,27.0
EDIL3,1.476342858771308,28.0
CHRDL2,1.4763214180854565,29.0
CHADL,1.4763214180854565,29.0
EPYC,1.4762845267484352,31.0
IL11,1.4762682952290267,32.0
F7,1.4762236585506545,33.0
FCN3,1.4762236585506543,34.0
FRZB,1.4762236585506543,34.0
SPARC,1.4720805611151953,36.0
CCN3,1.4678289572255914,37.0
CCN2,1.4678289572255914,37.0
IGF2,1.467682873550918,39.0
LOXL2,1.4676828735509178,40.0
HABP2,1.4676828735509175,41.0
LOXL4,1.4676828735509175,41.0
LOXL3,1.4676828735509173,43.0
COMP,1.4676463526322496,44.0
CLEC3A,1.4662681235407065,45.0
CRISPLD1,1.4654768369695577,46.0
IL17B,1.4652989145452764,47.0
IGFBP5,1.465298914545276,48.0
FSTL1,1.4623404312796127,49.0
CILP2,1.4582644283517414,50.0
CHAD,1.4581959516292382,51.0
FGFBP2,1.4580818237583995,52.0
IGFBP2,1.4580209555606187,53.0
KERA,1.4580209555606187,53.0
TIMP2,1.4580026951012846,55.0
PPBP,1.4579722610023944,56.0
PLOD2,1.4579722610023942,57.0
PCOLCE2,1.4579722610023942,57.0
CCL16,1.4546176308623358,59.0
HAPLN1,1.3968183077922895,60.0
IGFALS,1.3729030805487907,61.0
ECM2,1.3718338284896594,62.0
LOX,1.371712092094098,63.0
THBS3,1.3708563352233567,64.0
VIT,1.370612862432234,65.0
SRPX2,1.3191825252345788,66.0
CCL18,1.292700835264976,67.0
P4HA1,1.2892263489104974,68.0
COL9A2,1.2864838902380036,69.0
THBS2,1.2659070277391498,70.0
FSTL3,1.231176230537748,71.0
ITIH4,1.2254908495444852,72.0
SERPINA10,1.2148246256275417,73.0
LTBP2,1.213932569069229,74.0
PCOLCE,1.211674140715332,75.0
TGFB1,1.18660220698816,76.0
CTHRC1,1.1803743795341028,77.0
MXRA5,1.1727708641785837,78.0
CXCL10,1.153992528529657,79.0
FGG,1.1377018212699783,80.0
MATN2,1.116818109482576,81.0
Bgn,1.1073340768215068,82.0
ITIH2,1.098103175138643,83.0
EMILIN3,1.0886240528625226,84.0
FBLN2,1.0732416657108121,85.0
Serpinh1,1.0728089076491087,86.0
PRSS2,1.055060180293343,87.0
MMP2,1.048686169228171,88.0
S100B,1.0326707357430183,89.0
EFEMP2,1.0302803222064154,90.0
SLIT3,1.0301433687614092,91.0
PRG4,1.0297618930735943,92.0
