gene,ko_edge_count,delta_edge_count,ko_node_count,delta_node_count,ko_component_count,delta_component_count,ko_largest_component_nodes,delta_largest_component_nodes,ko_largest_component_edges,delta_largest_component_edges,ko_approx_avg_shortest_path,delta_approx_avg_shortest_path,ko_approx_global_efficiency,delta_approx_global_efficiency,degree_centrality,strength,betweenness_centrality,closeness_centrality,harmonic_centrality,eigenvector_centrality,pagerank,clustering_coefficient,core_number
SERPINA1,34024,123,712,1,1,0,712,1,34024,123,3.9819448755187947,-0.13378384059843818,0.251133561930516,0.008730822882240807,0.172752808988764,71.97833122321943,0.000375321986757,0.2797982212586131,232.2919587689682,0.0394164683999659,0.0012804212561873,0.4333456401377842,98
SERPINA10,33963,184,712,1,1,0,712,1,33963,184,3.9328274639043777,-0.0846664289840211,0.2542699900206743,0.005594394792082513,0.2584269662921348,128.63234139185155,0.0016178353008106,0.3189119901372829,279.8326507188876,0.071567664212813,0.0020557800888774,0.4594961665867348,100
SERPINA3,33996,151,712,1,1,0,712,1,33996,151,3.9227317500265486,-0.07457071510619206,0.25492439038005393,0.004939994432702877,0.2120786516853932,90.31521575931828,0.0009244773147489,0.2782097214369103,238.8777220810977,0.0441102391153863,0.0015533080621284,0.3725017006879034,100
SERPINA4,33990,157,712,1,1,0,712,1,33990,157,3.811325195510779,0.03683583940957735,0.2623759319141446,-0.00251154710138779,0.220505617977528,104.8518307121124,0.0013788144566127,0.2780912862403372,251.90963250508895,0.0536024461474198,0.0017566499687661,0.4051857056565754,100
SERPINA5,34041,106,712,1,1,0,712,1,34041,106,3.804079356327743,0.04408167859261347,0.26287569378293596,-0.0030113089701791496,0.148876404494382,69.57513129454576,0.0002014886455222,0.3050165546633723,248.6735271157192,0.020235157614893,0.0013466768614124,0.310369065147026,59
SERPINA6,33981,166,712,1,1,0,712,1,33981,166,3.8220068785448893,0.026154156375467252,0.26164264790143943,-0.001778263088682619,0.2331460674157303,113.57024326772118,0.0017304318968378,0.2931100693858955,262.4958306182872,0.0607754537990548,0.0018704026918654,0.4428884498071254,100
SERPINB3,34091,56,712,1,1,0,712,1,34091,56,3.896864246504433,-0.048703211584076644,0.25661658624547173,0.003247798567285076,0.0786516853932584,34.19755284300879,0.0001768520687201,0.2508605376599208,208.9044990536217,0.0094170651437174,0.0007917853532874,0.2790980959438767,46
SERPINB9,34068,79,712,1,1,0,712,1,34068,79,3.944713138697174,-0.09655210377681733,0.2535038581614762,0.006360526651280618,0.1109550561797752,48.86345495255341,0.0011370280819861,0.2603628820616334,219.4330018990829,0.014577371557987,0.0010448615791986,0.3117206685256984,51
SERPINF2,34019,128,712,1,1,0,712,1,34019,128,3.9291242659926544,-0.08096323107229786,0.25450963937567395,0.005354745437082864,0.1797752808988764,85.83194475001021,0.0003200113781823,0.2897728455158898,247.6723044367374,0.0521219835770271,0.0014101749435961,0.540846132703683,100
SERPINB8,34093,54,712,1,1,0,712,1,34093,54,3.9134357495507888,-0.06527471463043222,0.2555299394182687,0.004334445394488129,0.0758426966292134,36.03776418741469,0.0002765530428736,0.2423345793933999,209.77202575039144,0.0103514576403565,0.0008550326667616,0.3729245333947435,43
SERPINE2,33999,148,712,1,1,0,712,1,33999,148,3.836277933780641,0.011883101139715357,0.2606693303408554,-0.0008049455280985662,0.2078651685393258,107.04324807642598,0.000560349141632,0.2718933924870177,254.57517530921857,0.0631302295133039,0.0017544234749675,0.5129982189911748,100
