protein_a,protein_b,spearman_rho,abs_rho,sign,p_value
A2M,ACAN,-0.7408562827769472,0.7408562827769472,-1,0.00043617740284176396
A2M,ADAM17,-0.5165619363199734,0.5165619363199734,-1,0.028172467847763644
A2M,ANGPTL5,-0.6377849588044073,0.6377849588044073,-1,0.004404192722910159
A2M,ANGPTL7,-0.5249002954462811,0.5249002954462811,-1,0.025309578413308005
A2M,BCAN,-0.5249002954462811,0.5249002954462811,-1,0.025309578413308005
A2M,BMP1,-0.5144371666333984,0.5144371666333984,-1,0.028940687896706348
A2M,BMP3,-0.5249002954462811,0.5249002954462811,-1,0.025309578413308005
A2M,C1QC,0.5090121657465694,0.5090121657465694,1,0.030975918879551714
A2M,CCL14,-0.5214125858419869,0.5214125858419869,-1,0.026478046579929953
A2M,CCN2,-0.5109494570291042,0.5109494570291042,-1,0.030236808561858602
A2M,CCN3,-0.5109494570291042,0.5109494570291042,-1,0.030236808561858602
A2M,CCN6,-0.5144371666333984,0.5144371666333984,-1,0.028940687896706348
A2M,CHAD,-0.5144371666333984,0.5144371666333984,-1,0.028940687896706348
A2M,CHADL,-0.5249002954462811,0.5249002954462811,-1,0.025309578413308005
A2M,CHRD,-0.5144371666333984,0.5144371666333984,-1,0.028940687896706348
A2M,CHRDL2,-0.5249002954462811,0.5249002954462811,-1,0.025309578413308005
A2M,CILP2,-0.5144371666333984,0.5144371666333984,-1,0.028940687896706348
A2M,CLEC3A,-0.5214125858419869,0.5214125858419869,-1,0.026478046579929953
A2M,COL14A1,-0.5995024875621889,0.5995024875621889,-1,0.008548475773959698
A2M,COL15A1,-0.6456078355418513,0.6456078355418513,-1,0.003804970057725835
A2M,COL1A1,-0.708955223880597,0.708955223880597,-1,0.000987472436310991
A2M,COL1A2,-0.8258706467661691,0.8258706467661691,-1,2.4224717324215737e-05
A2M,COL3A1,-0.7139303482587064,0.7139303482587064,-1,0.0008754445257112991
A2M,COL6A2,-0.5870646766169154,0.5870646766169154,-1,0.010425153210209497
A2M,COL6A6,0.6801303579591645,0.6801303579591645,1,0.0018976571499806436
A2M,COL9A1,-0.5144371666333984,0.5144371666333984,-1,0.028940687896706348
A2M,COMP,-0.5109494570291042,0.5109494570291042,-1,0.030236808561858602
A2M,CRISPLD1,-0.5214125858419869,0.5214125858419869,-1,0.026478046579929953
A2M,CRLF1,0.5144371666333984,0.5144371666333984,1,0.028940687896706348
A2M,CTSD,0.9108888722667382,0.9108888722667382,1,1.5070910411340073e-07
A2M,CXCL10,0.531689208404585,0.531689208404585,1,0.023150727298494267
A2M,CXCL14,-0.5749613623829117,0.5749613623829117,-1,0.012555062951093742
A2M,ECM1,0.8414808714747085,0.8414808714747085,1,1.2038145864919556e-05
A2M,EDIL3,-0.5249002954462811,0.5249002954462811,-1,0.025309578413308005
A2M,EFEMP1,0.5746268656716417,0.5746268656716417,1,0.012618504242291703
A2M,EFEMP2,-0.6408961049449166,0.6408961049449166,-1,0.004157284887460219
A2M,EMILIN3,-0.5262115211833631,0.5262115211833631,-1,0.024880841956665962
A2M,EPYC,0.5249002954462811,0.5249002954462811,1,0.025309578413308005
A2M,F7,-0.5249002954462811,0.5249002954462811,-1,0.025309578413308005
A2M,FBLN5,-0.5572139303482586,0.5572139303482586,-1,0.01629123894928142
A2M,FBLN7,-0.6377849588044073,0.6377849588044073,-1,0.004404192722910159
A2M,FBN1,-0.5199004975124377,0.5199004975124377,-1,0.026997496983617215
A2M,FCN3,0.5249002954462811,0.5249002954462811,1,0.025309578413308005
A2M,FGFBP2,-0.5144371666333984,0.5144371666333984,-1,0.028940687896706348
A2M,FGG,0.7313432835820894,0.7313432835820894,1,0.0005630292397696938
A2M,FMOD,-0.6248022931251849,0.6248022931251849,-1,0.005567153764805852
A2M,FRZB,-0.5249002954462811,0.5249002954462811,-1,0.025309578413308005
A2M,FSTL1,-0.679785431701283,0.679785431701283,-1,0.0019117333032328215
A2M,GDF6,-0.5214125858419869,0.5214125858419869,-1,0.026478046579929953
A2M,GPC1,-0.8617251341449625,0.8617251341449625,-1,4.3148516976356165e-06
A2M,HABP2,-0.5109494570291042,0.5109494570291042,-1,0.030236808561858602
A2M,HAPLN3,-0.6377849588044073,0.6377849588044073,-1,0.004404192722910159
A2M,HHIP,-0.5214125858419869,0.5214125858419869,-1,0.026478046579929953
A2M,HPX,0.5049751243781093,0.5049751243781093,1,0.032560983168066646
A2M,HRG,0.9378109452736316,0.9378109452736316,1,9.245575305232312e-09
A2M,HSPG2,-0.6616915422885571,0.6616915422885571,-1,0.002781141218179183
A2M,IGF2,-0.5109494570291042,0.5109494570291042,-1,0.030236808561858602
A2M,IGFBP2,-0.5144371666333984,0.5144371666333984,-1,0.028940687896706348
A2M,IGFBP5,-0.5214125858419869,0.5214125858419869,-1,0.026478046579929953
A2M,IL11,-0.5249002954462811,0.5249002954462811,-1,0.025309578413308005
A2M,IL17B,-0.5214125858419869,0.5214125858419869,-1,0.026478046579929953
A2M,ITIH1,0.7860696517412935,0.7860696517412935,1,0.00010992128907734295
A2M,ITIH2,0.7728283648987269,0.7728283648987269,1,0.0001698584603008099
A2M,ITIH4,0.8308457711442785,0.8308457711442785,1,1.953316173261162e-05
A2M,ITIH5,-0.5115894425351596,0.5115894425351596,-1,0.029995668744682936
A2M,KERA,-0.5144371666333984,0.5144371666333984,-1,0.028940687896706348
A2M,LOXL1,0.5995437734798085,0.5995437734798085,1,0.008542734658520275
A2M,LOXL2,-0.5109494570291042,0.5109494570291042,-1,0.030236808561858602
A2M,LOXL3,-0.5109494570291042,0.5109494570291042,-1,0.030236808561858602
A2M,LOXL4,-0.5109494570291042,0.5109494570291042,-1,0.030236808561858602
A2M,LTBP2,-0.7077857469658667,0.7077857469658667,-1,0.0010154695141759646
A2M,LTBP3,-0.5214125858419869,0.5214125858419869,-1,0.026478046579929953
A2M,LTBP4,-0.6842669873707047,0.6842669873707047,-1,0.0017354116135831635
A2M,MASP1,0.5214125858419869,0.5214125858419869,1,0.026478046579929953
A2M,MATN3,-0.5249002954462811,0.5249002954462811,-1,0.025309578413308005
A2M,MATN4,-0.6377849588044073,0.6377849588044073,-1,0.004404192722910159
A2M,MMP12,0.5973400589777863,0.5973400589777863,1,0.008853549303943636
A2M,MMP14,-0.5353634242591638,0.5353634242591638,-1,0.022044027118841958
A2M,MMP2,0.6315626665233887,0.6315626665233887,1,0.004933940174372521
A2M,NGLY1,-0.5995437734798085,0.5995437734798085,-1,0.008542734658520275
A2M,NID2,-0.7661691542288556,0.7661691542288556,-1,0.00020919155866467413
A2M,NTN1,-0.5214125858419869,0.5214125858419869,-1,0.026478046579929953
A2M,PAMR1,-0.5144371666333984,0.5144371666333984,-1,0.028940687896706348
A2M,PCOLCE2,-0.5144371666333984,0.5144371666333984,-1,0.028940687896706348
A2M,PDGFC,-0.5144371666333984,0.5144371666333984,-1,0.028940687896706348
A2M,PLOD1,-0.79003419120445,0.79003419120445,-1,9.592945392369095e-05
A2M,PLOD2,-0.5144371666333984,0.5144371666333984,-1,0.028940687896706348
A2M,POSTN,0.5422885572139303,0.5422885572139303,1,0.020071177461830434
A2M,PPBP,-0.5144371666333984,0.5144371666333984,-1,0.028940687896706348
A2M,PRG4,0.6408961049449166,0.6408961049449166,1,0.004157284887460219
A2M,PTN,-0.5249002954462811,0.5249002954462811,-1,0.025309578413308005
A2M,PZP,0.5290092118939487,0.5290092118939487,1,0.023985025658975836
A2M,S100A13,-0.5546301133357473,0.5546301133357473,-1,0.016901647340950652
A2M,S100B,-0.6315626665233887,0.6315626665233887,-1,0.004933940174372521
A2M,SCUBE1,-0.5144371666333984,0.5144371666333984,-1,0.028940687896706348
A2M,SEMA3A,0.5249002954462811,0.5249002954462811,1,0.025309578413308005
A2M,SERPINA1,0.6691542288557213,0.6691542288557213,1,0.0023898724392911975
A2M,SERPINA10,0.7171191853873946,0.7171191853873946,1,0.0008093748328578831
A2M,SERPINA3,0.8308457711442785,0.8308457711442785,1,1.953316173261162e-05
A2M,SERPINA4,0.6894215409478852,0.6894215409478852,1,0.0015494681267474626
A2M,SERPINA5,-0.5141667193237498,0.5141667193237498,-1,0.02903962365072943
A2M,SERPINA6,0.7986371043573115,0.7986371043573115,1,7.067756866097684e-05
A2M,SERPINB3,-0.5995437734798085,0.5995437734798085,-1,0.008542734658520275
A2M,SERPINB9,-0.615580745157931,0.615580745157931,-1,0.006535804107436476
A2M,SERPINF2,0.9651741293532337,0.9651741293532337,1,9.753493644942998e-11
A2M,SLIT3,-0.6408961049449166,0.6408961049449166,-1,0.004157284887460219
A2M,SNED1,-0.5353634242591638,0.5353634242591638,-1,0.022044027118841958
A2M,SPON1,-0.5806966378181528,0.5806966378181528,-1,0.011506308230252307
A2M,SPP1,-0.5144371666333984,0.5144371666333984,-1,0.028940687896706348
A2M,SULF2,-0.5249002954462811,0.5249002954462811,-1,0.025309578413308005
A2M,THBS1,-0.5577555360771889,0.5577555360771889,-1,0.016165529848016048
A2M,TIMP2,-0.5144371666333984,0.5144371666333984,-1,0.028940687896706348
A2M,TIMP3,0.5528258711526033,0.5528258711526033,1,0.017338506063305892
A2M,TNFAIP6,0.5249002954462811,0.5249002954462811,1,0.025309578413308005
A2M,TNXB,-0.6868776829389182,0.6868776829389182,-1,0.0016390546162518822
