Gene_Symbol,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,reconstruction_error
1810010H24RIK,-0.022699416,-0.3985408,-1.2355399,-0.7145976,1.0527284,0.33144745,-0.35080552,0.4764834,0.08869582
A2M,1.2792983,0.033933204,-1.7891561,-1.1400502,2.3279095,-2.6603131,0.19087608,-0.28780252,0.27808958
A2ML1,0.3271313,0.67576015,-0.90210664,-0.4881138,0.29343584,-0.8918376,0.026215281,0.20907356,0.021543097
A2m,0.9564076,2.8130515,-0.9351759,-1.3552,1.7888495,-1.2368273,-3.1360517,1.713781,0.3686692
ABI3BP,0.34691772,1.7337286,-2.2465262,0.004358053,-0.07356578,-0.8497789,-0.59369856,-0.3365224,0.14273342
ACAN,0.2998346,1.4399747,-5.1822276,-2.8795938,3.19062,5.064479,-1.9440867,0.5291244,0.23731454
ADAM10,0.93543416,1.0652364,-2.0708365,-2.9102235,1.5513813,-0.07187408,0.56355524,2.0034103,0.15398677
ADAM12,0.106771834,0.49179196,-0.9377949,-0.36985844,0.39638996,-0.21018445,-0.1760155,-0.026082233,0.008460732
ADAM15,1.0015492,1.8669243,-2.4379382,-1.9006442,-0.42420912,1.77658,-1.6819197,0.27698588,1.597677
ADAM17,0.32045692,1.1072525,-1.9389634,-2.7992442,-0.677525,0.1572564,-1.6356404,0.5104588,0.5051299
ADAM19,0.6988154,0.43772835,-3.2253952,-1.6475471,0.7720535,-1.3072675,-0.83912677,1.0560101,0.20033617
ADAM9,-0.07915867,0.36384255,-0.7457485,-0.9522288,0.1993436,-0.10557251,-0.23032597,0.3379801,0.02303425
ADAMTS1,0.106771834,0.49179196,-0.9377949,-0.36985844,0.39638996,-0.21018445,-0.1760155,-0.026082233,0.008460732
ADAMTS16,0.23455662,0.5309705,-0.9875921,-0.5688675,0.33609027,-0.089057,-0.21641387,0.15619174,0.00611806
ADAMTS2,0.24246496,0.54108006,-1.0058917,-0.59773064,0.3416734,-0.111887716,-0.20817755,0.14551944,0.006199285
ADAMTS4,0.73008597,0.93235606,-2.234974,0.080861986,1.2825894,-1.7359692,-0.21915165,0.029076144,0.40294337
ADAMTS5,0.6138813,0.3640319,-3.3570018,-1.3986175,0.7748277,-0.9922965,-1.0086421,0.76664835,0.049205683
ADAMTSL1,0.30499867,0.5955799,-0.86188245,-0.46544695,0.31642833,-0.8126747,0.006058894,0.1838765,0.023429357
ADAMTSL2,0.11679771,0.4981816,-0.9575553,-0.39637578,0.44380018,-0.26673126,-0.14218841,-0.028505683,0.017128665
ADAMTSL3,-0.07550093,-0.043634146,-0.9226115,-0.38179302,0.68939394,0.17403573,-0.26441163,0.056966767,0.011207203
ADAMTSL4,2.3109443,6.5841727,-7.069595,-4.431324,-1.9348943,-7.2689586,-1.1221251,2.8865266,1.9167795
ADAMTSL5,0.3335257,0.96515936,-0.4551254,-0.6843997,0.6679824,-0.27708185,0.3595441,0.39985543,0.2438019
ADIPOQ,0.5571483,1.2257318,-1.4352679,-0.39769042,0.29300505,-1.36253,-0.053969275,0.12551582,0.034703303
AEBP1,-0.78294,0.0634029,-0.4638508,-0.61132085,0.4082691,-0.71844584,0.42832732,1.4778608,0.23673287
AGRN,-0.48469996,5.16788,-2.7288384,1.4202018,1.0055047,-4.739377,2.7856607,6.1799064,0.5639843
AGT,-1.1806234,3.1904452,-0.89325774,1.5590903,3.233331,-2.939457,4.1478186,3.4593225,0.73089933
AMBP,-1.121733,-2.6850202,-1.7397995,-3.4545145,2.6726708,-3.8929183,0.4960894,0.58346343,0.6165689
ANGPT1,0.045486964,-0.08805885,-0.9624294,-0.5680119,0.7498157,0.1717372,-0.2515059,0.2029198,0.01317044
ANGPT2,0.035701834,-0.13769758,-0.981531,-0.5900985,0.7693757,0.20229304,-0.2778375,0.23334973,0.017959155
