Gene_Symbol,gradient,zscore
COL1A1,0.32801004131063416,-2.060007760496083
COL1A2,0.3337997326434127,-1.491471787411
COL3A1,0.17167693817273366,-1.9449897164965837
COL5A1,0.27282307440713066,-1.22698013175869
COL6A1,0.20393728839176295,-1.5156776087982655
COL6A2,0.2585318593778174,-0.6432921853270736
COL6A3,-0.057126057378711216,-0.6738568630607543
FBN1,0.1497131785706331,-0.0933338109037277
FN1,0.09932094190580532,-0.5907922119508683
LAMA2,-0.051481028789444945,
LAMB1,-0.07576807231464786,-3.2364117521197007
LAMB2,0.15694474937197114,0.0176046779437427
LOXL1,,
LOXL2,,
LOXL3,,
LOXL4,,
MMP2,,
MMP9,,
PLOD1,-1.3029776969164701,
PLOD2,,
PLOD3,-0.7475541183167256,
POSTN,0.5543026107222581,-0.1756161186283106
SERPINE1,,
THBS1,,-2.390432320319478
TIMP1,,
TIMP3,,
TNC,0.5027963061545989,
VCAN,-0.2875382193672108,-0.6905265508908869
