Tissue,Gene_Symbol,gradient,abs_gradient
Skeletal_muscle_TA,Smoc2,-37.916500071555525,37.916500071555525
Skeletal_muscle_TA,Serpinf1,-19.777548700985587,19.777548700985587
Skeletal_muscle_TA,Col3a1,-17.528568943748354,17.528568943748354
Skeletal_muscle_TA,Fbn2,-17.24042123892839,17.24042123892839
Skeletal_muscle_TA,Bgn,16.823567251882945,16.823567251882945
Skeletal_muscle_TA,Fbn1,-16.78923099783287,16.78923099783287
Skeletal_muscle_TA,Serpina1d,15.98154503825845,15.98154503825845
Skeletal_muscle_EDL,Col11a2,15.504961596799365,15.504961596799365
Skeletal_muscle_TA,Serpinb1a,-13.73045490189439,13.73045490189439
Skeletal_muscle_TA,Serpinh1,-13.471477254807635,13.471477254807635
Skeletal_muscle_TA,Postn,-13.362793812828665,13.362793812828665
Heart_Decellularized_Tissue,S100a5,-12.888525849082402,12.888525849082402
Skeletal_muscle_EDL,Col2a1,12.626481741105255,12.626481741105255
Skeletal_muscle_TA,Col4a2,-12.468817620006156,12.468817620006156
Skeletal_muscle_TA,Ctsz,-12.334982149456057,12.334982149456057
Skeletal_muscle_TA,Fbln5,-11.889108174870401,11.889108174870401
Skeletal_muscle_EDL,Cilp2,11.645652112637027,11.645652112637027
Skeletal_muscle_TA,Igfbp5,-11.539357740147153,11.539357740147153
Skeletal_muscle_TA,Gpc1,11.460508612151655,11.460508612151655
Skeletal_muscle_TA,Fbln2,-11.21951070849769,11.21951070849769
Skeletal_muscle_TA,Anxa1,-10.97942697533161,10.97942697533161
Skeletal_muscle_TA,Serpine2,-10.32744856621886,10.32744856621886
Skeletal_muscle_TA,Vwa1,10.081070035061341,10.081070035061341
Skeletal_muscle_TA,Itih1,10.03745356789908,10.03745356789908
Kidney_Tubulointerstitial,COL6A4,-9.939938881991937,9.939938881991937
Skeletal_muscle_EDL,Col5a2,9.774106762985209,9.774106762985209
Skeletal_muscle_TA,Ogn,9.673382619622094,9.673382619622094
Kidney_Tubulointerstitial,AGRN,-8.89275275833418,8.89275275833418
Skeletal_muscle_EDL,Col12a1,8.688172710991408,8.688172710991408
Skeletal_muscle_TA,Col15a1,8.652286568406927,8.652286568406927
Kidney_Tubulointerstitial,THBS1,8.462225048397254,8.462225048397254
Skeletal_muscle_EDL,Col1a1,8.427536766216509,8.427536766216509
Skeletal_muscle_TA,Lama5,-8.012707133182243,8.012707133182243
Skeletal_muscle_TA,Col6a1,-7.821294710644472,7.821294710644472
Skeletal_muscle_EDL,Col1a2,7.782624757797182,7.782624757797182
