Gene_Symbol,gradient_ovary,zscore_ovary,gradient_heart,zscore_heart,gradient_mean
ANGPTL2,,,,1.5656223282756565,
ANGPTL4,,,,,
COL6A1,0.20393728839176295,-1.5156776087982655,-0.2582186493937146,0.1777869020829082,-0.027140680500975817
COL6A2,0.2585318593778174,-0.6432921853270736,-0.2822907510842219,-0.0840246319720582,-0.011879445853202247
COL6A3,-0.057126057378711216,-0.6738568630607543,-0.31522333762560717,0.1527878784397732,-0.1861746975021592
LOX,,,,,
LOXL1,,,,0.8776208303928769,
LOXL2,,,,,
LOXL3,,,,,
LOXL4,,,,,
P4HA1,,,,-0.0418403124992094,
P4HA2,,,,-0.5916591315523473,
PLOD1,-1.3029776969164701,,,-0.1517013643822191,-1.3029776969164701
PLOD2,,,,,
PLOD3,-0.7475541183167256,,,-0.5144463345013137,-0.7475541183167256
TGM1,,,,,
TGM2,0.236472094886504,,-0.25692126625847383,-0.2353143263570894,-0.010224585685984916
