Gene,Baseline,Knockout,Delta,Percent_Change
Smoc2,0.31812504,0.31815332,-2.8282404e-05,-0.008890314
Cd109,0.20934483,0.2093733,-2.8461218e-05,-0.013595312
Fbn1,0.3332175,0.33325228,-3.477931e-05,-0.010437388
Cyr61,0.30800468,0.30804053,-3.5852194e-05,-0.011640107
Fgfbp1,0.30800468,0.30804053,-3.5852194e-05,-0.011640107
Serpinf2,0.32958567,0.32962653,-4.0858984e-05,-0.012397037
IGFBP6,0.04953076,0.049573906,-4.3146312e-05,-0.08710838
EMID1,0.048341714,0.048387077,-4.536286e-05,-0.09383598
LGALSL,0.048341714,0.048387077,-4.536286e-05,-0.09383598
IL16,0.048341714,0.048387077,-4.536286e-05,-0.09383598
HYAL2,0.048341714,0.048387077,-4.536286e-05,-0.09383598
HCFC2,0.048341714,0.048387077,-4.536286e-05,-0.09383598
FAM132A,0.048341714,0.048387077,-4.536286e-05,-0.09383598
1810010H24RIK,0.048341714,0.048387077,-4.536286e-05,-0.09383598
EGFL7,0.048341714,0.048387077,-4.536286e-05,-0.09383598
PLAU,0.048341714,0.048387077,-4.536286e-05,-0.09383598
CXCL15,0.048341714,0.048387077,-4.536286e-05,-0.09383598
CRLF3,0.048341714,0.048387077,-4.536286e-05,-0.09383598
COLQ,0.048341714,0.048387077,-4.536286e-05,-0.09383598
CLEC1A,0.048341714,0.048387077,-4.536286e-05,-0.09383598
CHRDL1,0.048341714,0.048387077,-4.536286e-05,-0.09383598
CCL21C;CCL21B;CCL21A,0.048341714,0.048387077,-4.536286e-05,-0.09383598
MMP8,0.048341714,0.048387077,-4.536286e-05,-0.09383598
S100A1;S100A1,0.048341714,0.048387077,-4.536286e-05,-0.09383598
PLXNB2;MKIAA0315,0.048341714,0.048387077,-4.536286e-05,-0.09383598
SERPINA3M,0.048341714,0.048387077,-4.536286e-05,-0.09383598
TGFB2,0.048341714,0.048387077,-4.536286e-05,-0.09383598
STFA2L1;STFA2,0.048341714,0.048387077,-4.536286e-05,-0.09383598
SPON1;MKIAA0762,0.048341714,0.048387077,-4.536286e-05,-0.09383598
SFTPD,0.048341714,0.048387077,-4.536286e-05,-0.09383598
SFTPC,0.048341714,0.048387077,-4.536286e-05,-0.09383598
SFTPA1,0.048341714,0.048387077,-4.536286e-05,-0.09383598
SERPINB9B,0.048341714,0.048387077,-4.536286e-05,-0.09383598
SERPINB6;SERPINB6A,0.048341714,0.048387077,-4.536286e-05,-0.09383598
SERPINA1E,0.048341714,0.048387077,-4.536286e-05,-0.09383598
ANXA9,0.048341714,0.048387077,-4.536286e-05,-0.09383598
SERPINA1D,0.048341714,0.048387077,-4.536286e-05,-0.09383598
SERPINA1C,0.048341714,0.048387077,-4.536286e-05,-0.09383598
SERPINA1B,0.048341714,0.048387077,-4.536286e-05,-0.09383598
SERPINA1A,0.048341714,0.048387077,-4.536286e-05,-0.09383598
SEMA7A,0.048341714,0.048387077,-4.536286e-05,-0.09383598
SEMA3F,0.048341714,0.048387077,-4.536286e-05,-0.09383598
SDC4,0.048341714,0.048387077,-4.536286e-05,-0.09383598
S100G,0.048341714,0.048387077,-4.536286e-05,-0.09383598
BMP5,0.048341714,0.048387077,-4.536286e-05,-0.09383598
KNG2,0.048341714,0.048387077,-4.536286e-05,-0.09383598
ANGPT1,0.048341714,0.048387077,-4.536286e-05,-0.09383598
ANGPT2,0.048341714,0.048387077,-4.536286e-05,-0.09383598
WNT3A,0.04834171,0.048387077,-4.5366585e-05,-0.0938437
WNT9A,0.04834171,0.048387077,-4.5366585e-05,-0.0938437
TNFSFM13;TNFSF13,0.04834171,0.048387077,-4.5366585e-05,-0.0938437
TNFSF12,0.04834171,0.048387077,-4.5366585e-05,-0.0938437
NID2;NID-2,0.048341706,0.048387077,-4.537031e-05,-0.09385141
PF4,0.048341706,0.048387077,-4.537031e-05,-0.09385141
Col11a2,0.2753487,0.27539527,-4.658103e-05,-0.016917044
Dpt,0.33637264,0.33642027,-4.762411e-05,-0.014158098
TNFSF10,0.046641402,0.046694364,-5.2962452e-05,-0.113550015
ADAMTSL3,0.046641402,0.046694364,-5.2962452e-05,-0.113550015
PLAT,0.046641402,0.046694364,-5.2962452e-05,-0.113550015
CTSS,0.0466414,0.046694364,-5.2966177e-05,-0.11355801
CTSH,0.0466414,0.046694364,-5.2966177e-05,-0.11355801
CRELD2,0.0466414,0.046694364,-5.2966177e-05,-0.11355801
Mstn,0.37826368,0.3783169,-5.3226948e-05,-0.01407135
Col2a1,0.23730475,0.2373608,-5.605817e-05,-0.02362276
Postn,0.41214836,0.41220573,-5.736947e-05,-0.013919583
Sema3c,0.41454443,0.41460612,-6.169081e-05,-0.014881555
Serpind1,0.36512613,0.36518985,-6.3717365e-05,-0.017450733
Col12a1,0.21797122,0.21803716,-6.593764e-05,-0.030250479
Aebp1,0.296734,0.29680112,-6.711483e-05,-0.022617765
Podn,0.40583745,0.40590546,-6.80089e-05,-0.016757628
Igfbp5,0.33525905,0.33532727,-6.8217516e-05,-0.020347642
PODN,0.04236426,0.042433497,-6.9238245e-05,-0.16343166
C1QTNF7,0.04236426,0.042433497,-6.9238245e-05,-0.16343166
Lamb1,0.31758705,0.31765702,-6.997585e-05,-0.022033527
Lama3,0.07961056,0.07968383,-7.327646e-05,-0.09204249
Tnc,0.35713267,0.35720876,-7.608533e-05,-0.02130444
COL6A5,0.05060183,0.050678693,-7.6863915e-05,-0.15189649
Fgg,0.31296307,0.3130434,-8.031726e-05,-0.025663411
Aspn,0.42272726,0.42280993,-8.267164e-05,-0.019556686
Fn1,0.31195277,0.31203696,-8.419156e-05,-0.026988475
Chad,0.43981194,0.43989655,-8.460879e-05,-0.01923745
Angptl7,0.43761995,0.4377047,-8.4757805e-05,-0.019367857
Hmcn2,0.15124488,0.15133654,-9.165704e-05,-0.060601354
Gpc4,0.2102067,0.21030158,-9.487569e-05,-0.04513426
Tgfbi,0.30214658,0.3022434,-9.6827745e-05,-0.032046504
Ctsh,0.28467032,0.28476927,-9.894371e-05,-0.034757175
Col11a1,0.34700686,0.3471091,-0.00010225177,-0.0294667
Papln,0.28581926,0.2859221,-0.000102847815,-0.035983384
Nid1,0.3056629,0.30576807,-0.000105172396,-0.034407854
SERPINA3N,0.06231597,0.062423073,-0.000107102096,-0.17186667
MBL1,0.06231596,0.062423073,-0.00010711327,-0.17188463
MBL2,0.07715655,0.07726397,-0.00010742247,-0.13922483
MMP19,0.056447253,0.056556147,-0.00010889396,-0.19290936
MMRN1,0.056447253,0.056556147,-0.00010889396,-0.19290936
SVEP1,0.07264593,0.072756514,-0.00011058152,-0.15221773
Serpina1a,0.28200272,0.28211355,-0.00011083484,-0.039302614
FREM1,0.08053581,0.08064757,-0.00011176616,-0.13877651
Serpina1e,0.3780947,0.37820724,-0.00011253357,-0.029763248
Serpinb1a,0.30193308,0.30204874,-0.00011566281,-0.038307305
ADAMTSL1,0.06883275,0.06894861,-0.00011586398,-0.16832438
CTSL,0.06465658,0.06477301,-0.00011643022,-0.18007204
Anxa2,0.35359156,0.3537082,-0.00011664629,-0.0329889
Fga,0.30344662,0.30356455,-0.00011792779,-0.03886265
Anxa1,0.25703394,0.25715202,-0.0001180768,-0.045938034
COL6A4,0.08786431,0.087983176,-0.00011886656,-0.13528271
COLEC12,0.08786431,0.087983176,-0.00011886656,-0.13528271
VWA9,0.08786432,0.08798318,-0.00011886656,-0.1352827
SERPINB1A,0.08786432,0.08798318,-0.00011886656,-0.1352827
F13a1,0.39108133,0.3912008,-0.00011947751,-0.030550474
ADAMTSL5,0.09173118,0.09185181,-0.0001206249,-0.13149682
INHBE,0.09173118,0.091851816,-0.00012063235,-0.13150494
C1qtnf9,0.29565385,0.2957792,-0.00012534857,-0.042396925
Nid2,0.30322024,0.30334577,-0.00012552738,-0.041397948
Kera,0.4465544,0.44668144,-0.0001270473,-0.028450513
