NCTId,BriefTitle,OverallStatus,Phase,Conditions,Interventions,StudyType,StartDate,PrimaryCompletionDate,Enrollment
NCT00379769,RECORD: Rosiglitazone Evaluated for Cardiac Outcomes and Regulation of Glycaemia in Diabetes,COMPLETED,PHASE3,"Diabetes Mellitus, Type 2",DRUG: Rosiglitazone; DRUG: Sulfonylurea; DRUG: Metformin,INTERVENTIONAL,2001-04,2008-12,
NCT06367166,Effects of Bioflavanoids on Vascular Wall Remodeling in Patients With Varicose Veins,ACTIVE_NOT_RECRUITING,NA,Varicose Veins of Lower Limb; Varix; Vascular Diseases; Leg Edema,"DRUG: ""Venarus®"" (diosmin and hesperidin); PROCEDURE: Endovenous laser ablation (EVLA) with miniphlebectomy; OTHER: Elastic compression; OTHER: Evaluation of biomarkers of venous wall remodeling (fibronectin, PAI-1, vimentin, vWF, CD31), venous symptoms and severity scores",INTERVENTIONAL,2023-04-01,2026-04-01,
NCT01161394,"Effect of Pioglitazone on Oxidative Load, Inflammatory End-Points and Vascular Reactivity in Obese Non-Diabetic Patients: A Dose Ranging Study",COMPLETED,PHASE4,Inflammation,DRUG: Pioglitazone 15mg; DRUG: pioglitazone 30mg; DRUG: placebo,INTERVENTIONAL,,,
NCT04262960,"Effect of Continuous Positive Airway Pressure on Chronotype, Dietary Intake, and Cardiovascular Risk Markers",UNKNOWN,NA,Obstructive Sleep Apnea of Adult,DEVICE: Device: active CPAP; DEVICE: Device: sham-CPAP,INTERVENTIONAL,2019-08-01,2020-04,
NCT00669435,Losartan and Simvastatin in Hypertensive Obeses With Liver Steatosis,UNKNOWN,PHASE4,Hypertension,DRUG: Losartan + Simvastatin; DRUG: Amlodipine + Simvastatin,INTERVENTIONAL,2008-04,2008-04,
NCT04582188,The Early Coagulopathy for the Prognosis in Sepsis,UNKNOWN,,"Sepsis; Coagulopathy; Outcome, Fatal",,OBSERVATIONAL,2020-11-05,2021-03-31,
NCT02176941,Telomeres and Arterial Aging,UNKNOWN,,Atherosclerotic Disease,,OBSERVATIONAL,2014-06,2016-11,
NCT06051461,Deciphering the Role of Dietary Fatty Acids on Extracellular Vesicles-mediated Intercellular Communication,ACTIVE_NOT_RECRUITING,NA,Obesity; Metabolic Syndrome; Metabolic Disorder; Inflammation; Immune System and Related Disorders,DIETARY_SUPPLEMENT: Oral lipid emulsions,INTERVENTIONAL,2023-11-01,2024-09-01,
NCT05645887,Human Albumin Treatment in Adult Septic Shock. A Study Evaluating Immune Response and Organ Failure.,WITHDRAWN,PHASE2,Septic Shock,DRUG: Human albumin; OTHER: Saline solution,INTERVENTIONAL,2024-02,2024-05-23,
NCT06382298,Cottonseed Oil Versus Matched PUFA Effects,RECRUITING,NA,"Dyslipidemia; Overweight and Obesity; Nutrition, Healthy",OTHER: COTTONSEED OIL; OTHER: MATCHED PUFA DIET; OTHER: CONTROL,INTERVENTIONAL,2024-08-31,2026-12,
