Index,Protein,In_S100_Pathway
0,1810010H24RIK,False
1,A2M,False
2,A2ML1,False
3,A2m,False
4,ABI3BP,False
5,ACAN,False
6,ADAM10,False
7,ADAM12,False
8,ADAM15,False
9,ADAM17,False
10,ADAM19,False
11,ADAM9,False
12,ADAMTS1,False
13,ADAMTS16,False
14,ADAMTS2,False
15,ADAMTS4,False
16,ADAMTS5,False
17,ADAMTSL1,False
18,ADAMTSL2,False
19,ADAMTSL3,False
20,ADAMTSL4,False
21,ADAMTSL5,False
22,ADIPOQ,False
23,AEBP1,False
24,AGRN,False
25,AGT,False
26,AMBP,False
27,ANGPT1,False
28,ANGPT2,False
29,ANGPTL1,False
30,ANGPTL2,False
31,ANGPTL3,False
32,ANGPTL4,False
33,ANGPTL5,False
34,ANGPTL6,False
35,ANGPTL7,False
36,ANXA1,False
37,ANXA11,False
38,ANXA2,False
39,ANXA2;ANXA2P2,False
40,ANXA3,False
41,ANXA4,False
42,ANXA5,False
43,ANXA6,False
44,ANXA7,False
45,ANXA8,False
46,ANXA8L2;ANXA8,False
47,ANXA9,False
48,ARG1,False
49,ASPN,False
50,ASTL,False
51,Acan,False
52,Adam10,False
53,Adam11,False
54,Adam17,False
55,Adam22,False
56,Adam23,False
57,Adam9,False
58,Adamtsl1,False
59,Adamtsl4,False
60,Adipoq,False
61,Aebp1,False
62,Agrn,False
63,Agt,False
64,Ambp,False
65,Angpt1,False
66,Angptl1,False
67,Angptl2,False
68,Angptl7,False
69,Anxa1,False
70,Anxa11,False
71,Anxa2,False
72,Anxa3,False
73,Anxa4,False
74,Anxa5,False
75,Anxa6,False
76,Anxa7,False
77,Aspn,False
78,BCAN,False
79,BGN,False
80,BMP1,False
81,BMP3,False
82,BMP5,False
83,BMP6,False
84,BMP8A;BMP8B,False
85,BMPER,False
86,Bcan,False
87,Bdnf,False
88,Bgn,False
89,Brinp2,False
90,C17ORF58,False
91,C17orf58,False
92,C1QA,False
93,C1QB,False
94,C1QC,False
95,C1QTNF1,False
96,C1QTNF2,False
97,C1QTNF5,False
98,C1QTNF7,False
99,C1QTNF8,False
100,C1qa,False
101,C1qb,False
102,C1qc,False
103,C1ql3,False
104,C1qtnf4,False
105,C1qtnf9,False
106,C7,False
107,CAP2,False
108,CCL14,False
109,CCL16,False
110,CCL18,False
111,CCL21,False
112,CCL21C;CCL21B;CCL21A,False
113,CCL28,False
114,CD109,False
115,CD209,False
116,CELA3A;CELA3B,False
117,CHAD,False
118,CHADL,False
119,CHRD,False
120,CHRDL1,False
121,CHRDL2,False
122,CILP,False
123,CILP2,False
124,CLC,False
125,CLEC10A,False
126,CLEC11A,False
127,CLEC14A,False
128,CLEC18B,False
129,CLEC1A,False
130,CLEC3A,False
131,CLEC3B,False
132,CLEC5A,False
133,CLGN,False
134,COCH,False
135,COL10A1,False
136,COL11A1,False
137,COL11A2,False
138,COL12A1,False
139,COL14A1,False
140,COL15A1,False
