Tissue,Velocity,Phase,ATP,NAD,NADH,Lactate,Pyruvate,Lactate_Pyruvate_Ratio
Lung,4.285588788401428,Phase II (v>2.17),87.48357076505616,74.17041419297288,22.861435381634724,68.23844269050346,29.741453741534446,2.2943882731329746
Skeletal_muscle_EDL,2.1738021055823498,Phase II (v>2.17),83.82923312638331,73.59517825830491,23.858025719795663,72.89606407753696,28.381382512475238,2.568446552788434
Skin dermis,2.091129248165303,Transition (1.65-2.17),77.65262807032525,73.25536026151578,25.755728424139388,72.21949384312522,24.52196751750246,2.945093773229201
Cortex,1.988000393684284,Transition (1.65-2.17),81.20981135783018,58.5203185320532,24.627566134681853,64.6504930049218,24.319196188593956,2.658414057091401
Skeletal_muscle_TA,1.9552397727644704,Transition (1.65-2.17),74.93584439832789,71.88548399557165,26.689497076576988,69.55185554687273,22.534162227195885,3.086507270411519
Skeletal_muscle_Gastrocnemius,1.8983645516982757,Transition (1.65-2.17),87.32824384460778,68.64534219708078,22.902098014919524,75.40516922812755,22.50802880895174,3.350145402254769
Glomerular,1.8016542607808284,Transition (1.65-2.17),77.2780863773741,70.66553553825919,25.880558043755745,68.09403853546618,26.28896583852591,2.5902136643076252
OAF,1.6733080492072432,Transition (1.65-2.17),76.99680655040598,68.24983750124034,25.9751032491289,71.38976032662362,29.38978418746877,2.429067184408343
Skeletal_muscle_Soleus,1.6514273463924554,Transition (1.65-2.17),79.93251387631032,63.6537344262646,25.021107219208098,79.93526947261913,22.93622833506085,3.4851095962638383
Native_Tissue,1.6346478411541696,Phase I (v<1.65),71.04431797502377,48.24197925672134,28.15144204358633,90.03860463326177,24.4724669660859,3.6791797393388186
IAF,1.525625717205399,Phase I (v<1.65),73.69233289997706,61.02820968713982,27.13986545540103,99.13263788208819,23.277351130585707,4.258759397749129
Ovary,1.4459533416596355,Phase I (v<1.65),62.607390048162856,55.68093474963175,31.945110608530914,96.5452092178016,26.5370933429254,3.638122983937872
NP,1.3483618382854905,Phase I (v<1.65),71.7180914478423,49.421759067823594,27.886966309672644,102.43062977046095,23.07580252700084,4.438876162621325
Hippocampus,1.2435209927769084,Phase I (v<1.65),66.61538999847019,63.670057733045205,30.023092262102335,107.73249641871962,26.23507228587888,4.106430325206576
Decellularized_Tissue,1.186435355652691,Phase I (v<1.65),65.8039123838868,58.14472574489271,30.39332962958801,102.48447573552673,26.341308305093666,3.8906372663239783
Tubulointerstitial,1.0186552936067486,Phase I (v<1.65),67.60412881077355,58.886046140017086,29.58399191265483,91.7024876949548,21.129104102206394,4.340102980768542
