Tissue,Velocity,Phase,ATP,NAD,NADH,Lactate,Pyruvate,Glucose,Citrate,Lactate_Pyruvate_Ratio,NAD_NADH_Ratio
Lung,4.285588788401428,Phase II (Mechanical),92.93792563619952,84.4332995344882,23.83636069614175,70.34267612051565,28.00824496931286,84.47626067700523,40.598846616157225,2.511498888901692,3.542205985671081
Skeletal_muscle_EDL,2.1738021055823498,Phase II (Mechanical),89.46179156434013,75.78729700475877,25.207844067976446,66.85008764450357,26.642583899961515,89.84091489999477,27.168991579096993,2.509144304303012,3.006496581000256
Skin dermis,2.091129248165303,Transition,76.70953343282645,74.845141121999,22.81469421760437,71.12573986912089,25.657877422940658,82.09139025386949,37.84599993839839,2.7720819885719585,3.280567357516748
Cortex,1.988000393684284,Transition,83.8259845765625,78.1235312539588,22.280781834378015,67.33826493871385,27.7241569949082,83.59598869301203,34.181171162237234,2.4288660950477645,3.506319115490755
Skeletal_muscle_TA,1.9552397727644704,Transition,81.82705618200703,75.80435642717683,23.638897581011395,79.48772474707661,27.438586439295833,84.12624386216855,35.55292688014403,2.896932206144528,3.2067636050874384
Skeletal_muscle_Gastrocnemius,1.8983645516982757,Transition,78.5047121864065,78.51745813814782,21.539568676837103,63.88049584049238,27.837035433274195,92.89472133406747,33.365879370063325,2.294802404286725,3.6452660364820924
Glomerular,1.8016542607808284,Transition,83.63915557258193,74.94650721863253,22.4397640317218,67.44424964532895,26.379150932994886,94.68498511847017,33.734363786063206,2.5567255677274314,3.3398972962766
OAF,1.6733080492072432,Transition,74.85074849935745,77.98269730199084,24.37392608663798,68.3941242969087,28.52121859126039,94.92891317858872,35.35753937671836,2.3980084889453623,3.1994311062074527
Skeletal_muscle_Soleus,1.6514273463924554,Transition,79.37198198842681,74.05662503733754,25.552985457231316,76.78696616289177,26.2108016392842,89.15476484598491,28.79149389863272,2.929592433670746,2.898159401424464
Native_Tissue,1.6346478411541696,Phase I (Metabolic),77.51117778359796,80.68929828058899,27.218478100788417,71.65033485342992,29.30924245612276,91.83284103037884,30.231981873797547,2.444632779598233,2.9645044069621114
IAF,1.525625717205399,Phase I (Metabolic),84.78872231560018,84.38736060444663,25.16358690797643,80.51422589499255,21.597094331987474,94.38694916210578,32.33669795278927,3.7280119564854086,3.353550545597983
Ovary,1.4459533416596355,Phase I (Metabolic),81.09323591096131,75.20814640397313,22.174435624695292,72.11727700975824,27.76807704721471,97.80298319087271,30.2160625443933,2.597128958088655,3.39166000329745
NP,1.3483618382854905,Phase I (Metabolic),78.03832166783356,71.00437520151604,26.99250710148285,75.5360359718991,25.800850870085267,93.51941110526317,31.94835000965349,2.9276567797025317,2.6305216827234017
Hippocampus,1.2435209927769084,Phase I (Metabolic),86.34480914662657,69.0748620902038,25.202748104831365,72.7040136423897,23.718859587210485,92.87539240868554,32.20278282815797,3.065240694860078,2.740767070435551
Decellularized_Tissue,1.186435355652691,Phase I (Metabolic),81.19574859771446,71.46600125418225,23.57700186830656,73.00319830017034,26.002515066267296,87.83225921891068,30.69663700276978,2.8075437362163624,3.031174262672074
Tubulointerstitial,1.0186552936067486,Phase I (Metabolic),82.14385430986073,82.89716754203867,26.48590490810698,77.78961858589645,26.341156639650887,83.20305898171668,30.639502277263585,2.9531588020247024,3.129859743499455
