Tissue,Velocity,Phase,Metabolic_Activity,ATP,NAD,NADH,Lactate,Pyruvate,Glucose,Citrate,Lactate_Pyruvate_Ratio,NAD_NADH_Ratio
Lung,4.285588788401428,Phase II (Mechanical),0.5,21.520990092590143,9.488072973390517,43.77481198716375,64.52795939114881,1.0,99.27702404011482,4.763344807819211,64.52795939114881,0.21674731524084534
Skeletal_muscle_EDL,2.1738021055823498,Phase II (Mechanical),0.95,82.10089086170804,72.85355135525927,26.969395637672395,56.87829802256354,19.96783382998414,90.86016236519856,29.09231482790102,2.8484961617195466,2.701341636795645
Skin dermis,2.091129248165303,Transition,0.45,25.201965046759483,23.253141275434217,30.9731920631321,38.44045060538772,4.3723111211068675,85.51194319979508,14.71087842701348,8.791792153083646,0.7507505596464762
Cortex,1.988000393684284,Transition,0.85,70.42057044340554,66.73397861190523,23.668570730996322,50.90298603327092,18.770794851852305,85.81508637115633,32.04201017575797,2.711818355856561,2.819518735219213
Skeletal_muscle_TA,1.9552397727644704,Transition,0.95,79.52507852629624,75.60255112889709,23.661923711506105,61.78750842545661,21.63650284855046,85.94220414909721,38.573463566353446,2.855706805205633,3.1951143132176427
Skeletal_muscle_Gastrocnemius,1.8983645516982757,Transition,0.95,78.0621924647843,78.13508559961551,20.680844142442204,51.715810633708216,22.256084179086933,91.06558413018797,36.95137435581772,2.3236706968561567,3.7781381195781556
Glomerular,1.8016542607808284,Transition,0.7,57.054074308214105,51.996944091481275,24.94227658234593,42.63910850097744,13.779232035769837,91.57068724173753,25.531704164854403,3.094447382139263,2.084691183654204
OAF,1.6733080492072432,Transition,0.6,43.00942464435066,45.69439602483099,28.03080536554146,37.57117385183031,13.372625132901165,90.89396849386195,23.04262794938098,2.8095585929042874,1.6301492386302805
Skeletal_muscle_Soleus,1.6514273463924554,Transition,0.9,75.93390444856666,73.36522652090791,24.86148885065074,54.324559357054305,20.26743003342671,87.14198505785217,32.057292593177394,2.68038716637767,2.9509586880187024
Native_Tissue,1.6346478411541696,Phase I (Metabolic),0.6,44.980276343463096,48.0086315771836,31.333215913338243,39.02544134765219,14.291513903636602,88.7056439313395,18.538720915938885,2.73067231440903,1.5321961113077702
IAF,1.525625717205399,Phase I (Metabolic),0.6,50.41547550739657,51.92719785369232,28.040822127865876,42.91887937961357,7.4261541372561775,89.57818171921144,21.37054844710729,5.779422105487199,1.8518429173333364
Ovary,1.4459533416596355,Phase I (Metabolic),0.65,53.99141611881473,51.88496066642513,23.015903390656653,38.82306677620434,15.158444228129662,91.174723354083,22.518887820356007,2.561151144004609,2.2543091090436156
NP,1.3483618382854905,Phase I (Metabolic),0.55,43.14541542708625,40.420833473349596,29.86687341156028,35.55839168129132,10.725927710348824,87.8258714754962,19.93364617784896,3.31518099334038,1.3533667524001456
Hippocampus,1.2435209927769084,Phase I (Metabolic),0.85,79.20998397315876,70.59718629323736,22.391976372431074,44.41827687185675,18.224994604515803,86.68566149682033,36.0365399845064,2.437217559496602,3.152789424168756
Decellularized_Tissue,1.186435355652691,Phase I (Metabolic),0.3,21.718589631097377,17.9993171480594,28.200425675119178,21.800398350143933,4.166195597531458,83.12433535155515,7.602183915976967,5.232687193818034,0.6382640232250087
Tubulointerstitial,1.0186552936067486,Phase I (Metabolic),0.7,64.08868897878803,68.04679214930134,24.598131353434066,38.270602627709074,17.28937637263987,78.99266208187326,28.984238713939362,2.21353285409829,2.766339896782507
