Tissue,Velocity,Phase,ATP,NAD,NADH,Lactate,Pyruvate,Glucose,Citrate,Lactate_Pyruvate_Ratio,NAD_NADH_Ratio,ATP_Zscore,NAD_Zscore,NADH_Zscore,Lactate_Zscore,Pyruvate_Zscore,Glucose_Zscore,Citrate_Zscore,Lactate_Pyruvate_Ratio_Zscore,NAD_NADH_Ratio_Zscore
Lung,4.285588788401428,Phase II (Mechanical),92.93792563619952,84.4332995344882,23.83636069614175,70.34267612051565,28.00824496931286,84.47626067700523,40.598846616157225,2.511498888901692,3.542205985671081,2.2822382731369477,1.6592040135041526,-0.249839314600449,-0.38144446988039654,0.7681393130143163,-1.0653736721169538,2.2823887285201354,-0.6408194440072199,1.2618880340259826
Skeletal_muscle_EDL,2.1738021055823498,Phase II (Mechanical),89.46179156434013,75.78729700475877,25.207844067976446,66.85008764450357,26.642583899961515,89.84091489999477,27.168991579096993,2.509144304303012,3.006496581000256,1.5559143432301616,-0.2266741008822943,0.5204090195565025,-1.1044449813783834,0.04388157045888992,0.0025824759331843526,-1.6501369518913305,-0.6474572021452377,-0.6003368870047975
Skin dermis,2.091129248165303,Transition,76.70953343282645,74.845141121999,22.81469421760437,71.12573986912089,25.657877422940658,82.09139025386949,37.84599993839839,2.7720819885719585,3.280567357516748,-1.108617590750273,-0.4321784543135539,-0.8236245454812977,-0.21934249460744,-0.478342652031085,-1.5401362429786825,1.4763010809135009,0.09378469441964961,0.3523837964576875
Cortex,1.988000393684284,Transition,83.8259845765625,78.1235312539588,22.280781834378015,67.33826493871385,27.7241569949082,83.59598869301203,34.181171162237234,2.4288660950477645,3.506319115490755,0.37833563224298944,0.2829085675817492,-1.1234787997955342,-1.003387431701434,0.6174775422081893,-1.2406117840595992,0.40316713890190914,-0.8737677526722107,1.1371386392889924
Skeletal_muscle_TA,1.9552397727644704,Transition,81.82705618200703,75.80435642717683,23.638897581011395,79.48772474707661,27.438586439295833,84.12624386216855,35.55292688014403,2.896932206144528,3.2067636050874384,-0.03933224164289578,-0.22295307590321706,-0.3607379507852482,1.5116714468929262,0.466029506828262,-1.135052461054342,0.8048441914861321,0.4457472224130555,0.09582830976822299
Skeletal_muscle_Gastrocnemius,1.8983645516982757,Transition,78.5047121864065,78.51745813814782,21.539568676837103,63.88049584049238,27.837035433274195,92.89472133406747,33.365879370063325,2.294802404286725,3.6452660364820924,-0.7335223670818787,0.36883244824290307,-1.5397566866264611,-1.7191799860852195,0.6773409188459731,0.6105119380496774,0.16443366777321364,-1.2517037821785664,1.6201438221633837
Glomerular,1.8016542607808284,Transition,83.63915557258193,74.94650721863253,22.4397640317218,67.44424964532895,26.379150932994886,94.68498511847017,33.734363786063206,2.5567255677274314,3.3398972962766,0.33929847959393816,-0.4100683401278793,-1.0341917000176872,-0.9814475445317956,-0.09582612880250256,0.9669045657405849,0.2723331517774841,-0.5133218991751438,0.5586256312257656
OAF,1.6733080492072432,Transition,74.85074849935745,77.98269730199084,24.37392608663798,68.3941242969087,28.52121859126039,94.92891317858872,35.35753937671836,2.3980084889453623,3.1994311062074527,-1.4970030643308605,0.25218966981764634,0.05206653058398573,-0.7848140551676867,1.040187133487565,1.0154639808785055,0.7476308877883187,-0.9607577576781162,0.07033918818722334
Skeletal_muscle_Soleus,1.6514273463924554,Transition,79.37198198842681,74.05662503733754,25.552985457231316,76.78696616289177,26.2108016392842,89.15476484598491,28.79149389863272,2.929592433670746,2.898159401424464,-0.5523099058041893,-0.6041706809861138,0.7142462804243083,0.9525875894017044,-0.1851076366085467,-0.1340112611849572,-1.1750363629055165,0.5378189581974631,-0.9769369502502699
Native_Tissue,1.6346478411541696,Phase I (Metabolic),77.51117778359796,80.68929828058899,27.218478100788417,71.65033485342992,29.30924245612276,91.83284103037884,30.231981873797547,2.444632779598233,2.9645044069621114,-0.9411172978376672,0.8425572451640441,1.6496152105881476,-0.11074612129013936,1.45810370023579,0.39912056934639295,-0.7532331536357608,-0.8293202357967843,-0.7463094465684019
