latent_1,latent_2,latent_3,latent_4,latent_5,latent_6
1.920879,-2.0475516,-0.1339508,-4.246798,1.1182702,-2.3112698
1.7889813,-3.2505784,-2.271447,-2.1732488,1.2026387,-0.38544154
1.893086,-2.7421818,-1.1440382,-3.1750607,1.0193768,-1.4032243
1.800361,-3.54395,-2.6159692,-1.8512967,1.181306,-0.10650136
1.9459559,0.45664376,3.5510693,-8.048647,1.2757186,-6.0578012
-0.016090378,-1.6452276,-1.9699779,1.5177128,-3.26938,0.28518677
-0.34630126,-1.0873591,-1.4022485,1.743783,-3.5166857,0.21017435
-1.1861943,-0.14427195,-0.26189068,2.3535972,-4.0730367,0.06235508
-0.35720247,-0.93301314,-1.312846,1.6916921,-3.5155466,0.15657082
-0.27995896,-1.0590893,-1.4760779,1.6050096,-3.345155,0.18363312
-0.07452075,-0.84028006,-1.4920717,1.2896373,-3.3313382,0.013044171
-0.3747614,-0.4902848,-1.0775224,1.4993291,-3.4643302,-0.030960627
-0.061374918,-0.70394105,-1.4509832,1.1983933,-3.264766,-0.049237434
-2.5082145,3.5753715,1.9463485,2.1879063,-4.771673,-1.3888663
-0.558544,0.023775533,-0.7606077,1.4723794,-3.4647307,-0.19473295
-4.7139573,5.0361333,0.96641576,0.37590772,1.9666271,-3.1312566
-1.4112079,4.381396,-0.97500575,-3.072949,4.8271947,-2.9222434
-6.462581,4.158809,1.3515689,2.2836773,1.4448444,-2.3201776
-2.5807536,4.4480295,0.56563056,-1.6407735,2.6655378,-3.310456
