tissue,phase,canonical_metabolite,delta_log_mean,delta_log_std,n,percent_change_mean,percent_change_std
Heart_Native_Tissue,Phase I,ATP,-0.06751828256807575,0.20843252140910778,22,-5.07558943450826,17.852036633883937
Heart_Native_Tissue,Phase I,Lactate,0.0526472086595595,2.3859349151053886,44,0.2371986138136509,68.69472477273926
Heart_Native_Tissue,Phase I,Lactate/Pyruvate,-5.7815755851679205,1.1243838555139352,22,-99.25714010596403,1.7685240988188953
Heart_Native_Tissue,Phase I,NAD+,-0.015128746370820484,1.275618132095588,66,-1.1199323734406175,64.57572117873005
Heart_Native_Tissue,Phase I,NADH,-0.046007135133007686,0.13779482175629332,22,-4.04084071238941,13.232281940410164
Heart_Native_Tissue,Phase I,Pyruvate,-0.2373633323536493,0.9047838352592825,22,-13.06210582926479,51.14037871475951
Lung,Phase II,ATP,-0.30837035280402386,0.3314457192701795,10,-24.06689584447443,25.620446984808236
Lung,Phase II,Lactate,0.06857024652146779,0.4472492486532859,9,38.955103394372856,150.05057860978144
Lung,Phase II,Lactate/Pyruvate,1.2096208606227261,0.893621553697921,8,681.0570862652879,833.2015874845305
Lung,Phase II,NAD+,0.010711720246318474,0.10586670927502845,20,-1.9867611256556565,19.24931073852147
Lung,Phase II,NADH,-0.2347160073048309,0.25138493987655103,10,-33.87892746313929,36.048947393731495
Lung,Phase II,Pyruvate,-0.018857196801071188,0.23661083169988975,19,-4.574814981004717,55.30182839470333
Skeletal_muscle_TA,Transition,ATP,1.0437166508921503,1.5252391535115877,5,640.9688581314879,1165.6309509030466
Skeletal_muscle_TA,Transition,Lactate,-0.0944464579316211,0.3284814888138311,5,-5.517751479289942,25.69133141735065
Skeletal_muscle_TA,Transition,Lactate/Pyruvate,2.8070955812521694,0.8736082709044347,5,2162.0469398040004,1990.0350324254816
Skeletal_muscle_TA,Transition,NAD+,0.6667149258786061,0.9437325095014336,15,27.53748362365956,63.392458052420366
Skeletal_muscle_TA,Transition,NADH,0.7051432666512717,0.9787345456472388,5,170.7351225204201,248.05891830314619
Skeletal_muscle_TA,Transition,Pyruvate,0.07305399795739013,1.6350799921751034,20,-14.072547245896635,72.38502055858866
