,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
COL1A1,0.3268018754411209,0.09548034966927572,-0.07028865626185173,-0.011567290265067268,-0.029512487155735102,-0.02827503263881188,-0.0810671920571244,-0.050884909471267545,0.05953210366490243,0.03107637446509071,0.2773337754213433,-0.056094798315726835,-0.23590489714602542,-0.005943419888073067,0.3779513485044793,0.07412325920112317,0.7104070168513922,0.27368155966189583
COL3A1,0.0925901437409351,0.4166321121792446,0.017638909584375584,-0.05457864813913829,-0.06962538973361924,-0.07958899227498342,-0.24424032148659303,-0.07431218150371685,-0.19406047446852445,-0.08496806018395989,0.10366677278512215,-0.27992492225538745,0.5972144452426241,0.12829864945376274,-0.4182125237820232,0.06694447268927406,0.22613092793012096,0.023856632081747695
COL5A1,-0.31207247234851715,0.15535674032749586,0.09088502483139167,-0.02141852027382137,-0.010586574092046296,-0.018295270616099497,-0.06261173690603164,0.010688566384482885,-0.30983161655113955,-0.43911062455336825,-0.3321691495004134,-0.16625117072297724,0.15632441452978996,0.028497563481243937,0.6191641535896601,-0.16409944599132573,0.03963053945017554,-0.037047125105146565
FN1,-0.32673261970009543,-0.09588217587745264,0.07023307661333279,0.011620417387168172,0.029572604398534007,0.028346586234339412,0.08128973234659188,0.050939014900419514,0.3129591607983832,0.4999550036420689,-0.1543080178642241,-0.1773146070080924,0.3004945266818291,0.35485910187359565,0.25482755473313,0.41632697827982307,0.08636730632563278,0.05484019183912359
ELN,-0.3270874766681924,-0.09380384632307476,0.0705197317852725,0.011345643058182224,0.02926151685432447,0.027976386049316015,0.08013843226662734,0.05065879931020713,-0.3990210394885239,-0.21619293321089064,0.2734749655710661,0.5552898478355,0.02722168091018889,0.12783478777319107,-0.08666380609794773,0.4602572946700093,0.10456719918360562,0.17896501664159417
LOX,-0.25935691537566635,0.27266842610771225,0.08937046100933613,-0.036704292375089334,-0.03137311362830501,-0.04158028217047725,-0.1335708741611454,-0.013187522117662557,0.5617648942050633,-0.4437123179045207,-0.164398580242095,-0.07519883785109713,-0.275205832042687,-0.18580919616387362,-0.200087314514923,0.3569971561762439,0.06572954680143281,0.03340051978762506
TGM2,0.25489202774228925,0.2819535154146204,-0.03482216180694354,-0.03634410304179351,-0.05564643352059158,-0.06017440735332568,-0.18107424066454572,-0.0715872167198043,-0.08587411991103654,0.07814321876457661,-0.48226424374202953,0.33143200256266714,-0.2934668150465522,0.5896801137160101,-0.07065490853717725,0.02142812677673085,0.015183137096005704,-0.11373117790053595
MMP2,-0.2593569153756664,0.2726684261077122,0.08937046100933613,-0.036704292375089397,-0.03137311362830482,-0.041580282170477385,-0.13357087416114513,-0.013187522117663105,0.1868782595266394,-0.02465607960316763,0.612472995152612,-0.04538199162199813,-0.16375844069709286,0.4479274285603964,0.1219233840938263,-0.308942334180791,-0.2779771682180603,0.023905259639523467
MMP9,0.32754674354752755,-0.08803667986805783,-0.08815978680587472,0.012601198283391572,-0.0006863800518921215,0.005418297561882099,0.023104847373307036,-0.022752923028003417,0.22863790216291724,-0.24703355425219434,-0.09735465747018393,0.12003517483974595,0.2853117363261599,0.12202697826961706,0.10727007678728909,-0.009656051516623021,-0.3432742675674839,0.7162628257037387
PLOD1,0.0858446269142691,0.41901421575401593,0.01950933244980074,-0.054913095316341975,-0.06970074420764012,-0.0798051330785817,-0.24503936256610115,-0.07393109731524222,-0.25909565745882035,0.3520110316565689,0.052095081567610516,-0.04038686737584848,-0.14807100713002935,-0.3804034813104583,0.22912612798928292,0.3628127124901658,-0.4154077382792754,0.1349443782773047
