,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
COL1A1,0.33423219678985566,0.1418122949739217,-0.012693868898347466,0.23692082609143061,0.21191764450099917,0.23022613916551427,-0.40046079470265533,0.6837839178305802,0.06946447781168717,-0.27000102961898703,-0.02411290922622786,0.0879530547050889
COL3A1,0.07650939807926949,0.5059142823968276,-0.10110353020067932,-0.3534847046549334,0.47047551520929953,-0.13707872117586423,-0.3267156214365895,-0.14541856389248464,0.06162837207715928,0.3613213065600937,-0.14786726874264053,-0.2806784217176808
COL5A1,-0.33067628282560285,0.15930552098572776,-0.24011261179280916,-0.0286692567702589,-0.03812774902596126,0.6394892005537604,0.0005130314236915263,-0.14079011084793458,-0.07580262235507546,-0.08922304312122875,-0.5729344335201416,0.18605380634948177
FN1,-0.334141664310074,-0.14228680703445779,0.17433743874713795,0.5501430797781338,-0.1563170478397276,0.03729237407492297,-0.3980709032460658,0.037560939024441735,0.09408165972180776,0.5535370398491932,-0.060202356669095076,-0.1745763908689029
ELN,-0.33460644724691024,-0.13983224751515877,-0.3230441792970384,0.026682012449090006,0.46855948115705004,-0.16151175004725166,0.2659189125991514,0.32332777550276104,-0.0903289446849247,0.3241115731176739,0.11041732595338503,0.46597063129263794
LOX,-0.28151939847935026,0.3040122926737127,0.4661485385171384,0.21303195623768717,0.2238942020994194,-0.10673562420034324,0.5030646821056574,0.23495186048193703,0.030073745944740413,-0.16969575178946583,-0.2358392099182075,-0.3324567794532551
TGM2,0.2510019153428026,0.358649328771323,-0.12708515311898994,0.008344593865932752,-0.453612765182218,-0.12622376758999837,0.2821008132113729,0.1809473507694096,0.5122174583425859,0.31735100147169537,-0.18409649283456497,0.2473029211921852
MMP2,-0.2815193984793503,0.30401229267371277,0.29896565842491424,-0.12116628720397526,0.04785448024217704,0.3976387391875725,-0.044482472431082394,-0.1020435690885209,0.33379733408351175,-0.022744550088090745,0.6248191956014798,0.22164480501688472
MMP9,0.3435708776806216,-0.07751564340757136,0.36652662920277906,-0.23584291219624895,-0.05363514227776935,0.40062453907129764,0.22099036564883184,0.1873307442948645,-0.447200458875545,0.4879003051236308,0.025050323705726227,-0.004236950791371919
PLOD1,0.069407314615435,0.5081909573256511,-0.3785215622534154,0.4328404292415766,-0.14665475993492738,0.027218809654978787,0.13401965016188272,-0.10455839663086756,-0.48288275890003746,0.005832521566777102,0.3320096030298506,-0.10822571086668856
COL4A1,0.29475378102076,-0.2746492744093942,-0.28925412759797664,0.2424268874055336,0.33255213913701065,0.36972979679989676,0.31932777395457146,-0.16896356871288598,0.40015416344703986,0.09454896069431024,0.10714186414461935,-0.36999599507120096
LAMC1,0.3438456057006014,0.07475247626509718,0.3363003670001128,0.39095881305182484,0.30846149090582087,-0.09164953587347588,-0.017680786664049188,-0.46107298882517495,-0.0253127778977985,-0.009390783121650844,-0.17673627425033384,0.5116853155778319
