dataset_id,sample_id,tissue,phase,velocity,umap_x,umap_y,cluster
ST000828,S00015480,Lung,Phase II,4.162418661183056,17.694105,-20.011974,1
ST000828,S00015481,Lung,Phase II,4.162418661183056,17.053158,-20.02137,1
ST000828,S00015482,Lung,Phase II,4.162418661183056,16.626617,-18.856281,0
ST000828,S00015483,Lung,Phase II,4.162418661183056,17.945702,-19.419758,1
ST000828,S00015484,Lung,Phase II,4.162418661183056,17.620834,-20.600496,1
ST001329,JW25-NP,Heart_Native_Tissue,Phase I,1.6346478411541698,16.872082,-17.233341,0
ST001329,JW25-R,Heart_Native_Tissue,Phase I,1.6346478411541698,16.69238,-17.90354,0
ST001329,JW37-LB,Heart_Native_Tissue,Phase I,1.6346478411541698,18.647194,-19.335052,1
ST001329,JW41-RF,Heart_Native_Tissue,Phase I,1.6346478411541698,17.231968,-18.606062,0
ST001329,JW42-LF,Heart_Native_Tissue,Phase I,1.6346478411541698,17.48918,-17.420862,0
ST001329,JW42-NP,Heart_Native_Tissue,Phase I,1.6346478411541698,17.724035,-18.11769,0
ST001329,JW43-RB,Heart_Native_Tissue,Phase I,1.6346478411541698,17.372309,-19.371332,1
ST001329,JW48-NP,Heart_Native_Tissue,Phase I,1.6346478411541698,15.993046,-18.315613,-1
ST001329,JW49-LB,Heart_Native_Tissue,Phase I,1.6346478411541698,15.929535,-19.234352,1
ST001329,JW49-RF,Heart_Native_Tissue,Phase I,1.6346478411541698,18.522285,-20.26478,-1
ST002058,4T1-15_R11+,Skeletal_muscle_TA,Transition,1.9552397727644704,16.558111,-19.606739,1
ST002058,4T1-15_R11-,Skeletal_muscle_TA,Transition,1.9552397727644704,16.136753,-20.148485,1
ST002058,4T1-1_R7+,Skeletal_muscle_TA,Transition,1.9552397727644704,18.346994,-18.537066,0
ST002058,4T1-1_R7-,Skeletal_muscle_TA,Transition,1.9552397727644704,16.73666,-20.774775,-1
