sample_id,metabolite,value,Sample type,Species,bleomycin/IPF,saline/HLF,wt B6
S00015469,C22 CER,5703936.582,Tissues,Mus musculus,N,Y,Y
S00015470,C22 CER,5015879.938,Tissues,Mus musculus,N,Y,Y
S00015471,C22 CER,5467201.523,Tissues,Mus musculus,Y,N,Y
S00015472,C22 CER,6207717.35,Tissues,Mus musculus,Y,N,Y
S00015473,C22 CER,6183899.084,Tissues,Mus musculus,Y,N,Y
S00015474,C22 CER,6941223.742,Tissues,Mus musculus,Y,N,Y
S00015475,C22 CER,1789750.106,Cells,Homo sapiens,N,Y,N
S00015476,C22 CER,2430036.041,Cells,Homo sapiens,N,Y,N
S00015477,C22 CER,2736578.926,Cells,Homo sapiens,N,Y,N
S00015478,C22 CER,1759028.005,Cells,Homo sapiens,N,Y,N
S00015479,C22 CER,2164439.651,Cells,Homo sapiens,N,Y,N
S00015480,C22 CER,1043406.914,Cells,Homo sapiens,Y,N,N
S00015481,C22 CER,835781.0316,Cells,Homo sapiens,Y,N,N
S00015482,C22 CER,1106883.454,Cells,Homo sapiens,Y,N,N
S00015483,C22 CER,1281598.917,Cells,Homo sapiens,Y,N,N
S00015484,C22 CER,1273825.67,Cells,Homo sapiens,Y,N,N
S00015469,C24:1 CER,22157790.11,Tissues,Mus musculus,N,Y,Y
S00015470,C24:1 CER,20169886.19,Tissues,Mus musculus,N,Y,Y
S00015471,C24:1 CER,28601422.45,Tissues,Mus musculus,Y,N,Y
S00015472,C24:1 CER,38763327.08,Tissues,Mus musculus,Y,N,Y
S00015473,C24:1 CER,33508656.7,Tissues,Mus musculus,Y,N,Y
S00015474,C24:1 CER,27013966.14,Tissues,Mus musculus,Y,N,Y
S00015475,C24:1 CER,4395266.064,Cells,Homo sapiens,N,Y,N
S00015476,C24:1 CER,5056058.144,Cells,Homo sapiens,N,Y,N
S00015477,C24:1 CER,5724159.406,Cells,Homo sapiens,N,Y,N
S00015478,C24:1 CER,3835527.436,Cells,Homo sapiens,N,Y,N
S00015479,C24:1 CER,4598070.547,Cells,Homo sapiens,N,Y,N
S00015480,C24:1 CER,3316148.601,Cells,Homo sapiens,Y,N,N
S00015481,C24:1 CER,2967606.983,Cells,Homo sapiens,Y,N,N
S00015482,C24:1 CER,4547323.576,Cells,Homo sapiens,Y,N,N
S00015483,C24:1 CER,4872113.069,Cells,Homo sapiens,Y,N,N
S00015484,C24:1 CER,4184632.31,Cells,Homo sapiens,Y,N,N
S00015469,C14 CER,13.18467456,Tissues,Mus musculus,N,Y,Y
S00015470,C14 CER,11.3554499,Tissues,Mus musculus,N,Y,Y
