metabolite,S00015469,S00015470,S00015471,S00015472,S00015473,S00015474,S00015475,S00015476,S00015477,S00015478,S00015479,S00015480,S00015481,S00015482,S00015483,S00015484
2-KETOGLUTARIC ACID,0.2250877,0.2279765,0.2287517,0.2308893,0.2359683,0.2380787,0.2405373,0.2504593,0.2586114,0.2526327,0.2507883,0.2645688,0.2453656,,0.2402555,0.2662557
ACETYL-COA,0.1490353,0.1692829,0.1256338,0.0944061,0.1456283,0.1520306,0.0325782,0.0110472,0.0198041,0.0312529,0.0276192,0.0257642,0.0128234,0.0107122,0.0165798,0.0128476
ADENOSINE 5'-DIPHOSPHATE,5.4226688,4.6860995,7.2679813,6.4957224,7.0485665,5.495183,4.6881385,4.5222835,3.6985387,4.1268358,3.8255866,5.6181899,5.8949762,5.8488405,5.8450959,6.2206817
ADENOSINE 5'-MONOPHOSPHATE,407.22294,326.80863,139.18028,84.540786,217.29523,203.80003,28.270338,24.158615,22.726548,24.919884,24.324044,79.370131,92.896699,80.242521,117.29868,110.32047
ADENOSINE TRIPHOSPHATE,1.1035712,0.5494341,1.4067392,1.8128907,1.3925519,1.0409066,24.264502,22.058601,19.217528,20.123856,21.504412,11.199269,12.616523,11.129699,9.3763254,11.262628
BETA-NAD+,0.0429542,0.0213538,0.0553099,0.0122934,,0.0523494,2.0001918,1.884432,1.7880502,1.4416016,1.9292067,1.3798333,1.4030294,1.1507029,1.3779033,1.5333966
C14 CER,13.18467456,11.3554499,16.71693126,17.5211094,14.99545025,16.52230241,4.341071808,4.523389516,3.910946385,3.72642603,3.686349582,2.567389296,2.579638735,3.295066866,3.169451064,2.82618964
C22 CER,5703936.582,5015879.938,5467201.523,6207717.35,6183899.084,6941223.742,1789750.106,2430036.041,2736578.926,1759028.005,2164439.651,1043406.914,835781.0316,1106883.454,1281598.917,1273825.67
C24 CER,1279.74824,1379.284799,542.9248375,1478.376646,1147.90664,1505.891429,130.060554,159.1229516,308.3833215,112.5124306,292.9832778,32.53552938,30.83932337,37.78045285,41.90340042,35.88320168
C24:1 CER,22157790.11,20169886.19,28601422.45,38763327.08,33508656.7,27013966.14,4395266.064,5056058.144,5724159.406,3835527.436,4598070.547,3316148.601,2967606.983,4547323.576,4872113.069,4184632.31
