sample_id,metabolite,value,Age (Months),Treatment
JWY1-RF,1/3-Methylhistidine,986948.4661,5-6,None
JWY1-LB,1/3-Methylhistidine,802880.3253,5-6,None
JWY1-RB,1/3-Methylhistidine,939824.1164,5-6,None
JWY1-LF,1/3-Methylhistidine,742237.7664,5-6,None
JWY2-LB,1/3-Methylhistidine,1057436.94,5-6,None
JWY2-RB,1/3-Methylhistidine,670555.8041,5-6,None
JWY2-LF,1/3-Methylhistidine,1016045.319,5-6,None
JWY2-RF,1/3-Methylhistidine,635212.4522,5-6,None
JWY4-RF,1/3-Methylhistidine,466942.5975,5-6,None
JWY4-LF,1/3-Methylhistidine,637079.1098,5-6,None
JWY4-RB,1/3-Methylhistidine,432895.9856,5-6,None
JWY4-LB,1/3-Methylhistidine,561098.2714,5-6,None
JW42-NP,1/3-Methylhistidine,1317763.497,26,None
JW41-RF,1/3-Methylhistidine,937293.4062,26,None
JW42-LF,1/3-Methylhistidine,1265283.515,26,None
JW43-RB,1/3-Methylhistidine,848838.5721,26,None
JW49-RF,1/3-Methylhistidine,847669.4143,26,None
JW48-NP,1/3-Methylhistidine,985516.9714,26,None
JW49-LB,1/3-Methylhistidine,1401947.894,26,None
JW25-NP,1/3-Methylhistidine,1024651.58,26,None
JW37-LB,1/3-Methylhistidine,1320006.844,26,None
JW25-R,1/3-Methylhistidine,1297495.121,26,None
JW42-RF,1/3-Methylhistidine,831005.4958,26,SS-31 (3 mg/kg/day)
JW43-LB,1/3-Methylhistidine,1141429.161,26,SS-31 (3 mg/kg/day)
JW41-LF,1/3-Methylhistidine,936013.1937,26,SS-31 (3 mg/kg/day)
JW41-NP,1/3-Methylhistidine,865206.0494,26,SS-31 (3 mg/kg/day)
JW47-LF,1/3-Methylhistidine,1029852.238,26,SS-31 (3 mg/kg/day)
JW34-RF,1/3-Methylhistidine,1015041.396,26,SS-31 (3 mg/kg/day)
JW34-LB,1/3-Methylhistidine,1017954.046,26,SS-31 (3 mg/kg/day)
JW49-LF,1/3-Methylhistidine,1288684.47,26,SS-31 (3 mg/kg/day)
JW35-RF,1/3-Methylhistidine,1376055.803,26,SS-31 (3 mg/kg/day)
JW37-RB,1/3-Methylhistidine,1087175.585,26,SS-31 (3 mg/kg/day)
JW36-RF,1/3-Methylhistidine,507617.8203,26,SS-31 (3 mg/kg/day)
JW35-RB,1/3-Methylhistidine,1090164.018,26,SS-31 (3 mg/kg/day)
JW44-RF,1/3-Methylhistidine,1175677.309,26,NMN (300 mg/kg/day)
JW46-LF,1/3-Methylhistidine,964412.9649,26,NMN (300 mg/kg/day)
JW45-LF,1/3-Methylhistidine,1070573.667,26,NMN (300 mg/kg/day)
JW45-NP,1/3-Methylhistidine,1050923.295,26,NMN (300 mg/kg/day)
JW51-LF,1/3-Methylhistidine,773880.5681,26,NMN (300 mg/kg/day)
JW39-RB,1/3-Methylhistidine,1190367.084,26,NMN (300 mg/kg/day)
JW46-RB,1/3-Methylhistidine,736652.6873,26,NMN (300 mg/kg/day)
JW39-RF,1/3-Methylhistidine,1269901.036,26,NMN (300 mg/kg/day)
JW27-LB,1/3-Methylhistidine,1863798.519,26,NMN (300 mg/kg/day)
JW29-LB,1/3-Methylhistidine,1043828.286,26,NMN (300 mg/kg/day)
JW33-LF,1/3-Methylhistidine,1047828.75,26,NMN (300 mg/kg/day)
JW45-RF,1/3-Methylhistidine,1107957.237,26,SS-31 (3 mg/kg/day) + NMN (300 mg/kg/day)
JW44-LF,1/3-Methylhistidine,904157.3834,26,SS-31 (3 mg/kg/day) + NMN (300 mg/kg/day)
JW44-NP,1/3-Methylhistidine,1078820.775,26,SS-31 (3 mg/kg/day) + NMN (300 mg/kg/day)
JW51-RF,1/3-Methylhistidine,676005.6129,26,SS-31 (3 mg/kg/day) + NMN (300 mg/kg/day)
JW50-LF,1/3-Methylhistidine,1346011.008,26,SS-31 (3 mg/kg/day) + NMN (300 mg/kg/day)
JW50-NP,1/3-Methylhistidine,1090774.899,26,SS-31 (3 mg/kg/day) + NMN (300 mg/kg/day)
