metabolite,JW25-NP,JW25-R,JW27-LB,JW29-LB,JW33-LF,JW34-LB,JW34-RF,JW35-RB,JW35-RF,JW36-RF,JW37-LB,JW37-RB,JW39-RB,JW39-RF,JW41-LF,JW41-NP,JW41-RF,JW42-LF,JW42-NP,JW42-RF,JW43-LB,JW43-RB,JW44-LF,JW44-NP,JW44-RF,JW45-LF,JW45-NP,JW45-RF,JW46-LF,JW46-RB,JW47-LF,JW48-NP,JW49-LB,JW49-LF,JW49-RF,JW50-LF,JW50-NP,JW51-LF,JW51-RF,JW52-LF,JW52-RF,JWY1-LB,JWY1-LF,JWY1-RB,JWY1-RF,JWY2-LB,JWY2-LF,JWY2-RB,JWY2-RF,JWY4-LB,JWY4-LF,JWY4-RB,JWY4-RF
1-Methyladenosine,375345.6237,370274.5024,492063.7875,342355.1378,227688.6057,285374.2716,328623.5258,645839.3034,382383.659,302823.3693,347632.006,504365.7733,330669.2331,396441.3382,242874.3353,368196.4049,215308.9256,401434.4867,246979.9729,604971.7102,354478.4015,352719.6786,244593.1141,371780.6056,299338.3176,348611.1553,618445.8471,229987.6284,386875.6768,308107.9587,324790.7884,379404.2588,349776.0199,328095.2357,364119.2889,313448.8505,283882.6912,325252.4534,391262.5739,304570.6636,466111.6448,317197.756,486050.7104,329836.6505,530272.1045,436044.2833,257030.4974,410337.4591,309411.6137,446064.2972,305065.9541,434622.5821,338528.2954
1-Methylhistamine,43349.78849,40884.6073,42576.145,31213.70381,39936.19305,74448.76502,42296.41878,51450.30892,46000.65703,43958.39925,40774.90921,33384.55206,55928.9429,53670.85178,26686.1467,50502.64312,39684.96114,30947.14349,53009.1036,37807.66425,38688.09508,40873.09411,50135.47273,40229.91736,44464.29665,42209.87262,62382.50916,29760.06605,46302.57023,49697.38638,49718.48182,44394.5582,35110.29624,39213.53426,35098.26273,51896.16602,45762.67322,30410.17799,47366.73505,39262.42549,35242.10089,38835.38976,56428.21452,50670.65747,53938.37286,49969.05902,45964.7159,30396.55412,62714.29108,43554.5724,27686.54868,36164.55653,38368.63801
1-methylguanidine,81216.0547,67563.42497,67947.4539,101001.5294,82696.89984,89471.04813,74588.27446,88198.5492,112007.1611,86965.3714,83914.16932,64080.97651,90662.96845,85669.86226,146356.0372,87021.5949,96889.55854,78576.62838,92920.16991,66576.67009,80040.73957,74965.56177,90354.34002,80612.81601,95405.28115,71228.57344,87482.58001,89554.88582,90593.19307,117287.7436,120098.1727,90157.15969,57870.68321,102144.5763,37403.77072,126363.129,71397.80899,48697.2816,70001.84156,70314.99577,58739.05141,135586.9139,78280.09909,111293.6786,67434.64788,88020.58545,113378.4928,88897.60198,90491.63697,71797.01575,104478.7538,96902.77499,76337.75263
1-methylnicotinamide,1626592.899,1135478.472,2195336.777,4537119.404,1713881.261,962302.6933,1461838.583,1344385.511,1377014.49,1271963.019,1000209.275,1533534.426,1616776.284,3369350.271,1188706.076,1439733.81,1144977.684,1453754.017,1394180.044,1507895.377,932690.0825,1151275.404,3746713.719,3277712.699,2994211.862,3303208.982,2912367.618,3173005.051,3091945.906,2851373.533,1247610.503,948849.3758,1636440.899,1032830.042,1257716.685,2834097.025,3254703.453,3345410.227,2635059.475,3247637.488,3380238.8,1251137.484,1117633.656,922962.4485,1119682.719,968815.4452,1135551.09,903471.0656,980084.7234,1150238.783,830459.9742,1123571.745,927644.0506
1/3-Methylhistidine,1024651.58,1297495.121,1863798.519,1043828.286,1047828.75,1017954.046,1015041.396,1090164.018,1376055.803,507617.8203,1320006.844,1087175.585,1190367.084,1269901.036,936013.1937,865206.0494,937293.4062,1265283.515,1317763.497,831005.4958,1141429.161,848838.5721,904157.3834,1078820.775,1175677.309,1070573.667,1050923.295,1107957.237,964412.9649,736652.6873,1029852.238,985516.9714,1401947.894,1288684.47,847669.4143,1346011.008,1090774.899,773880.5681,676005.6129,949468.3973,687350.7524,802880.3253,742237.7664,939824.1164,986948.4661,1057436.94,1016045.319,670555.8041,635212.4522,561098.2714,637079.1098,432895.9856,466942.5975
2'-deoxycytidine,66178.64924,104428.1329,60790.09187,57557.18601,59559.66455,60744.93881,86408.73986,77491.0078,105511.8254,62476.48003,59274.2928,62722.35394,65845.21621,74454.26689,58744.67232,61067.24202,59695.60677,54741.94169,64875.55922,75021.68609,72621.72299,67811.00056,65754.523,59986.32964,53892.09701,73099.79356,74251.53583,64999.77388,50606.32731,52406.22992,48634.50597,56684.0853,64271.48199,42218.96296,63681.13804,49003.6399,61628.63336,72237.72378,57798.53946,67706.82718,60572.70241,67172.43222,78852.10583,58030.08806,72351.73714,55297.60549,66896.84019,59998.01051,65824.10498,54914.42415,58617.01712,68218.40732,58771.25245
2-Hydroxyglutarate,9573820.841,10731972.96,7980736.583,12586959.46,6893923.653,8878340.686,7693409.459,5585523.22,8698943.113,11385789.62,7393558.022,5778437.494,7045325.885,7266673.15,10345725.54,9209377.469,10773668.07,8618566.963,8551890.63,16256767.08,15084516.18,8133379.557,8702705.404,12081786.39,12484334.11,7279366.131,13007020.91,9467324.804,9059190.381,8868165.97,8124073.614,14002692.54,13064656.73,14812748.97,9493631.598,7819203.988,15212526.05,12198186.43,10577824.78,8829276.484,9721204.613,8702020.397,4379963.125,6594872.247,6012701.887,5008489.969,7046756.759,8319384.35,5851895.27,7986831.164,13964468.34,11565585.36,8470488.952
2-aminoisobutyric acid,780658.8177,1181453.113,966112.7723,1176409.479,1367243.876,1704399.754,1148644.393,1970287.705,1170467.217,1807095.495,1608018.945,1996223.714,901808.3774,1413581.073,791614.3922,1871474.871,1034680.315,977731.7239,1082729.805,2273029.756,1825485.264,2179923.387,1206018.202,1496313.206,1442780.056,1888714.997,1027544.559,871353.3173,1464918.884,1031960.106,1147162.257,1200189.975,1752644.782,1301757.045,889794.6717,1925838.925,1044162.658,1057607.656,1274224.13,1724754.839,786957.3946,1196955.192,1804446.207,831104.3251,1516750.476,1533020.461,971430.3068,1190723.407,1345027.588,1511229.45,481857.2726,1069906.731,1495879.3
2-hydroxybutyrate,1027099.649,2417333.884,874398.0381,1805923.546,1811983.471,3548196.487,1271822.462,2358811.686,1483750.37,2098088.329,1728167.072,2294930.551,1312517.036,2520579.83,892038.2796,2601810.899,1744348.186,1068961.758,1144255.902,670544.9099,3700541.475,3721443.7,3687459.564,2382160.514,2203730.621,4822811.647,4169129.26,1417487.664,2001404.277,1802484.232,1070014.484,2767699.177,2419314.614,1543984.951,2149222.031,3573843.401,4067358.034,2249150.957,2821575.511,2670694.61,1924010.408,1895028.641,2822046.234,934617.3747,2864422.276,2686248.623,1355610.385,2425772.43,2765174.127,2680046.508,709819.6903,2247838.498,2945044.656
2/3-Phosphoglyceric Acid,4402488.957,5505558.524,7518973.522,8544986.36,3684159.46,4822973.158,7619661.644,5274470.543,2437678.177,8156664.431,5064459.536,4535373.375,4067416.834,5739981.596,4009871.592,5769199.061,7043625.055,8134441.056,3551604.381,11350746.52,5822133.736,5416871.298,10760201.96,3404898.509,4031899.979,5286699.155,5059881.064,13077701.81,3097282.377,13825220.79,5244122.4,4693965.113,12809589.77,5777761.119,8335425.931,5086583.306,3880553.507,13703994.54,6264864.182,4704941.745,4199134.076,3548244.218,3389127.142,3935241.187,7196133.191,4931005.455,3654040.078,5331694.616,9782096.388,5863931.849,8620795.502,4652225.804,4663629.281
3-Indoxyl Sulfate,116420.1544,110644.5471,74991.61541,145791.8128,153604.5636,117847.8076,92986.02846,40969.5556,66666.83901,93901.83737,68562.5554,56783.52806,98020.52252,8417.663506,67547.60581,53146.34906,83542.6328,77596.34391,52990.48349,22299.47902,71467.03255,69180.42618,78001.03079,77432.7206,57610.8984,201450.294,288544.662,52594.74586,101812.2131,200064.2459,63866.87742,123584.8436,139162.9606,213481.9126,161606.9625,286302.0401,63496.62958,101966.1941,127302.8667,182871.5658,104805.732,92514.44466,96128.86146,90751.2567,58806.34211,81974.32278,72012.8739,41489.71291,31988.53934,31970.85605,64599.05428,36648.55958,51814.30912
3-hydroxyisovaleric acid,96439.82828,261406.3159,118772.6167,235391.3658,138864.2652,243635.6639,177496.5845,206026.3099,325456.1178,251310.3515,191941.5022,166386.7751,160270.3028,158964.0403,153332.2042,271247.3534,108455.2599,105987.7583,123629.6794,157923.9603,270330.2183,245550.1741,168449.8202,226394.4004,174598.9438,276296.7952,692369.109,113854.1846,130517.6787,219458.2599,151391.1554,225730.6527,156219.9435,190031.8211,169134.6893,190519.9387,242920.1727,250098.8098,370411.2967,193378.4655,200479.6432,188449.5169,192640.0449,163030.9347,239595.6065,223152.6214,194719.089,145067.9285,246982.3666,135196.8418,180480.0363,240444.3513,239104.9035
3HBA,2444132.925,4184723.924,2440074.264,4069052.878,2901527.711,3502280.835,2966654.912,3182162.273,2756452.77,2018792.97,3049667.998,3520008.125,3664863.562,3432677.239,3490148.198,3100506.49,1022007.144,2783998.897,3148216.797,2545449.933,3095232.397,3531192.874,3746391.163,3011745.016,3002836.413,6351688.835,4063974.615,2794881.939,2953942.666,4822663.693,3431966.016,2388915.115,3807704.337,2386693.173,3151461.29,2001930.358,5661579.027,4210685.459,3808692.962,2237171.245,4953847.059,4697849.356,3352607.864,4797141.53,4893901.551,3140725.693,3766927.153,2696545.364,3917617.55,3294514.976,3506140.886,3794090.458,4006298.97
5'-methylthioadenosine,105909.4946,46930.9444,125134.1197,116245.5053,148441.5333,96340.79841,89984.70764,101276.5864,77069.7684,77008.11084,65209.88817,110515.7576,101278.625,55260.09308,94490.67248,97970.05059,107880.2396,101566.0223,95726.41558,93327.57434,92480.85313,122592.0495,80404.45626,94700.35015,92894.73384,70721.7483,56426.29556,86200.88638,84663.17005,93546.71401,104527.3958,104208.5445,115117.2413,83446.33351,97799.32937,108074.8241,87812.86812,81952.65353,116404.5203,134586.6986,87205.56307,134214.2956,124010.8801,130871.1446,105359.4782,133962.519,111777.9276,129283.4014,108620.6617,135471.501,156637.9718,142078.3139,110907.2275
5-Aminovaleric Acid,49240.37453,738.0097463,40614.95421,93668.45371,28011.70601,62828.55463,21518.75715,27205.19688,25397.22058,76904.72172,18130.53388,36231.84687,23097.90701,29702.11589,42394.51654,25606.58848,33692.73319,19366.59311,32741.92387,34453.79073,21344.08323,23101.47134,39846.5904,30690.72534,37791.55813,29953.31214,18657.6889,27732.88334,29660.97684,31574.70886,38501.59884,23748.75699,20296.81558,23865.28102,33172.32408,29587.6952,29359.28853,33989.47914,37241.05069,38081.4931,40875.04241,35840.48533,39214.16928,56755.47037,38511.01658,24997.69389,37155.49811,28728.15289,59522.54702,47964.12846,27977.1567,43651.34309,45354.77463
5-methylcytidine,1104.39769,5111.258249,7323.687916,161.7530414,2475.966775,6236.952761,2201.808046,9434.629419,2190.319197,6517.673058,4519.716083,8708.943996,2289.106215,4444.778466,3820.999877,4177.861791,1899.893617,2640.362202,1844.035791,6561.741111,3833.958401,4223.091772,3562.449015,3294.087544,2637.870611,4877.876462,3439.785886,3653.529725,3134.726103,3342.659625,3899.900436,2546.59504,3540.733354,3187.348892,3877.21822,4832.438519,3486.42492,4721.484315,4485.809401,5651.847948,1878.94763,3392.179605,3679.841512,4058.899751,4958.869876,3730.574904,3202.21403,4201.828506,4801.10896,3993.419584,2717.22627,4758.771348,5221.683173
6-Methyladenosine,8572.492293,10511.4802,12818.27967,8589.165031,9857.260374,7893.188428,21274.55717,18009.56401,10797.32417,9212.786944,13042.57156,15971.60579,14875.27978,10748.53381,8903.562927,15031.34367,7098.062977,9565.146202,7724.305636,22757.03778,6019.581829,8710.75759,6013.707197,8505.38712,7003.880427,11074.12042,13104.8484,901.8467594,8473.024735,4819.532223,10925.92404,9907.253782,5760.112129,5038.428494,5973.434267,9444.681337,7449.474669,5961.999482,9269.530532,8272.894353,8463.315755,8550.071429,11676.74704,9364.614412,11622.95792,14145.83486,9375.227997,13754.32977,11675.99985,10378.07854,7108.747265,8567.338894,8173.865781
6-phosphogluconic acid,1070216.195,1154155.459,1362912.971,2172116.909,1014799.502,1099344.397,1347667.581,1265520.176,797927.3883,938621.4203,902353.066,938109.7146,692217.3096,947676.24,1286330.753,781788.1442,1212769.147,1384295.365,1134594.325,808075.5436,1454434.23,881749.7788,898560.3988,1201170.151,1245351.446,1512109.894,1101373.186,1819001.395,1226372.291,1970042.961,1653901.119,1398401.944,1704721.615,1558678.25,3064361.211,1858886.621,2421804.3,1270389.944,1847851.716,996595.5742,1594264.595,1489527.962,1563775.349,1156529.359,1050788.482,1309802.092,1189857.947,2179269.314,1598970.267,1324452.874,1358086.563,1023158.738,1439655.667
7-methylguanine,6668.024307,10298.33207,6916.206002,9243.613105,8540.622539,6762.512213,7392.465439,7821.554706,12393.50885,6441.152499,7063.614164,8735.680617,8061.113858,11563.88236,7501.876725,6497.735449,7920.202701,6260.004419,7177.713711,8001.449856,10112.05577,6245.683285,9032.891554,6340.677995,7492.386657,8269.014658,15770.07382,10230.57781,9415.760236,5942.130717,8237.703186,9836.7113,5852.296836,12192.7549,10492.64336,7362.121934,11693.36874,5881.843232,9302.221288,7529.615924,15136.13931,11717.76166,7702.449681,8455.709786,7617.214445,6923.452536,8636.454416,5070.586247,6103.438824,5169.208092,7614.50089,7625.842491,7319.328095
