sample_id,metabolite,value,Age,Genotype,Treatment
01_Young_Liver_1a,3-hydroxybutyric acid,93039485.55,Young,SIRT6-tg,N/A
02_Young_Liver_1b,3-hydroxybutyric acid,103129248.3,Young,SIRT6-tg,N/A
03_Young_Liver_1c,3-hydroxybutyric acid,65150372.33,Young,SIRT6-tg,N/A
05_Young_Liver_2a,3-hydroxybutyric acid,73962775.94,Young,SIRT6-tg,N/A
06_Young_Liver_2b,3-hydroxybutyric acid,68979389.73,Young,SIRT6-tg,N/A
07_Young_Liver_2c,3-hydroxybutyric acid,41641809.98,Young,SIRT6-tg,N/A
09_Young_Liver_3a,3-hydroxybutyric acid,45191468.74,Young,Wild-type,N/A
10_Young_Liver_3b,3-hydroxybutyric acid,38134764.62,Young,Wild-type,N/A
11_Young_Liver_3c,3-hydroxybutyric acid,74718013.27,Young,Wild-type,N/A
13_Young_Liver_4a,3-hydroxybutyric acid,78202663.27,Young,SIRT6-tg,N/A
14_Young_Liver_4b,3-hydroxybutyric acid,55405042.86,Young,SIRT6-tg,N/A
15_Young_Liver_4c,3-hydroxybutyric acid,58504093.4,Young,SIRT6-tg,N/A
17_Young_Liver_5a,3-hydroxybutyric acid,53500651.71,Young,Wild-type,N/A
18_Young_Liver_5b,3-hydroxybutyric acid,60290699.73,Young,Wild-type,N/A
19_Young_Liver_5c,3-hydroxybutyric acid,51350936.34,Young,Wild-type,N/A
21_Young_Liver_6a,3-hydroxybutyric acid,69922059.78,Young,Wild-type,N/A
22_Young_Liver_6b,3-hydroxybutyric acid,53267462.64,Young,Wild-type,N/A
23_Young_Liver_6c,3-hydroxybutyric acid,66996072.53,Young,Wild-type,N/A
25_Young_Liver_7a,3-hydroxybutyric acid,86883922.23,Young,Wild-type,N/A
26_Young_Liver_7b,3-hydroxybutyric acid,108860945.3,Young,Wild-type,N/A
27_Young_Liver_7c,3-hydroxybutyric acid,80916755.87,Young,Wild-type,N/A
29_Young_Liver_8a,3-hydroxybutyric acid,80991038.35,Young,Wild-type,N/A
30_Young_Liver_8b,3-hydroxybutyric acid,75259353.79,Young,Wild-type,N/A
31_Young_Liver_8c,3-hydroxybutyric acid,115117105.5,Young,Wild-type,N/A
33_Young_Liver_9a,3-hydroxybutyric acid,144227156.0,Young,SIRT6-tg,N/A
34_Young_Liver_9b,3-hydroxybutyric acid,106829757.9,Young,SIRT6-tg,N/A
37_Young_Liver_10a,3-hydroxybutyric acid,78049083.43,Young,SIRT6-tg,N/A
38_Young_Liver_10b,3-hydroxybutyric acid,80287440.64,Young,SIRT6-tg,N/A
39_Young_Liver_10c,3-hydroxybutyric acid,100806896.3,Young,SIRT6-tg,N/A
41_Young_Liver_11a,3-hydroxybutyric acid,28599728.12,Young,Wild-type,[U-13C]Lactate
42_Young_Liver_11b,3-hydroxybutyric acid,26695188.71,Young,Wild-type,[U-13C]Lactate
43_Young_Liver_11c,3-hydroxybutyric acid,12296933.72,Young,Wild-type,[U-13C]Lactate
45_Young_Liver_12a,3-hydroxybutyric acid,16773762.54,Young,Wild-type,[U-13C]Lactate
46_Young_Liver_12b,3-hydroxybutyric acid,24663921.79,Young,Wild-type,[U-13C]Lactate
47_Young_Liver_12c,3-hydroxybutyric acid,21852836.76,Young,Wild-type,[U-13C]Lactate
49_Young_Liver_13a,3-hydroxybutyric acid,40131576.77,Young,Wild-type,[U-13C]Lactate
50_Young_Liver_13b,3-hydroxybutyric acid,38692627.26,Young,Wild-type,[U-13C]Lactate
51_Young_Liver_13c,3-hydroxybutyric acid,43956819.4,Young,Wild-type,[U-13C]Lactate
53_Young_Liver_14a,3-hydroxybutyric acid,37544668.92,Young,SIRT6-tg,[U-13C]Lactate
54_Young_Liver_14b,3-hydroxybutyric acid,41620239.23,Young,SIRT6-tg,[U-13C]Lactate
55_Young_Liver_14c,3-hydroxybutyric acid,40421309.16,Young,SIRT6-tg,[U-13C]Lactate
57_Young_Liver_15a,3-hydroxybutyric acid,29422727.13,Young,SIRT6-tg,[U-13C]Lactate
58_Young_Liver_15b,3-hydroxybutyric acid,34514712.47,Young,SIRT6-tg,[U-13C]Lactate
59_Young_Liver_15c,3-hydroxybutyric acid,39541530.24,Young,SIRT6-tg,[U-13C]Lactate
61_Young_Liver_16a,3-hydroxybutyric acid,35250246.64,Young,SIRT6-tg,[U-13C]Lactate
62_Young_Liver_16b,3-hydroxybutyric acid,34524179.89,Young,SIRT6-tg,[U-13C]Lactate
