sample_id,Age,Genotype,Treatment
01_Young_Liver_1a,Young,SIRT6-tg,N/A
02_Young_Liver_1b,Young,SIRT6-tg,N/A
03_Young_Liver_1c,Young,SIRT6-tg,N/A
05_Young_Liver_2a,Young,SIRT6-tg,N/A
06_Young_Liver_2b,Young,SIRT6-tg,N/A
07_Young_Liver_2c,Young,SIRT6-tg,N/A
09_Young_Liver_3a,Young,Wild-type,N/A
10_Young_Liver_3b,Young,Wild-type,N/A
11_Young_Liver_3c,Young,Wild-type,N/A
13_Young_Liver_4a,Young,SIRT6-tg,N/A
14_Young_Liver_4b,Young,SIRT6-tg,N/A
15_Young_Liver_4c,Young,SIRT6-tg,N/A
17_Young_Liver_5a,Young,Wild-type,N/A
18_Young_Liver_5b,Young,Wild-type,N/A
19_Young_Liver_5c,Young,Wild-type,N/A
21_Young_Liver_6a,Young,Wild-type,N/A
22_Young_Liver_6b,Young,Wild-type,N/A
23_Young_Liver_6c,Young,Wild-type,N/A
25_Young_Liver_7a,Young,Wild-type,N/A
26_Young_Liver_7b,Young,Wild-type,N/A
27_Young_Liver_7c,Young,Wild-type,N/A
29_Young_Liver_8a,Young,Wild-type,N/A
30_Young_Liver_8b,Young,Wild-type,N/A
31_Young_Liver_8c,Young,Wild-type,N/A
33_Young_Liver_9a,Young,SIRT6-tg,N/A
34_Young_Liver_9b,Young,SIRT6-tg,N/A
37_Young_Liver_10a,Young,SIRT6-tg,N/A
38_Young_Liver_10b,Young,SIRT6-tg,N/A
39_Young_Liver_10c,Young,SIRT6-tg,N/A
41_Young_Liver_11a,Young,Wild-type,[U-13C]Lactate
42_Young_Liver_11b,Young,Wild-type,[U-13C]Lactate
43_Young_Liver_11c,Young,Wild-type,[U-13C]Lactate
45_Young_Liver_12a,Young,Wild-type,[U-13C]Lactate
46_Young_Liver_12b,Young,Wild-type,[U-13C]Lactate
47_Young_Liver_12c,Young,Wild-type,[U-13C]Lactate
49_Young_Liver_13a,Young,Wild-type,[U-13C]Lactate
50_Young_Liver_13b,Young,Wild-type,[U-13C]Lactate
51_Young_Liver_13c,Young,Wild-type,[U-13C]Lactate
53_Young_Liver_14a,Young,SIRT6-tg,[U-13C]Lactate
54_Young_Liver_14b,Young,SIRT6-tg,[U-13C]Lactate
55_Young_Liver_14c,Young,SIRT6-tg,[U-13C]Lactate
