sample_id,metabolite,value,Tissue,Treatment
4T1-1_R7+,L-alanine,29300000.0,Tibialis_anterior,Tumor
4T1-15_R11+,L-alanine,31700000.0,Tibialis_anterior,Tumor
4T1-19_R15+,L-alanine,26900000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,L-alanine,39900000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,L-alanine,28900000.0,Tibialis_anterior,Control
CTL-5_R2+,L-alanine,50000000.0,Tibialis_anterior,Control
CTL-9_R1+,L-alanine,44700000.0,Tibialis_anterior,Control
CTL-3_R6+,L-alanine,33200000.0,Upper_Arm_SkM,Control
CTL-7_R3+,L-alanine,28100000.0,Upper_Arm_SkM,Control
CTL-11_R21+,L-alanine,37600000.0,Upper_Arm_SkM,Control
4T1-17_R4+,L-alanine,7500000.0,Lung,Tumor
4T1-21_R22+,L-alanine,7690000.0,Lung,Tumor
4T1-25_R16+,L-alanine,6570000.0,Lung,Tumor
CTL-4_R20+,L-alanine,4330000.0,Lung,Control
CTL-8_R13+,L-alanine,6260000.0,Lung,Control
CTL-12_R14+,L-alanine,4290000.0,Lung,Control
4T1-1_R7+,L-arginine,3950000.0,Tibialis_anterior,Tumor
4T1-15_R11+,L-arginine,3180000.0,Tibialis_anterior,Tumor
4T1-19_R15+,L-arginine,4070000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,L-arginine,3610000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,L-arginine,2640000.0,Tibialis_anterior,Control
CTL-5_R2+,L-arginine,4290000.0,Tibialis_anterior,Control
CTL-9_R1+,L-arginine,4960000.0,Tibialis_anterior,Control
CTL-3_R6+,L-arginine,4500000.0,Upper_Arm_SkM,Control
CTL-7_R3+,L-arginine,4730000.0,Upper_Arm_SkM,Control
CTL-11_R21+,L-arginine,4160000.0,Upper_Arm_SkM,Control
4T1-17_R4+,L-arginine,2670000.0,Lung,Tumor
4T1-21_R22+,L-arginine,1380000.0,Lung,Tumor
4T1-25_R16+,L-arginine,980000.0,Lung,Tumor
CTL-4_R20+,L-arginine,1940000.0,Lung,Control
CTL-8_R13+,L-arginine,3780000.0,Lung,Control
CTL-12_R14+,L-arginine,2390000.0,Lung,Control
4T1-1_R7+,L-asparagine,2010000.0,Tibialis_anterior,Tumor
4T1-15_R11+,L-asparagine,1940000.0,Tibialis_anterior,Tumor
4T1-19_R15+,L-asparagine,2380000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,L-asparagine,2310000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,L-asparagine,1180000.0,Tibialis_anterior,Control
CTL-5_R2+,L-asparagine,1520000.0,Tibialis_anterior,Control
CTL-9_R1+,L-asparagine,1600000.0,Tibialis_anterior,Control
CTL-3_R6+,L-asparagine,1470000.0,Upper_Arm_SkM,Control
CTL-7_R3+,L-asparagine,1610000.0,Upper_Arm_SkM,Control
CTL-11_R21+,L-asparagine,1640000.0,Upper_Arm_SkM,Control
4T1-17_R4+,L-asparagine,956000.0,Lung,Tumor
4T1-21_R22+,L-asparagine,1380000.0,Lung,Tumor
4T1-25_R16+,L-asparagine,893000.0,Lung,Tumor
CTL-4_R20+,L-asparagine,574000.0,Lung,Control
CTL-8_R13+,L-asparagine,878000.0,Lung,Control
CTL-12_R14+,L-asparagine,634000.0,Lung,Control
4T1-1_R7+,L-aspartate,2950000.0,Tibialis_anterior,Tumor
4T1-15_R11+,L-aspartate,2870000.0,Tibialis_anterior,Tumor
4T1-19_R15+,L-aspartate,3730000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,L-aspartate,4670000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,L-aspartate,1710000.0,Tibialis_anterior,Control
CTL-5_R2+,L-aspartate,2390000.0,Tibialis_anterior,Control
CTL-9_R1+,L-aspartate,3490000.0,Tibialis_anterior,Control
CTL-3_R6+,L-aspartate,2650000.0,Upper_Arm_SkM,Control
CTL-7_R3+,L-aspartate,1900000.0,Upper_Arm_SkM,Control
CTL-11_R21+,L-aspartate,2800000.0,Upper_Arm_SkM,Control
4T1-17_R4+,L-aspartate,7040000.0,Lung,Tumor
4T1-21_R22+,L-aspartate,6820000.0,Lung,Tumor
4T1-25_R16+,L-aspartate,5030000.0,Lung,Tumor
CTL-4_R20+,L-aspartate,7030000.0,Lung,Control
CTL-8_R13+,L-aspartate,5240000.0,Lung,Control
CTL-12_R14+,L-aspartate,4920000.0,Lung,Control
4T1-1_R7+,L-cysteine,137000.0,Tibialis_anterior,Tumor
4T1-15_R11+,L-cysteine,336000.0,Tibialis_anterior,Tumor
4T1-19_R15+,L-cysteine,696000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,L-cysteine,566000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,L-cysteine,141000.0,Tibialis_anterior,Control
CTL-5_R2+,L-cysteine,103000.0,Tibialis_anterior,Control
CTL-9_R1+,L-cysteine,71800.0,Tibialis_anterior,Control
CTL-3_R6+,L-cysteine,102000.0,Upper_Arm_SkM,Control
CTL-7_R3+,L-cysteine,13000.0,Upper_Arm_SkM,Control
CTL-11_R21+,L-cysteine,198000.0,Upper_Arm_SkM,Control
4T1-17_R4+,L-cysteine,590000.0,Lung,Tumor
4T1-21_R22+,L-cysteine,581000.0,Lung,Tumor
4T1-25_R16+,L-cysteine,481000.0,Lung,Tumor
CTL-4_R20+,L-cysteine,170000.0,Lung,Control
CTL-8_R13+,L-cysteine,228000.0,Lung,Control
CTL-12_R14+,L-cysteine,51900.0,Lung,Control
4T1-1_R7+,L-glutamate,45800000.0,Tibialis_anterior,Tumor
4T1-15_R11+,L-glutamate,29700000.0,Tibialis_anterior,Tumor
4T1-19_R15+,L-glutamate,41700000.0,Upper_Arm_SkM,Tumor
4T1-27_R18+,L-glutamate,46800000.0,Upper_Arm_SkM,Tumor
CTL-1_R23+,L-glutamate,47000000.0,Tibialis_anterior,Control
CTL-5_R2+,L-glutamate,36900000.0,Tibialis_anterior,Control
CTL-9_R1+,L-glutamate,35800000.0,Tibialis_anterior,Control
CTL-3_R6+,L-glutamate,33900000.0,Upper_Arm_SkM,Control
CTL-7_R3+,L-glutamate,26800000.0,Upper_Arm_SkM,Control
CTL-11_R21+,L-glutamate,26600000.0,Upper_Arm_SkM,Control
