metabolite,4T1-15_R11+,4T1-15_R11-,4T1-17_R4+,4T1-17_R4-,4T1-19_R15+,4T1-19_R15-,4T1-1_R7+,4T1-1_R7-,4T1-21_R22+,4T1-21_R22-,4T1-25_R16+,4T1-25_R16-,4T1-27_R18+,4T1-27_R18-,CTL-11_R21+,CTL-11_R21-,CTL-12_R14+,CTL-12_R14-,CTL-1_R23+,CTL-1_R23-,CTL-3_R6+,CTL-3_R6-,CTL-4_R20+,CTL-4_R20-,CTL-5_R2+,CTL-5_R2-,CTL-7_R3+,CTL-7_R3-,CTL-8_R13+,CTL-8_R13-,CTL-9_R1+,CTL-9_R1-
(5-L-Glutamyl)-L-glutamine,97900.0,,369000.0,,100000.0,,57700.0,,172000.0,,137000.0,,0.0,,7800.0,,140000.0,,35000.0,,7990.0,,223000.0,,24300.0,,4280.0,,262000.0,,17200.0,
(7Z-10Z-13Z-16Z-19Z)-Docosa-7-10-13-16-19-pentaenoic acid,,121000.0,,522000.0,,325000.0,,315000.0,,505000.0,,129000.0,,327000.0,,364000.0,,422000.0,,410000.0,,227000.0,,410000.0,,831000.0,,475000.0,,566000.0,,744000.0
(8Z-11Z-14Z)-Icosatrienoic acid,,72200.0,,474000.0,,270000.0,,298000.0,,272000.0,,331000.0,,219000.0,,105000.0,,463000.0,,135000.0,,119000.0,,585000.0,,145000.0,,143000.0,,312000.0,,197000.0
(S)(+)-Allantoin,323000.0,,348000.0,,428000.0,,395000.0,,225000.0,,282000.0,,323000.0,,305000.0,,212000.0,,407000.0,,433000.0,,276000.0,,297000.0,,327000.0,,399000.0,,359000.0,
1-3-Bisphosphoglycerate,,0.0,,0.0,,0.0,,0.0,,7360.0,,23100.0,,5440.0,,4160.0,,119000.0,,0.0,,0.0,,100000.0,,0.0,,30000.0,,45800.0,,0.0
"2',3'-Cyclic CMP",,18900.0,,20100.0,,16300.0,,20300.0,,24700.0,,16900.0,,13100.0,,20200.0,,24200.0,,14500.0,,15000.0,,30200.0,,10500.0,,14000.0,,27300.0,,13000.0
2-Aminomuconate,22700.0,,43500.0,,28200.0,,29400.0,,36500.0,,23300.0,,26900.0,,20100.0,,18600.0,,13400.0,,49100.0,,33500.0,,14600.0,,34000.0,,12200.0,,9240.0,
2-Hydroxyglutarate,,352000.0,,279000.0,,443000.0,,225000.0,,493000.0,,388000.0,,363000.0,,286000.0,,452000.0,,464000.0,,378000.0,,363000.0,,401000.0,,435000.0,,554000.0,,328000.0
2-Oxoglutaramate,,14600.0,,54700.0,,41800.0,,53900.0,,21900.0,,32600.0,,42100.0,,72400.0,,49700.0,,6280.0,,63200.0,,23300.0,,2510.0,,35900.0,,49400.0,,50500.0
2-Oxoglutarate,,149000.0,,222000.0,,94000.0,,177000.0,,159000.0,,132000.0,,205000.0,,246000.0,,190000.0,,260000.0,,357000.0,,185000.0,,302000.0,,245000.0,,240000.0,,236000.0
2/3-Phospho-D-glycerate,,6150000.0,,873000.0,,368000.0,,6100000.0,,583000.0,,1130000.0,,7290000.0,,7660000.0,,1390000.0,,551000.0,,6220000.0,,1280000.0,,3170000.0,,11300000.0,,1160000.0,,2000000.0
"3',5'-Cyclic AMP",,6370.0,,8290.0,,2640.0,,8940.0,,6850.0,,5400.0,,5820.0,,6870.0,,8760.0,,3770.0,,5510.0,,4620.0,,4130.0,,5500.0,,5290.0,,5400.0
"3',5'-Cyclic IMP",10700.0,,0.0,,19100.0,,16100.0,,0.0,,0.0,,14900.0,,19300.0,,0.0,,20000.0,,10600.0,,0.0,,17100.0,,3670.0,,2260.0,,6660.0,
3-4-Dihydroxy-L-phenylalanine,3520.0,,6610.0,,2710.0,,0.0,,4860.0,,3510.0,,1560.0,,0.0,,23700.0,,3200.0,,1650.0,,21600.0,,3210.0,,3000.0,,27000.0,,1340.0,
3-Fumarylpyruvate,,48900.0,,18700.0,,51400.0,,37800.0,,33500.0,,49800.0,,45200.0,,50500.0,,45200.0,,48100.0,,28200.0,,46200.0,,23400.0,,15000.0,,50200.0,,18300.0
3-Hydroxyisobutyrate,,1560000.0,,2090000.0,,7990000.0,,101000.0,,4230000.0,,580000.0,,1130000.0,,691000.0,,582000.0,,2360000.0,,834000.0,,2460000.0,,1460000.0,,944000.0,,1230000.0,,654000.0
