sample_id,Tissue,Treatment
4T1-1_R7+,Tibialis_anterior,Tumor
4T1-15_R11+,Tibialis_anterior,Tumor
4T1-19_R15+,Upper_Arm_SkM,Tumor
4T1-27_R18+,Upper_Arm_SkM,Tumor
CTL-1_R23+,Tibialis_anterior,Control
CTL-5_R2+,Tibialis_anterior,Control
CTL-9_R1+,Tibialis_anterior,Control
CTL-3_R6+,Upper_Arm_SkM,Control
CTL-7_R3+,Upper_Arm_SkM,Control
CTL-11_R21+,Upper_Arm_SkM,Control
4T1-17_R4+,Lung,Tumor
4T1-21_R22+,Lung,Tumor
4T1-25_R16+,Lung,Tumor
CTL-4_R20+,Lung,Control
CTL-8_R13+,Lung,Control
CTL-12_R14+,Lung,Control
4T1-1_R7-,Tibialis_anterior,Tumor
4T1-15_R11-,Tibialis_anterior,Tumor
4T1-19_R15-,Upper_Arm_SkM,Tumor
4T1-27_R18-,Upper_Arm_SkM,Tumor
CTL-1_R23-,Tibialis_anterior,Control
CTL-5_R2-,Tibialis_anterior,Control
CTL-9_R1-,Tibialis_anterior,Control
CTL-3_R6-,Upper_Arm_SkM,Control
CTL-7_R3-,Upper_Arm_SkM,Control
CTL-11_R21-,Upper_Arm_SkM,Control
4T1-17_R4-,Lung,Tumor
4T1-21_R22-,Lung,Tumor
4T1-25_R16-,Lung,Tumor
CTL-4_R20-,Lung,Control
CTL-8_R13-,Lung,Control
CTL-12_R14-,Lung,Control
