Tissue,Velocity,Mean_Delta,Median_Delta,N_Genes,Upregulated_Pct,Downregulated_Pct,Velocity_Rank
Ovary_Cortex,0.9839794489919835,-0.2965498443022977,-0.242573375136731,98,40.816326530612244,59.183673469387756,1
Skeletal_muscle_TA,0.9679828299893153,-0.29266876227762695,-0.23409552685387142,122,43.44262295081967,56.557377049180324,2
Skeletal_muscle_EDL,0.8838647570199911,-0.12361543394418265,0.015493344217389848,94,52.12765957446809,47.87234042553192,3
Skeletal_muscle_Soleus,0.8710595678894227,0.13150292664471686,-0.0913726436666991,136,46.32352941176471,53.67647058823529,4
Skeletal_muscle_Gastrocnemius,0.8574575900194426,0.03185048700280807,0.053451299838732105,112,53.57142857142857,46.42857142857143,5
Kidney_Glomerular,0.834635941779991,0.27841082392557404,0.1684219953291106,205,58.048780487804876,41.951219512195124,6
Ovary,0.7454625906360334,-0.0020863196443481045,0.0740128885891637,169,52.662721893491124,47.337278106508876,7
Brain_Hippocampus,0.7443648117995121,0.00884963845078398,-0.1681323331887343,210,43.80952380952381,56.19047619047619,8
Heart_Decellularized_Tissue,0.7427755494468654,-2.1488187573390128e-18,-0.0953992185314237,155,47.096774193548384,52.903225806451616,9
Heart_Native_Tissue,0.7219527026846492,-0.004492816013896132,-0.1970536905170289,394,40.10152284263959,59.89847715736041,10
Skin dermis,0.6973722546998852,6.380592095546877e-19,-0.3520730185045678,262,22.900763358778626,76.7175572519084,11
Intervertebral_disc_NP,0.6513090731071456,-2.5754861206668994e-17,-0.17614035003094455,300,27.666666666666668,72.33333333333334,12
Brain_Cortex,0.6061959904683909,0.1405200792693639,-0.0318372653754406,203,48.76847290640394,51.231527093596064,13
Kidney_Tubulointerstitial,0.5997086332633421,0.022350826036414456,-0.0189671507732997,205,48.78048780487805,51.21951219512195,14
Intervertebral_disc_IAF,0.5928589287981637,-1.9612772674766174e-17,-0.129691760995228,317,30.914826498422716,69.08517350157729,15
Intervertebral_disc_OAF,0.572128426886304,-1.2401427402727812e-17,-0.1382253936339486,376,32.4468085106383,67.5531914893617,16
Lung,0.39325245455733693,0.007786014274390097,0.040090017655105045,284,61.97183098591549,38.028169014084504,17
