S100_Gene,Target_Gene,Target_Type,Spearman_Rho,Spearman_P,Pearson_R,Pearson_P,N_Tissues,Significant_Spearman,Significant_Pearson,Species
S100A9,TGM2,TGM,0.8214285714285715,0.023448808345691505,0.3457863757395021,0.44743087270618276,7,True,False,Homo sapiens
S100A9,TGM3,TGM,0.19999999999999998,0.747060078104662,0.2374979610389365,0.700475503430923,5,False,False,Homo sapiens
S100A9,TGM1,TGM,-0.5,0.6666666666666667,-0.3704185814127118,0.7584285045134025,3,False,False,Homo sapiens
S100A10,TGM2,TGM,0.7,0.18812040437418728,0.9569728570095399,0.010644484653455957,5,False,True,Homo sapiens
S100A10,TGM3,TGM,-0.5,0.6666666666666667,0.27359298821144357,0.8235757445980366,3,False,False,Homo sapiens
S100B,TGM2,TGM,-0.7999999999999999,0.20000000000000007,-0.6214960697384513,0.3785039302615487,4,False,False,Homo sapiens
S100A4,TGM2,TGM,-0.3,0.6238376647810728,-0.02430380467743759,0.9690584814302408,5,False,False,Homo sapiens
S100A4,TGM3,TGM,1.0,0.0,0.9144314842374676,0.26527645705175595,3,True,False,Homo sapiens
S100A6,TGM2,TGM,-0.19999999999999998,0.747060078104662,-0.0176762880539251,0.9774950231126038,5,False,False,Homo sapiens
S100A6,TGM3,TGM,0.5,0.6666666666666667,0.17769962547160642,0.8862689102938497,3,False,False,Homo sapiens
S100A8,TGM2,TGM,0.2,0.704,-0.16711324738819378,0.7516636011657047,6,False,False,Homo sapiens
S100A8,TGM3,TGM,0.19999999999999998,0.747060078104662,0.3746564977072373,0.5343800159879811,5,False,False,Homo sapiens
S100A8,TGM1,TGM,-0.5,0.6666666666666667,-0.017159920065624612,0.9890751193873113,3,False,False,Homo sapiens
S100A11,TGM2,TGM,0.6785714285714287,0.0937502539598313,0.41044034554103964,0.3603911087466691,7,False,False,Homo sapiens
S100A11,TGM3,TGM,0.3,0.6238376647810728,0.11907978567648489,0.8487419955448289,5,False,False,Homo sapiens
S100A11,TGM1,TGM,-0.5,0.6666666666666667,0.07404271194049489,0.9528197688806027,3,False,False,Homo sapiens
S100A9,LOX,LOX,-0.39999999999999997,0.6,-0.9200176013614982,0.07998239863850176,4,False,False,Homo sapiens
S100A9,LOXL2,LOX,-0.5,0.6666666666666667,-0.03628701431415288,0.9768938964973489,3,False,False,Homo sapiens
S100A9,LOXL3,LOX,-0.5,0.6666666666666667,-0.4294912496041809,0.717385801115963,3,False,False,Homo sapiens
S100A9,LOXL4,LOX,-0.5,0.6666666666666667,-0.008210322370256429,0.9947730877166304,3,False,False,Homo sapiens
S100A10,LOX,LOX,0.7999999999999999,0.20000000000000007,0.48205059489974944,0.5179494051002504,4,False,False,Homo sapiens
S100A10,LOXL2,LOX,-1.0,0.0,-0.9850926488581403,0.11006173561068247,3,True,False,Homo sapiens
S100A10,LOXL3,LOX,-1.0,0.0,-0.9725725698399812,0.14944635977070395,3,True,False,Homo sapiens
S100A10,LOXL4,LOX,-1.0,0.0,-0.979873579638014,0.12794092682996422,3,True,False,Homo sapiens
S100B,LOX,LOX,0.39999999999999997,0.6,0.9084134383317397,0.09158656166826029,4,False,False,Homo sapiens
S100B,LOXL2,LOX,0.5,0.6666666666666667,0.6526577972770911,0.5473078953006002,3,False,False,Homo sapiens
S100B,LOXL3,LOX,0.5,0.6666666666666667,0.2988169596965641,0.8068159906819862,3,False,False,Homo sapiens
S100B,LOXL4,LOX,0.5,0.6666666666666667,0.673675979630659,0.5294287040813187,3,False,False,Homo sapiens
S100A4,LOX,LOX,0.39999999999999997,0.6,0.8853274390839566,0.1146725609160435,4,False,False,Homo sapiens
S100A4,LOXL2,LOX,0.5,0.6666666666666667,0.7089725858938848,0.49831796153306296,3,False,False,Homo sapiens
S100A4,LOXL3,LOX,0.5,0.6666666666666667,0.37129742119006903,0.7578260569144488,3,False,False,Homo sapiens
S100A4,LOXL4,LOX,0.5,0.6666666666666667,0.7284966515875316,0.48043877031378146,3,False,False,Homo sapiens
S100A6,LOX,LOX,0.7999999999999999,0.20000000000000007,0.8077411547866172,0.19225884521338266,4,False,False,Homo sapiens
S100A6,LOXL2,LOX,-0.5,0.6666666666666667,-0.7769926227300386,0.433488427282125,3,False,False,Homo sapiens
S100A6,LOXL3,LOX,-0.5,0.6666666666666667,-0.9628887654198313,0.17398033190073908,3,False,False,Homo sapiens
S100A6,LOXL4,LOX,-0.5,0.6666666666666667,-0.759009035198443,0.45136761850140616,3,False,False,Homo sapiens
S100A8,LOX,LOX,-1.0,0.0,-0.5685558353863066,0.6150046551071662,3,True,False,Homo sapiens
S100A11,LOX,LOX,0.7999999999999999,0.20000000000000007,0.15098803360833143,0.8490119663916686,4,False,False,Homo sapiens
S100A11,LOXL2,LOX,-1.0,0.0,-0.8426031116373953,0.3620440965495063,3,True,False,Homo sapiens
S100A11,LOXL3,LOX,-1.0,0.0,-0.9870573424820039,0.10253600116812096,3,True,False,Homo sapiens
S100A11,LOXL4,LOX,-1.0,0.0,-0.8271482989182791,0.37992328776878753,3,True,False,Homo sapiens
S100A9,TGM2,TGM,0.2,0.704,0.3136595159071546,0.5449399971678602,6,False,False,Mus musculus
S100A10,TGM2,TGM,0.7714285714285715,0.07239650145772594,0.5750144710710958,0.23254015782079707,6,False,False,Mus musculus
S100B,TGM2,TGM,0.5,0.6666666666666667,0.7525083358346748,0.457687473834189,3,False,False,Mus musculus
S100A4,TGM2,TGM,0.6000000000000001,0.3999999999999999,0.6854932136878764,0.3145067863121236,4,False,False,Mus musculus
S100A6,TGM2,TGM,0.8285714285714287,0.04156268221574334,0.7073608234817701,0.11592606025593914,6,True,False,Mus musculus
S100A11,TGM2,TGM,0.2571428571428572,0.6227871720116618,0.36585252810743163,0.47570553565961715,6,False,False,Mus musculus
S100A10,LOXL2,LOX,0.7999999999999999,0.20000000000000007,0.877627131947815,0.12237286805218495,4,False,False,Mus musculus
S100A6,LOXL2,LOX,0.39999999999999997,0.6,0.3514082186052756,0.6485917813947244,4,False,False,Mus musculus
S100A11,LOXL2,LOX,-0.6000000000000001,0.3999999999999999,-0.2690219869610857,0.7309780130389143,4,False,False,Mus musculus
