Hypothesis_ID,Hypothesis_Name,Agent,Thesis,Key_Finding,Status,Score,R2,Accuracy,p_value,File,MSE,ARI,AUC
H01,Compartment Mechanical Stress/Claude Code/90 Results Claude Code.Md,claude,"Analysis of 3,161 ECM protein measurements across 16 tissue compartments reveals 1,254 antagonistic protein-compartment pairs (top magnitude: 8.85 SD for CILP2), but statistical testing rejects the me",**.,SUCCESS,96.0,4.48,30.0,0.98,iteration_01/hypothesis_01_compartment_mechanical_stress/claude_code/90_results_claude_code.md,,,
H01,Compartment Mechanical Stress/Codex/90 Results Codex.Md,codex,"codex quantified 530 aging antagonism events, linked high-load compartments to attenuated ECM decline, and flagged mechano-adaptive targets despite marginal statistical significance.",N/A,PARTIAL,88.0,,,0.075,iteration_01/hypothesis_01_compartment_mechanical_stress/codex/90_results_codex.md,,,
H02,Serpin Cascade Dysregulation/Claude Code/90 Results Claude Code.Md,claude,"Comprehensive analysis of 72 serpins across ECM aging datasets reveals significant dysregulation (median |Δz|=0.37 vs 0.33 non-serpins) and multi-pathway involvement (5 pathways, 27 inflammation serpi",N/A,SUCCESS,84.0,,,0.96,iteration_01/hypothesis_02_serpin_cascade_dysregulation/claude_code/90_results_claude_code.md,,,
H02,Serpin Cascade Dysregulation/Codex/90 Results Codex.Md,codex,"Serpin cascade dysregulation emerges as the dominant ECM aging hub because serpins outpace non-serpins in magnitude, persist across tissues, occupy high-impact network positions, and enable targeted t",N/A,SUCCESS,,,,0.00064,iteration_01/hypothesis_02_serpin_cascade_dysregulation/codex/90_results_codex.md,,,
H03,Tissue Aging Clocks/Claude Code/90 Results Claude Code.Md,claude,"Tissues exhibit distinct aging velocities ranging 4-fold (1.02-4.29 |Δz|), with lung aging fastest (4.29) and tubulointerstitial slowest (1.02), driven by tissue-specific ECM markers (273 proteins, TS","**
-.",SUCCESS,92.0,87.0,,0.41,iteration_01/hypothesis_03_tissue_aging_clocks/claude_code/90_results_claude_code.md,,,
H03,Tissue Aging Clocks/Codex/90 Results Codex.Md,codex,"Lung and fast-contracting skeletal muscles show the steepest ECM aging velocities, with tissue-specific markers and shared coagulation–remodeling proteins clarifying mechanisms and therapeutic priorit",N/A,UNKNOWN,,,,0.063,iteration_01/hypothesis_03_tissue_aging_clocks/codex/90_results_codex.md,,,
H04,Deep Protein Embeddings/Claude Code/90 Results Claude Code.Md,claude,"Deep autoencoder (94K parameters, 5-layer encoder) trained on 910 ECM proteins × 17 tissues discovered 10 non-linear latent factors representing inflammation (L3: S100A8/A9), structural collagens (L2:",N/A,SUCCESS,,1.0,,0.047,iteration_02/hypothesis_04_deep_protein_embeddings/claude_code/90_results_claude_code.md,0.126,0.754,
H05,Gnn Aging Networks/Claude Code/90 Results Claude Code.Md,claude,"GNN analysis of 551 ECM proteins across 17 tissues identified HAPLN1, ITIH2, and CRLF1 as top master regulators via multi-head attention, achieving 95.2% classification accuracy while discovering 27 f",N/A,SUCCESS,,,,,iteration_02/hypothesis_05_gnn_aging_networks/claude_code/90_results_claude_code.md,,0.04,
H05,Gnn Aging Networks/Codex/90 Results Codex.Md,codex,N/A,N/A,UNKNOWN,,,0.941,,iteration_02/hypothesis_05_gnn_aging_networks/codex/90_results_codex.md,,,
H06,Ml Ensemble Biomarkers/Codex/90 Results Codex.Md,codex,"A three-model stack (RF + XGBoost + MLP) on tissue-level ECM z-score deltas isolates an eight-protein panel that maintains 0.80 F1 and 1.0 AUC for fast-aging detection, with SHAP consensus prioritizin",N/A,UNKNOWN,,,,,iteration_02/hypothesis_06_ml_ensemble_biomarkers/codex/90_results_codex.md,,,
H07,Coagulation Central Hub/Claude Code/90 Results Claude Code.Md,claude,"Deep learning analysis of 18 coagulation cascade proteins across 15 tissues REJECTS the hypothesis that coagulation dysregulation is THE central aging mechanism (R²=-19.5, ρ=0.08), despite validating ",N/A,SUCCESS,,0.22,,0.0247,iteration_03/hypothesis_07_coagulation_central_hub/claude_code/90_results_claude_code.md,0.36,,
H07,Coagulation Central Hub/Codex/90 Results Codex.Md,codex,N/A,N/A,FAILURE,,,,0.17,iteration_03/hypothesis_07_coagulation_central_hub/codex/90_results_codex.md,,,
