,Score,Score,Status,Status
Agent,claude_code,codex,claude_code,codex
Hypothesis_ID,,,,
H01,96.0,88.0,BREAKTHROUGH,UNKNOWN
H02,65.0,,VALIDATED,VALIDATED
H03,92.0,,VALIDATED,UNKNOWN
H04,,,VALIDATED,
H05,,,VALIDATED,UNKNOWN
H06,,,,UNKNOWN
H07,10.0,,VALIDATED,UNKNOWN
H08,,,,PARTIAL
H09,,,BREAKTHROUGH,UNKNOWN
H11,,,VALIDATED,VALIDATED
H12,,,VALIDATED,VALIDATED
H13,,,VALIDATED,
H14,,,VALIDATED,UNKNOWN
H15,,,,UNKNOWN
H17,,,BREAKTHROUGH,UNKNOWN
H18,,,REJECTED,
H19,,,VALIDATED,
H20,,,VALIDATED,
H21,,,BLOCKED,
