Gene,Study_ID,Species,Tissue,Compartment,Method,N_Measurements,Mean_Zscore_Delta,Median_Zscore_Delta,Std_Zscore_Delta,Min_Zscore_Delta,Max_Zscore_Delta,Directional_Consistency,Direction
PCOLCE,Tam_2020,Homo sapiens,"Intervertebral_disc_NP, Intervertebral_disc_IAF, Intervertebral_disc_OAF","NP, IAF, OAF",Label-free LC-MS/MS (MaxQuant LFQ),3,-0.34849878506275694,-0.3444204436653202,0.1007585988890817,-0.4512346319661808,-0.2498412795567696,1.0,DECREASE
PCOLCE,Angelidis_2019,Mus musculus,Lung,Lung,Label-free LC-MS/MS (MaxQuant LFQ),1,-0.1937487836928379,-0.1937487836928379,,-0.1937487836928379,-0.1937487836928379,1.0,DECREASE
PCOLCE,Dipali_2023,Mus musculus,Ovary,Ovary,Label-free DIA (directDIA),1,0.4445014220122675,0.4445014220122675,,0.4445014220122675,0.4445014220122675,1.0,INCREASE
PCOLCE,Schuler_2021,Mus musculus,"Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL","Soleus, Gastrocnemius, TA, EDL",LFQ,4,-3.689806924572182,-4.02337889355331,1.0092674918936184,-4.4983014621325434,-2.214168449049565,1.0,DECREASE
PCOLCE,Santinha_2024_Mouse_NT,Mus musculus,Heart_Native_Tissue,Native_Tissue,TMT-10plex LC-MS/MS,1,-0.4227780831791525,-0.4227780831791525,,-0.4227780831791525,-0.4227780831791525,1.0,DECREASE
PCOLCE,Santinha_2024_Mouse_DT,Mus musculus,Heart_Decellularized_Tissue,Decellularized_Tissue,TMT-10plex LC-MS/MS,1,-0.5789066522173667,-0.5789066522173667,,-0.5789066522173667,-0.5789066522173667,1.0,DECREASE
PCOLCE,LiDermis_2021,Homo sapiens,Skin dermis,Skin dermis,Label-free LC-MS/MS,1,-0.3920325153476731,-0.3920325153476731,,-0.3920325153476731,-0.3920325153476731,1.0,DECREASE
PCOLCE2,Tam_2020,Homo sapiens,"Intervertebral_disc_NP, Intervertebral_disc_IAF, Intervertebral_disc_OAF","NP, IAF, OAF",Label-free LC-MS/MS (MaxQuant LFQ),3,-0.300542301347766,-0.3538444721739988,0.0978169996018766,-0.3601311391142412,-0.1876512927550581,1.0,DECREASE
PCOLCE2,Angelidis_2019,Mus musculus,Lung,Lung,Label-free LC-MS/MS (MaxQuant LFQ),1,0.4100860548497356,0.4100860548497356,,0.4100860548497356,0.4100860548497356,1.0,INCREASE
PCOLCE2,Santinha_2024_Mouse_DT,Mus musculus,Heart_Decellularized_Tissue,Decellularized_Tissue,TMT-10plex LC-MS/MS,1,0.5691566944528422,0.5691566944528422,,0.5691566944528422,0.5691566944528422,1.0,INCREASE
