Protein,Description,N_Measurements,N_Studies,N_Tissues,Mean_Zscore_Delta,Median_Zscore_Delta,StdDev_Zscore_Delta,Directional_Consistency,Species
LOX,Lysyl oxidase,4,2,4,-0.5517279120040235,-0.5779624592487892,0.15460149353959363,1.0,Homo sapiens
LOXL2,Lysyl oxidase-like 2,3,1,3,-0.48161308689877685,-0.4984213070999813,0.2202082459154492,1.0,Homo sapiens
LOXL3,Lysyl oxidase-like 3,3,1,3,-0.394084916832458,-0.3092140139792624,0.21947920500737159,1.0,Homo sapiens
PCOLCE,Procollagen C-endopeptidase enhancer 1,4,2,4,-0.359382217633986,-0.3682264795064967,0.08509990159526545,1.0,Homo sapiens
P4HA1,Prolyl 4-hydroxylase subunit alpha 1,5,3,5,-0.32512171211605473,-0.3803631939476709,0.19718506401691033,1.0,Homo sapiens
P4HA2,Prolyl 4-hydroxylase subunit alpha 2,5,3,5,-0.31432763794123736,-0.4022292663648709,0.23048017638936796,1.0,Homo sapiens
PLOD2,"Procollagen-lysine 1,2-oxoglutarate 5-dioxygenase 2",3,1,3,-0.30969903316930186,-0.3457047175240948,0.07781282247909978,1.0,Homo sapiens
PCOLCE2,Procollagen C-endopeptidase enhancer 2,3,1,3,-0.300542301347766,-0.3538444721739988,0.0978169996018766,1.0,Homo sapiens
BMP1,Bone morphogenetic protein 1 (C-proteinase),3,1,3,-0.25327802018958767,-0.1543782148001291,0.21684326399611917,1.0,Homo sapiens
LOXL4,Lysyl oxidase-like 4,3,1,3,-0.20519545463153974,-0.2188242720647789,0.12543464782209549,1.0,Homo sapiens
ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2,1,1,1,-0.1175834778104222,-0.1175834778104222,,1.0,Homo sapiens
LOXL1,Lysyl oxidase-like 1,2,2,2,0.2751789638039226,0.2751789638039226,0.8519814582714618,0.5,Homo sapiens
PLOD3,"Procollagen-lysine 1,2-oxoglutarate 5-dioxygenase 3",5,3,5,0.3698037724245488,1.010614393437008,1.2621527221427284,0.6,Homo sapiens
PLOD1,"Procollagen-lysine 1,2-oxoglutarate 5-dioxygenase 1",5,3,5,0.4204955523565008,-0.0628607284933354,1.1714996969704845,0.2,Homo sapiens
