Study_ID,Tissue,V1_Zscore_Delta,V2_Zscore_Delta,Delta_Change,Pct_Change
Angelidis_2019,Lung,-0.1937487836928379,-0.1937487836928379,0.0,0.0
Dipali_2023,Ovary,0.4445014220122675,0.4445014220122681,6.106226635438361e-16,1.373724882092692e-13
LiDermis_2021,Skin dermis,-0.3920325153476731,-0.3920325153476731,0.0,0.0
Santinha_2024_Mouse_DT,Heart_Decellularized_Tissue,-0.5789066522173667,-0.5789066522173668,-1.1102230246251565e-16,-1.9177928261364878e-14
Santinha_2024_Mouse_NT,Heart_Native_Tissue,-0.4227780831791525,-0.4308549078447796,-0.008076824665627091,-1.910417069137553
Schuler_2021,Skeletal_muscle_EDL,-4.4983014621325434,-4.498301462132543,8.881784197001252e-16,1.9744750928255038e-14
Schuler_2021,Skeletal_muscle_Gastrocnemius,-4.056164301070654,-4.056164301070657,-3.552713678800501e-15,-8.758801209957734e-14
Schuler_2021,Skeletal_muscle_Soleus,-2.214168449049565,-2.214168449049565,0.0,0.0
Schuler_2021,Skeletal_muscle_TA,-3.9905934860359658,-3.9905934860359658,0.0,0.0
Tam_2020,Intervertebral_disc_IAF,-0.3444204436653202,-0.3444204436653201,1.1102230246251565e-16,3.22345274516858e-14
Tam_2020,Intervertebral_disc_NP,-0.4512346319661808,-0.4512346319661807,1.1102230246251565e-16,2.4604118256339102e-14
Tam_2020,Intervertebral_disc_OAF,-0.2498412795567696,-0.2498412795567696,0.0,0.0
