Protein_Family,Gene,N_Measurements,N_Studies,N_Tissues,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Mean_PCOLCE_Delta,Mean_Target_Delta,Significant
Network_Collagens,COL4A2,6,4,6,-0.05463337002645864,0.918131479941613,0.2,0.704,-0.19779603870275222,0.03745137354067038,False
Network_Collagens,COL6A1,6,4,6,0.7806211972646115,0.06691156033329149,0.6,0.20799999999999982,-0.19779603870275222,-0.33771727129944784,False
Network_Collagens,COL6A2,6,4,6,0.810259021431201,0.05058696532030777,0.8285714285714287,0.04156268221574334,-0.19779603870275222,-0.33975212333766214,False
Network_Collagens,COL6A3,6,4,6,0.0707239282993179,0.8940909836412976,0.5428571428571429,0.26570262390670557,-0.19779603870275222,-0.439057552126656,False
Network_Collagens,COL6A6,4,4,4,-0.3301498299780037,0.6698501700219963,-0.6000000000000001,0.3999999999999999,-0.12142508017339074,0.001527920162009505,False
Network_Collagens,COL4A1,5,4,5,-0.15361225967625639,0.8051867372948993,0.3,0.6238376647810728,-0.14710832005006652,0.08157524871190439,False
Network_Collagens,Col6a5,3,3,3,-0.4817409793397749,0.6800092224611078,-0.5,0.6666666666666667,-0.10938467129931222,0.5397036913511525,False
Network_Collagens,Col4a1,8,5,8,-0.6547699058805312,0.07806960397238213,-0.8333333333333335,0.01017554012345675,-1.9397795775039306,0.7635826077458774,False
Network_Collagens,Col4a2,8,5,8,-0.4468462217566231,0.2670107329197569,-0.6428571428571429,0.08555889101267318,-1.9397795775039306,0.511362525085423,False
Network_Collagens,Col6a2,8,5,8,0.5669731629392851,0.1427776011979342,0.4523809523809524,0.260404767436885,-1.9397795775039306,0.25323747693260357,False
Network_Collagens,Col6a1,8,5,8,0.5779287052386877,0.13349304911111431,0.28571428571428575,0.4927262450169573,-1.9397795775039306,0.12362661563621441,False
Network_Collagens,Col6a6,8,5,8,0.3124128034928886,0.4512250139373083,-0.04761904761904763,0.9108491685195836,-1.9397795775039306,-0.12807751084583036,False
Network_Collagens,Col4a3,3,3,3,-0.8735552976164437,0.3236171780434046,-1.0,0.0,-0.9956079616532566,1.1227177808031383,False
Network_Collagens,COL6A5,3,3,3,0.9974207769538398,0.045733344270844564,1.0,0.0,-0.04709329234274764,-0.05758287648237161,True
