Tissue,N_PCOLCE_Measurements,N_Collagen_Genes,N_Collagen_Measurements,Mean_PCOLCE_Delta,Mean_Collagen_Delta,Correlation_r,Correlation_p,Significant
Intervertebral_disc_NP,1,18,18,-0.4512346319661807,-0.591261601819241,,,False
Intervertebral_disc_IAF,1,20,20,-0.3444204436653201,-0.3885956407653398,,,False
Intervertebral_disc_OAF,1,20,20,-0.2498412795567696,-0.4944579447109117,,,False
Lung,1,20,20,-0.1937487836928379,-0.11870462919356639,,,False
Ovary,1,16,16,0.4445014220122681,0.05541929971828022,,,False
Skeletal_muscle_Soleus,1,16,16,-2.214168449049565,0.9992224723562102,,,False
Skeletal_muscle_Gastrocnemius,1,12,12,-4.056164301070657,0.16140204864109742,,,False
Skeletal_muscle_TA,1,15,15,-3.9905934860359658,-1.4060513075134138,,,False
Skeletal_muscle_EDL,1,13,13,-4.498301462132543,-0.11033478279407091,,,False
Heart_Native_Tissue,1,11,25,-0.4308549078447796,0.09210717045442877,,,False
Heart_Decellularized_Tissue,1,16,16,-0.5789066522173668,-0.3058166961771507,,,False
Skin dermis,1,20,20,-0.3920325153476731,-0.22643857675948292,,,False
