Gene1,Gene2,Confidence
HSPB6,TSG101,0.709
HSPB6,HSP90AB1,0.783
HSPB6,HSPD1,0.799
MYOC,FN1,0.777
MYOC,SPARCL1,0.856
ITGB4,THBS4,0.707
ITGB4,SPP1,0.717
ITGB4,LAMB2,0.723
ITGB4,THBS3,0.738
ITGB4,COL1A2,0.739
ITGB4,VWF,0.743
ITGB4,THBS2,0.75
ITGB4,LAMA2,0.753
ITGB4,COL6A3,0.754
ITGB4,FN1,0.764
ITGB4,COL4A5,0.765
ITGB4,COL6A1,0.766
ITGB4,COL6A2,0.766
ITGB4,VTN,0.798
ITGB4,LAMC1,0.802
ITGB4,LAMB1,0.806
ITGB4,COL4A2,0.827
ITGB4,COL4A3,0.829
ITGB4,LAMA5,0.829
ITGB4,SDC1,0.843
ITGB4,COL4A1,0.846
ITGB4,ITGB1,0.853
ITGB4,LAMA4,0.919
ITGB4,ITGA6,0.999
CHRD,BGN,0.762
CHRD,VWF,0.781
GLG1,FGF2,0.734
APOH,DBI,0.72
APOH,HP,0.736
APOH,PLA2G7,0.745
APOH,A2M,0.752
APOH,VLDLR,0.76
APOH,ORM1,0.76
APOH,ITIH3,0.777
APOH,VTN,0.787
APOH,HPX,0.792
APOH,FGB,0.804
APOH,APOD,0.804
APOH,SERPIND1,0.806
APOH,AZGP1,0.81
APOH,ITIH4,0.851
APOH,HRG,0.862
APOH,ITIH2,0.867
APOH,FGA,0.871
APOH,FGG,0.91
APOH,CLU,0.911
APOH,APOE,0.921
APOH,LPL,0.923
APOH,ALB,0.933
APOH,APOA4,0.938
APOH,AMBP,0.942
APOH,ANXA2,0.943
APOH,SERPINC1,0.944
APOH,AHSG,0.957
APOH,F2,0.984
APOH,APOA1,0.985
APOH,APOA2,0.989
SERPIND1,CFI,0.7
SERPIND1,AHSG,0.704
SERPIND1,ITIH2,0.712
SERPIND1,VTN,0.762
SERPIND1,A2M,0.771
SERPIND1,KNG1,0.779
SERPIND1,F13B,0.816
SERPIND1,F10,0.823
SERPIND1,SERPINC1,0.837
SERPIND1,HRG,0.867
SERPIND1,FGB,0.951
SERPIND1,FGA,0.96
SERPIND1,FGG,0.96
SERPIND1,F2,0.999
MIF,SOD1,0.744
LGALS1,ANXA2,0.766
LGALS1,FN1,0.878
TGFB1,PECAM1,0.702
TGFB1,SPP1,0.716
TGFB1,SPARC,0.722
TGFB1,PXDN,0.725
TGFB1,TIMP3,0.743
TGFB1,LAMC1,0.745
TGFB1,CLU,0.745
TGFB1,HSPG2,0.75
TGFB1,FSTL1,0.757
TGFB1,GPC1,0.758
TGFB1,ALB,0.784
TGFB1,MMP3,0.787
TGFB1,CD34,0.787
TGFB1,VTN,0.787
TGFB1,POSTN,0.791
TGFB1,COL1A2,0.804
TGFB1,ELN,0.842
TGFB1,CD109,0.884
TGFB1,ITGB1,0.885
TGFB1,SDC2,0.899
TGFB1,A2M,0.91
TGFB1,ASPN,0.917
TGFB1,INHBA,0.92
TGFB1,MMP9,0.968
TGFB1,FN1,0.969
TGFB1,BGN,0.978
TGFB1,FGF2,0.982
TGFB1,LTBP4,0.997
COMP,PRG4,0.719
COMP,BGN,0.724
COMP,COL9A2,0.736
COMP,COL10A1,0.768
COMP,THBS4,0.856
COMP,SDC1,0.911
COMP,MATN3,0.923
COMP,ITGB1,0.923
COMP,FN1,0.958
LAMB1,COL18A1,0.7
LAMB1,COL4A2,0.738
LAMB1,COL5A2,0.754
LAMB1,COL6A3,0.76
LAMB1,HSPG2,0.782
LAMB1,LAMB2,0.783
LAMB1,COL6A2,0.842
LAMB1,COL4A1,0.843
LAMB1,COL6A1,0.843
LAMB1,NID1,0.892
LAMB1,LAMA2,0.965
LAMB1,ITGB1,0.974
LAMB1,ITGA6,0.977
LAMB1,LAMA4,0.992
LAMB1,LAMA5,0.998
LAMB1,LAMC1,0.999
NAMPT,ADIPOQ,0.876
PCOLCE,COL11A1,0.765
PCOLCE,COL6A1,0.779
PCOLCE,COL11A2,0.8
PCOLCE,BGN,0.829
PCOLCE,COL6A2,0.833
PCOLCE,COL5A2,0.857
PCOLCE,COL5A1,0.928
PCOLCE,COL1A2,0.963
PLOD3,COL21A1,0.765
PLOD3,COL9A2,0.794
PLOD3,COL4A2,0.802
PLOD3,COL4A1,0.874
PLOD3,PLOD2,0.948
EPX,IL5,0.724
PFN1,PPIA,0.77
PFN1,CAP1,0.909
PFN1,GSN,0.954
PFN1,CFL1,0.994
VTN,SERPINA5,0.719
VTN,SERPING1,0.719
VTN,FGA,0.72
VTN,FGG,0.721
VTN,TIMP3,0.736
VTN,AMBP,0.737
VTN,HPX,0.739
VTN,MMP9,0.741
VTN,HRG,0.748
VTN,APOA2,0.75
