Gene_Symbol,Protein_Name,Matrisome_Category,Matrisome_Division,N_Tissues,N_Measurements,Direction_Consistency,Predominant_Direction,N_Upregulated,N_Downregulated,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,Median_Zscore_Delta,Std_Zscore_Delta,N_Strong_Effects,Strong_Effect_Rate,T_Statistic,P_Value,Universality_Score
PRSS3P2;PRSS2;PRSS1,Putative trypsin-6;Trypsin-2;Trypsin-1;Alpha-trypsin chain 1;Alpha-trypsin chain 2,ECM Regulators,Matrisome-associated,3,3,0.6666666666666666,UP,2,1,0.1281720129064339,0.2659841823987409,0.2401266867655557,0.2952842857154445,0,0.0,0.751819345633082,0.5305923701504067,0.3734211206803809
MATN2,Matrilin-2,ECM Glycoproteins,Core matrisome,9,11,0.5454545454545454,DOWN,5,6,-0.1209507380721322,0.4726786919628768,-0.2372219977996593,0.5474189290254419,5,0.4545454545454545,-0.7327993151716039,0.4805050897351036,0.4736267442973952
AGRN,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,ECM Glycoproteins,Core matrisome,10,12,0.5833333333333334,DOWN,5,7,-0.1448336655406874,0.2635794308826738,-0.1064131413212697,0.3250897794267434,1,0.0833333333333333,-1.54332300329631,0.1510164919964522,0.5476252329242711
PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",ECM Regulators,Matrisome-associated,4,4,1.0,DOWN,0,4,-0.1408354832730529,0.1408354832730529,-0.128480932822457,0.0985487858154995,0,0.0,-2.858188096537718,0.0646729685655997,0.571737189908303
NRP1,Neuropilin-1,ECM Glycoproteins,Core matrisome,4,4,0.5,DOWN,2,2,0.1172159793925875,0.3247653233911836,0.0514747012078617,0.4682728730095201,1,0.25,0.5006310898996044,0.6510527510042843,0.3228542174323791
SEMA3E,Semaphorin-3E,ECM-affiliated Proteins,Matrisome-associated,4,4,0.5,DOWN,2,2,0.0502997201963509,0.2128251226473735,-0.0483316169586555,0.3131976911325179,0,0.0,0.3212010919650649,0.769134543416688,0.2880438388755174
LAMA5,Laminin subunit alpha-5,ECM Glycoproteins,Core matrisome,10,10,0.6,DOWN,4,6,-0.0808629079353108,0.1924247971540885,-0.0129435571075107,0.2530408625505566,0,0.0,-1.0105520694271102,0.3386262837549798,0.507987811199707
MATN3,Matrilin-3,ECM Glycoproteins,Core matrisome,3,3,1.0,DOWN,0,3,-1.000424115967756,1.000424115967756,-1.0844056155493678,0.3748032662671277,3,1.0,-4.623186492559408,0.0437394156041079,0.6442357049465423
CHAD,Chondroadherin,Proteoglycans,Core matrisome,4,4,0.75,DOWN,1,3,-0.1282504453745593,0.1626946494462512,-0.14025336501214,0.1888931552129104,0,0.0,-1.357915221755941,0.2675974900888741,0.4583382022209679
P4HA2,Prolyl 4-hydroxylase subunit alpha-2,ECM Regulators,Matrisome-associated,5,5,0.6,DOWN,2,3,-0.3137849587303823,0.4319436722718385,-0.3551770474795451,0.5287862404263137,1,0.2,-1.3268962851083776,0.2552206495219825,0.4603855314404343
EDIL3,EGF-like repeat and discoidin I-like domain-containing protein 3,ECM Glycoproteins,Core matrisome,3,3,0.6666666666666666,DOWN,1,2,-0.0509601079880621,0.1325112077086353,-0.1237234755397456,0.1507112470036154,0,0.0,-0.5856596501547284,0.6173872690377247,0.3427148434339068
SRPX2,Sushi repeat-containing protein SRPX2,ECM Glycoproteins,Core matrisome,5,5,0.6,UP,3,2,0.0005976309358289,0.1065996691347764,0.0061904836904549,0.1415413636443198,0,0.0,0.0094413630303043,0.9929191092236996,0.2803114391863848
SLIT3,Slit homolog 3 protein,ECM Glycoproteins,Core matrisome,4,4,0.75,DOWN,1,3,-0.5620795055121339,0.6394948829274056,-0.4856017782545424,0.7194541000003284,2,0.5,-1.5625166511995063,0.2161021849348098,0.5163172865998962
CILP,Cartilage intermediate layer protein 1;Cartilage intermediate layer protein 1 C1;Cartilage intermediate layer protein 1 C2,ECM Glycoproteins,Core matrisome,4,4,1.0,UP,4,0,0.6316081753940073,0.6316081753940073,0.3943531452521659,0.5996168464446839,1,0.25,2.1067059044088237,0.125760262370478,0.6085970003594228
CRLF1,Cytokine receptor-like factor 1,Secreted Factors,Matrisome-associated,4,4,1.0,UP,4,0,0.7718434987925169,0.7718434987925169,0.8063678779220593,0.3671626853745111,3,0.75,4.2043678703636544,0.0245643653785987,0.6428597120976496
CLEC3A,C-type lectin domain family 3 member A,ECM-affiliated Proteins,Matrisome-associated,3,3,1.0,DOWN,0,3,-0.7942434790763403,0.7942434790763403,-0.616580148458698,0.5832583656671869,2,0.6666666666666666,-2.35859464744559,0.1423557963674697,0.6038943651047283
FCN3,Ficolin-3,ECM-affiliated Proteins,Matrisome-associated,3,3,1.0,UP,3,0,0.6303325475721668,0.6303325475721668,0.509413598922137,0.2669253078971057,2,0.6666666666666666,4.090162924829045,0.0548988413630663,0.6049946629551917
ECM2,Extracellular matrix protein 2,ECM Glycoproteins,Core matrisome,4,4,1.0,DOWN,0,4,-0.2609506916035267,0.2609506916035267,-0.2939785554466939,0.1125347560801969,0,0.0,-4.637690624531366,0.018891305743394,0.5929050433057915
SEMA3D,Semaphorin-3D,ECM-affiliated Proteins,Matrisome-associated,3,3,0.6666666666666666,UP,2,1,0.0835970652270851,0.0870891047358389,0.0964075413372262,0.0831731170591635,0,0.0,1.7408793785372303,0.2238312483977076,0.4168838372646306
MATN4,Matrilin-4,ECM Glycoproteins,Core matrisome,4,4,0.75,DOWN,1,3,-0.1963702327045801,0.2493218393782297,-0.2115012100548212,0.2703782269165927,0,0.0,-1.452559512235851,0.2422850508730151,0.4720634090573375
EFEMP2,EGF-containing fibulin-like extracellular matrix protein 2,ECM Glycoproteins,Core matrisome,4,4,0.75,DOWN,1,3,0.0309692496856101,0.0754697675276287,-0.0250680383237995,0.1214550273928739,0,0.0,0.5099706508719988,0.6452219573895821,0.3740908205689641
F13A1,Coagulation factor XIII A chain,ECM Regulators,Matrisome-associated,9,9,0.6666666666666666,UP,6,3,0.1821656208894746,0.5573696737586272,0.1161552003303691,0.7199339026972349,4,0.4444444444444444,0.7590931064934872,0.4695699150894675,0.5206465137697339
F2,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain,ECM Regulators,Matrisome-associated,13,14,0.7857142857142857,UP,11,3,0.4784004036981658,0.6507019888596577,0.1703197957011595,0.8856013941787313,6,0.4285714285714285,2.0212371119772867,0.0643425128351988,0.717327746739094
PLG,"Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B",ECM Regulators,Matrisome-associated,10,10,0.5,DOWN,5,5,0.6738969372783365,0.8255683529628411,0.0332770370259839,1.1974618475256902,3,0.3,1.7796385199366078,0.1088383142014347,0.5872597606912913
F12,Coagulation factor XII;Coagulation factor XIIa heavy chain;Beta-factor XIIa part 1;Coagulation factor XIIa light chain,ECM Regulators,Matrisome-associated,6,7,0.8571428571428571,UP,6,1,0.3451057774047291,0.3476995055795531,0.1170466823190659,0.4462094762148081,2,0.2857142857142857,2.046267754710283,0.0866888071583911,0.5804573992103107
SERPINC1,Antithrombin-III,ECM Regulators,Matrisome-associated,10,10,0.7,UP,7,3,0.569456682828884,0.9267061881979056,0.0867234678760499,1.28569884352524,5,0.5,1.4006236029627557,0.1948479719672186,0.640171612661641
SERPINA1,Alpha-1-antitrypsin;Short peptide from AAT,ECM Regulators,Matrisome-associated,8,10,0.6,UP,6,4,0.3900365751958458,0.4660553590292752,0.3435952554633599,0.5150919468443278,5,0.5,2.3945316092529967,0.0402571997324805,0.5597305665446668
SERPINA3,Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin His-Pro-less,ECM Regulators,Matrisome-associated,8,10,0.8,UP,8,2,0.2750957077975833,0.4659088595002313,0.3896293314992402,0.4664704073186903,5,0.5,1.8649178973151337,0.095065605114281,0.6087542355154022
AGT,Angiotensinogen;Angiotensin-1;Angiotensin-2;Angiotensin-3;Angiotensin-4;Angiotensin 1-9;Angiotensin 1-7;Angiotensin 1-5;Angiotensin 1-4,ECM Regulators,Matrisome-associated,8,8,0.5,DOWN,4,4,-0.1892458821402877,0.5877549283277896,0.0945860398709308,0.9496421422976392,3,0.375,-0.5636525196712946,0.5905820630198442,0.4318355508170454
A2M,Alpha-2-macroglobulin,ECM Regulators,Matrisome-associated,9,9,0.7777777777777778,UP,7,2,0.4265157869759891,0.5539078208640513,0.3095212670882152,0.5616278171355416,4,0.4444444444444444,2.278283450157465,0.0522110251312541,0.6371054398052524
TIMP1,Metalloproteinase inhibitor 1,ECM Regulators,Matrisome-associated,5,5,0.6,UP,3,2,0.1100141658370408,0.3008649768849304,0.30312062219233,0.3197659418707537,0,0.0,0.7693100517846545,0.4846193613427522,0.4013979195375897
CST3,Cystatin-C,ECM Regulators,Matrisome-associated,8,8,0.5,DOWN,4,4,0.0737537586253565,0.1672459563930719,-0.0100040909286664,0.2014873086716095,0,0.0,1.0353363337039576,0.3349485208002319,0.440911362067496
KNG1,Kininogen-1;Kininogen-1 heavy chain;T-kinin;Bradykinin;Lysyl-bradykinin;Kininogen-1 light chain;Low molecular weight growth-promoting factor,ECM Regulators,Matrisome-associated,9,9,0.6666666666666666,UP,6,3,0.5416936092644092,0.6455925292324218,0.2024254186299776,0.8047445841713374,4,0.4444444444444444,2.0193746683820284,0.0781343323822642,0.6077559158585539
TGFB1,Transforming growth factor beta-1;Latency-associated peptide,Secreted Factors,Matrisome-associated,4,4,0.75,UP,3,1,0.0619149628933306,0.0891355145014334,0.0764533903877694,0.0874035514690063,0,0.0,1.4167608032560537,0.2515423704685166,0.4541933126505576
COL1A1,Collagen alpha-1(I) chain,Collagens,Core matrisome,10,10,0.6,UP,6,4,-0.0441649887012135,0.2651819869354644,0.1243111008304525,0.3489593599247935,2,0.2,-0.4002241325796104,0.6983248269063533,0.4433238215475699
COL2A1,Collagen alpha-1(II) chain;Collagen alpha-1(II) chain;Chondrocalcin,Collagens,Core matrisome,7,7,0.5714285714285714,UP,4,3,0.1061132668067344,0.5511733346233784,0.0614611873352572,0.7330243244403757,2,0.2857142857142857,0.3830013621848104,0.714920457924235,0.4070912250707681
COL3A1,Collagen alpha-1(III) chain,Collagens,Core matrisome,10,12,0.6666666666666666,DOWN,4,8,-0.2258044572521528,0.3038993936325184,-0.1825298438396085,0.3389460940757451,2,0.1666666666666666,-2.307769874750893,0.0414611447402367,0.5985682986504987
FGA,Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain,ECM Glycoproteins,Core matrisome,10,12,0.8333333333333334,UP,10,2,0.6072087953084065,0.7530692485474235,0.2358101621798733,1.0582485792128884,4,0.3333333333333333,1.9876548949569175,0.0723163965435527,0.687314233781326
FGB,Fibrinogen beta chain;Fibrinopeptide B;Fibrinogen beta chain,ECM Glycoproteins,Core matrisome,10,10,0.9,UP,9,1,0.7383429907808444,0.7448227955496862,0.2343464978906018,0.9425435241998804,4,0.4,2.4771753084508306,0.0351539836057214,0.7139220710691185
FGG,Fibrinogen gamma chain,ECM Glycoproteins,Core matrisome,10,10,0.8,UP,8,2,0.7227086566268052,0.8153690584735589,0.2920540951604974,1.0811555223345055,4,0.4,2.1138544755581887,0.0636699998045266,0.6852734941217447
C1QB,Complement C1q subcomponent subunit B,ECM-affiliated Proteins,Matrisome-associated,7,7,0.7142857142857143,UP,5,2,0.2210082549927417,0.4492857892136362,0.2382707912090102,0.52025488476709,3,0.4285714285714285,1.123935396906306,0.3039866662468051,0.5219463717224228
FN1,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,ECM Glycoproteins,Core matrisome,10,12,0.5,DOWN,6,6,0.1364727682078841,0.3777433302476126,0.0002482754024294,0.4848581042108055,4,0.3333333333333333,0.975038949881527,0.3504959119988658,0.4941457388602822
AMBP,Protein AMBP;Alpha-1-microglobulin;Inter-alpha-trypsin inhibitor light chain;Trypstatin,ECM Regulators,Matrisome-associated,10,10,0.8,UP,8,2,0.5802685454104057,0.6086785659832511,0.4295775456892038,0.6209216166595083,5,0.5,2.955236552918982,0.0160834969367135,0.6741217454462766
HPX,Hemopexin,ECM-affiliated Proteins,Matrisome-associated,9,9,0.7777777777777778,UP,7,2,0.941379431282924,1.0670101227397082,0.6538258124963177,1.071407253032118,5,0.5555555555555556,2.6359148548382203,0.0299023392998009,0.6928774071591087
SLPI,Antileukoproteinase,ECM Regulators,Matrisome-associated,6,6,0.5,DOWN,3,3,0.0574299801189596,0.4044259030133484,0.0427303296289328,0.523271474483074,1,0.1666666666666666,0.2688358798243335,0.798796123765331,0.3365657184894451
VTN,Vitronectin;Vitronectin V65 subunit;Vitronectin V10 subunit;Somatomedin-B,ECM Glycoproteins,Core matrisome,10,10,0.8,UP,8,2,1.078054613707371,1.1885305429265454,0.8898093045156904,1.130757458590349,6,0.6,3.0148888211785154,0.0145997208001222,0.7324036983679243
ANXA1,Annexin A1,ECM-affiliated Proteins,Matrisome-associated,10,10,0.8,DOWN,2,8,-0.2010311054668275,0.2538726685351642,-0.0687527861324263,0.3285228405245121,1,0.1,-1.9350745074580875,0.0849781653096801,0.6248622220268746
HRG,Histidine-rich glycoprotein,ECM Regulators,Matrisome-associated,10,10,0.7,UP,7,3,0.5635942842590463,0.6223542884615182,0.2850547255674667,0.7812678197248087,4,0.4,2.2812172337249734,0.0484659096011389,0.6390128351612182
