Gene_Symbol,Universality_Score,Abs_Mean_Zscore_Delta,N_Tissues,Direction_Consistency,Matrisome_Category
F2,0.717327746739094,0.6507019888596577,13,0.7857142857142857,ECM Regulators
FGB,0.7139220710691185,0.7448227955496862,10,0.9,ECM Glycoproteins
PRG4,0.7106150338969908,1.5492759913809868,4,1.0,Proteoglycans
Pcolce,0.7097885967490158,1.0826789831978638,6,1.0,ECM Glycoproteins
TENA,0.7065992743289317,2.740813453889599,1,1.0,ECM Glycoproteins
Serpinh1,0.7057111531270162,0.660101795524813,8,1.0,ECM Regulators
COL6A3,0.6939486950312634,0.2369376130297511,10,1.0,Collagens
HPX,0.6928774071591087,1.0670101227397082,9,0.7777777777777778,ECM-affiliated Proteins
PGS2,0.6916027773771951,1.79333329886667,1,1.0,Proteoglycans
IL17B,0.6911127360931505,1.421826012755146,3,1.0,Secreted Factors
TIMP3,0.6907647258584458,0.9915478886751952,8,0.875,ECM Regulators
Serpinf1,0.6876022741202897,0.6983844682242608,7,1.0,ECM Regulators
FGA,0.687314233781326,0.7530692485474235,10,0.8333333333333334,ECM Glycoproteins
Mfge8,0.6859726584594903,0.487722747800569,8,1.0,ECM Glycoproteins
FGG,0.6852734941217447,0.8153690584735589,10,0.8,ECM Glycoproteins
Itih3,0.6830682199572168,0.4243490387790778,8,1.0,ECM Regulators
VWA1,0.6830255432932146,0.2581326446081609,9,1.0,ECM Glycoproteins
Angptl7,0.6808309731800368,1.35690839052571,3,1.0,Secreted Factors
Ctsd,0.6797065837578534,0.4101558250792732,8,1.0,ECM Regulators
Fbln5,0.677791492052616,0.5570841495063636,7,1.0,ECM Glycoproteins
