Gene,Tissue_Compartment,N_Studies,Shape,Sign_Changes,Poly_Coef_a,Poly_Coef_b,Poly_Coef_c,R2_Polynomial,R2_Linear,Nonlinearity_Gain,Threshold_Score,Vertex_X,Deltas,Matrisome_Category
TNS1,Glomerular,3,Inverted-U (increase then decrease),0,-0.028167433811123126,0.053584614079242796,-0.24362616959436614,1.0,0.027805164272591942,0.9721948357274081,1.0600071145901107,0.9511802608387172,"[-0.2436261695943663, -0.2182089893262466, -0.2491266766803734]",
KRT5,Tubulointerstitial,3,Inverted-U (increase then decrease),2,-0.31988340551345984,0.6082649755204903,-0.282858899109622,1.0,0.028271856815414997,0.971728143184585,1.0950558208444041,0.9507604412053443,"[-0.2828588991096221, 0.0055226708974083, -0.3458625701224815]",
RUVBL1,Glomerular,3,Inverted-U (increase then decrease),2,-0.12467439114249082,0.2627469482828873,-0.098515000859665,1.0,0.0334861734502816,0.9665138265497184,1.0986530818665223,1.053732630555191,"[-0.098515000859665, 0.0395575562807314, -0.071718668863854]",
PAPLN,Tubulointerstitial,3,Inverted-U (increase then decrease),1,-0.8362123450456987,1.5578203887816182,0.012215997774057696,1.0,0.053343599366833416,0.9466564006331666,1.1356935334052907,0.9314741632380971,"[0.0122159977740576, 0.7338240415099766, -0.2169926048455031]",ECM Glycoproteins
COL18A1,Glomerular,3,U-shaped (decrease then increase),0,0.0652371079327029,-0.1404980520116648,-0.15545292842276587,1.0,0.06614246841432281,0.9338575315856772,1.136235358515761,1.07682618423704,"[-0.1554529284227658, -0.2307138725017277, -0.1755006007152837]",Collagens
SYNE2,Glomerular,3,U-shaped (decrease then increase),2,1.216836065419776,-2.2360719323711824,0.7344823612958593,1.0,0.07331048779756422,0.9266895122024358,1.1614340419460358,0.9188057438122518,"[0.7344823612958595, -0.2847535056555463, 1.129682758232602]",
DAP3,Tubulointerstitial,3,Inverted-U (increase then decrease),1,-0.6286649908543578,1.1348848924560417,0.07379966000932763,1.0,0.10217763928009926,0.8978223607199007,1.192872544951073,0.9026149928547234,"[0.0737996600093277, 0.5800195616110118, -0.1710905184960207]",
FN1,Lung,3,Inverted-U (increase then decrease),2,-0.10622574222454814,0.23333308945387488,-0.11781051575062386,1.0,0.10388507756581211,0.8961149224341879,1.1854182082800893,1.098288816662902,"[-0.1178105157506239, 0.0092968314787028, -0.076047305741067]",ECM Glycoproteins
GPX4,Glomerular,3,U-shaped (decrease then increase),2,0.28238010606788017,-0.5072332469870876,0.11081462987525244,1.0,0.11072191241572882,0.8892780875842712,1.1994740066020457,0.8981391324804516,"[0.1108146298752524, -0.1140385110439552, 0.2258685601725979]",
GLS,Tubulointerstitial,3,U-shaped (decrease then increase),1,0.10711198086699981,-0.25828349970629527,0.05321296259787468,1.0,0.33669584027109545,0.6633041597289046,1.3982864584200685,1.2056704470203201,"[0.0532129625978747, -0.0979585562414208, -0.0349061133467165]",
