Protein_1,Protein_2,R2_Score,Importance_1,Importance_2
F2,AEBP1,0.8713037283268819,0.060450490181179956,0.018426777102475003
F2,EMILIN3,0.8482675328585553,0.060450490181179956,0.022427915412092318
COL15A1,PXDN,0.8092288761690716,0.04168810167617493,0.016296890051224415
TIMP3,F2,0.79084972864196,0.07187811545660686,0.060450490181179956
TIMP3,FGA,0.7850525446346566,0.07187811545660686,0.023865560911915943
S100A9,VTN,0.7753561798617685,0.08386725367053265,0.023244052041586794
COL15A1,AEBP1,0.7716391612491617,0.04168810167617493,0.018426777102475003
TIMP3,SERPINA6,0.7687798765790033,0.07187811545660686,0.0390010715816924
COL15A1,VTN,0.750764198403075,0.04168810167617493,0.023244052041586794
S100A9,AMBP,0.7475211574212588,0.08386725367053265,0.03268124522583259
TIMP3,FGB,0.7446593396057279,0.07187811545660686,0.02995193374457611
TIMP3,VTN,0.7440474439357648,0.07187811545660686,0.023244052041586794
S100A9,ANXA4,0.7377277642369011,0.08386725367053265,0.025874177083109257
COL15A1,FGB,0.7347787360655793,0.04168810167617493,0.02995193374457611
COL15A1,EMILIN3,0.7332001455029492,0.04168810167617493,0.022427915412092318
TIMP3,EMILIN3,0.7250060057164838,0.07187811545660686,0.022427915412092318
COL15A1,SERPINA6,0.7195320153287299,0.04168810167617493,0.0390010715816924
S100A9,F2,0.7144751261001032,0.08386725367053265,0.060450490181179956
COL15A1,HSPG2,0.7122268393936853,0.04168810167617493,0.023536846173030083
S100A9,FGB,0.7121341335022735,0.08386725367053265,0.02995193374457611
F2,AMBP,0.7094505060080667,0.060450490181179956,0.03268124522583259
COL15A1,FGA,0.7074885946193021,0.04168810167617493,0.023865560911915943
COL15A1,AMBP,0.7041606390627781,0.04168810167617493,0.03268124522583259
F2,COL15A1,0.7018490389052416,0.060450490181179956,0.04168810167617493
F2,VTN,0.6972200653008214,0.060450490181179956,0.023244052041586794
TIMP3,PXDN,0.6962261249245105,0.07187811545660686,0.016296890051224415
TIMP3,COL15A1,0.6961332385666155,0.07187811545660686,0.04168810167617493
S100A9,COL15A1,0.6951577556546846,0.08386725367053265,0.04168810167617493
S100A9,SERPINA6,0.6951234548507832,0.08386725367053265,0.0390010715816924
COL15A1,LAMA5,0.6927105242037586,0.04168810167617493,0.02619526676305372
TIMP3,AMBP,0.6920818168800744,0.07187811545660686,0.03268124522583259
COL15A1,ANXA4,0.6918994614069802,0.04168810167617493,0.025874177083109257
F2,FGB,0.6909991380750722,0.060450490181179956,0.02995193374457611
S100A9,FGA,0.673980492677126,0.08386725367053265,0.023865560911915943
F2,SERPINA6,0.6564399174647408,0.060450490181179956,0.0390010715816924
TIMP3,ANXA4,0.6541800481840303,0.07187811545660686,0.025874177083109257
S100A9,LAMA5,0.646463053919341,0.08386725367053265,0.02619526676305372
S100A9,EMILIN3,0.6411922572764037,0.08386725367053265,0.022427915412092318
S100A9,AEBP1,0.6383078647294576,0.08386725367053265,0.018426777102475003
F2,HSPG2,0.6131804381250061,0.060450490181179956,0.023536846173030083
S100A9,PXDN,0.6018965127413201,0.08386725367053265,0.016296890051224415
F2,ANXA4,0.5974441858769983,0.060450490181179956,0.025874177083109257
F2,FGA,0.5958512910848837,0.060450490181179956,0.023865560911915943
F2,LAMA5,0.5437781854752839,0.060450490181179956,0.02619526676305372
S100A9,HSPG2,0.5408155751166283,0.08386725367053265,0.023536846173030083
TIMP3,HSPG2,0.5405228771212485,0.07187811545660686,0.023536846173030083
S100A9,TIMP3,0.5292344763131762,0.08386725367053265,0.07187811545660686
F2,PXDN,0.5161837197497096,0.060450490181179956,0.016296890051224415
TIMP3,LAMA5,0.5108498996600053,0.07187811545660686,0.02619526676305372
TIMP3,AEBP1,0.5065777389780258,0.07187811545660686,0.018426777102475003
