Protein_ID,Gene_Symbol,Protein_Name,N_Studies,N_Obs,Mean_Zscore_Delta,Std_Zscore_Delta,N_Upregulated,N_Downregulated,N_Neutral,Direction_Consistency,Replication_Score,Replication_Quality
P04004,VTN,Vitronectin;Vitronectin V65 subunit;Vitronectin V10 subunit;Somatomedin-B,5.0,8.0,1.318911080793891,1.138613718396862,6.0,0.0,2.0,0.875,0.5770235978473274,HIGH (multi-study validation)
P02675,FGB,Fibrinogen beta chain;Fibrinopeptide B;Fibrinogen beta chain,5.0,8.0,0.8946244408992193,1.0006800159487974,4.0,0.0,4.0,0.875,0.39139819289340844,HIGH (multi-study validation)
P02671,FGA,Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain,5.0,8.0,0.8806292048086313,1.2151773474408267,3.0,1.0,4.0,0.875,0.3852752771037762,HIGH (multi-study validation)
P02790,HPX,Hemopexin,5.0,8.0,1.0050720136416453,1.127020241380975,5.0,0.0,3.0,0.75,0.376902005115617,MEDIUM (partial validation)
Q92954,PRG4,Proteoglycan 4;Proteoglycan 4 C-terminal part,3.0,5.0,1.5492759913809868,1.1524872089430453,4.0,0.0,0.0,0.8,0.3718262379314368,MEDIUM (partial validation)
Q61398,PCOLCE,Procollagen C-endopeptidase enhancer 1,5.0,8.0,-0.8249345752651844,0.8354528957259116,0.0,4.0,4.0,0.875,0.3609088766785182,HIGH (multi-study validation)
P22105,TNXB,Tenascin-X,4.0,6.0,-0.8810209782365742,0.553150022388375,0.0,4.0,2.0,1.0,0.3524083912946297,MEDIUM (partial validation)
Q80X19,Col14a1,,4.0,7.0,-1.0248969410699833,0.6264362345008107,0.0,6.0,1.0,0.8571428571428571,0.35139323693828,MEDIUM (partial validation)
Q9R013,CTSF,Cathepsin F,5.0,7.0,0.7774724633378417,0.7859450480119888,4.0,0.0,3.0,0.8571428571428571,0.3332024842876464,HIGH (multi-study validation)
P00734,F2,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain,4.0,6.0,0.9838545872741561,1.2145075247100652,5.0,1.0,0.0,0.8333333333333334,0.3279515290913854,MEDIUM (partial validation)
P35625,TIMP3,Metalloproteinase inhibitor 3,4.0,7.0,0.9380965928302631,1.1440862706526882,5.0,1.0,1.0,0.8571428571428571,0.3216331175418045,MEDIUM (partial validation)
P08185,SERPINA6,Corticosteroid-binding globulin,3.0,5.0,0.9884111368166959,0.6805541737716405,4.0,0.0,1.0,1.0,0.29652334104500877,MEDIUM (partial validation)
O75339,CILP,Cartilage intermediate layer protein 1;Cartilage intermediate layer protein 1 C1;Cartilage intermediate layer protein 1 C2,4.0,6.0,0.8710693426945131,0.7458977980459552,2.0,0.0,3.0,0.8333333333333334,0.29035644756483775,MEDIUM (partial validation)
P19324,SERPINH1,Serpin H1,6.0,10.0,-0.5734625551659357,0.4779511084128335,0.0,5.0,5.0,1.0,0.28673127758296785,HIGH (multi-study validation)
P02679,FGG,Fibrinogen gamma chain,4.0,7.0,0.9416255785123175,1.2469794598267365,4.0,0.0,3.0,0.7142857142857143,0.2690358795749479,MEDIUM (partial validation)
P19827,ITIH1,Inter-alpha-trypsin inhibitor heavy chain H1,4.0,7.0,0.7336590979080844,1.1329142062153301,3.0,1.0,3.0,0.8571428571428571,0.25154026213991465,MEDIUM (partial validation)
Q9R045,ANGPTL2,Angiopoietin-related protein 2,4.0,4.0,0.6060683479185923,0.17991080902173343,3.0,0.0,1.0,1.0,0.24242733916743694,MEDIUM (partial validation)
