Source,Target,Correlation,Evidence
A2M,ACAN,-1.0,Co-regulation
A2M,ADAMTSL4,1.0,Co-regulation
A2M,ADIPOQ,-1.0,Co-regulation
ANGPTL2,A2M,-0.9999999999999997,Co-regulation
A2M,ANXA3,-1.0000000000000002,Co-regulation
A2M,C1QA,0.8368681057308041,Co-regulation
A2M,C1QC,0.9145628349440783,Co-regulation
A2M,C1QTNF5,-1.0000000000000002,Co-regulation
A2M,CCN1,1.0,Co-regulation
CD109,A2M,0.9968477454806429,Co-regulation
CILP,A2M,-1.0,Co-regulation
A2M,COL11A1,-1.0,Co-regulation
COL11A2,A2M,-1.0,Co-regulation
A2M,COL28A1,0.785929629874606,Co-regulation
A2M,COL4A6,-1.0,Co-regulation
A2M,COL5A3,-0.9965250657214206,Co-regulation
A2M,COL6A6,0.9512783924849313,Co-regulation
A2M,COL7A1,0.7123274211451752,Co-regulation
A2M,COL9A2,1.0000000000000002,Co-regulation
A2M,CSPG4,0.7644594296054332,Co-regulation
A2M,CSTA,-1.0,Co-regulation
A2M,CTHRC1,-0.9999999999999998,Co-regulation
A2M,CTSB,0.9875265192223053,Co-regulation
A2M,CTSC,-1.0,Co-regulation
A2M,CTSD,0.9006687166818997,Co-regulation
CXCL10,A2M,0.8741883029446431,Co-regulation
A2M,ECM2,0.9999999999999998,Co-regulation
A2M,ELANE,-1.0000000000000002,Co-regulation
EMILIN3,A2M,0.9839933711284878,Co-regulation
A2M,F12,1.0000000000000002,Co-regulation
A2M,F13A1,0.7779762030073237,Co-regulation
F2,A2M,0.9208927743649326,Co-regulation
A2M,FBLN2,-0.9508544799387979,Co-regulation
A2M,FBN1,-0.9210858386917767,Co-regulation
FGA,A2M,0.8691539147938013,Co-regulation
FGB,A2M,0.7962293393946879,Co-regulation
FGG,A2M,0.8579012784115444,Co-regulation
A2M,FGL2,1.0,Co-regulation
A2M,FLG,-0.7633294967153677,Co-regulation
A2M,FN1,0.8593102758558795,Co-regulation
A2M,FNDC1,-1.0000000000000002,Co-regulation
A2M,FSTL1,1.0000000000000004,Co-regulation
A2M,GDF15,-0.9999999999999998,Co-regulation
A2M,HAPLN1,-1.0,Co-regulation
HCFC1,A2M,1.0000000000000009,Co-regulation
A2M,HMCN1,1.0,Co-regulation
HPX,A2M,0.9977178980693577,Co-regulation
A2M,HRNR,0.9999999999999999,Co-regulation
IGFALS,A2M,0.8556504093717173,Co-regulation
A2M,IGFBP3,0.9999999999999999,Co-regulation
A2M,IGFBP7,-0.8720399004977986,Co-regulation
ITIH1,A2M,0.852859390080297,Co-regulation
ITIH2,A2M,0.9291354141182195,Co-regulation
ITIH3,A2M,0.9387345660737187,Co-regulation
ITIH4,A2M,0.9100914249463262,Co-regulation
KNG1,A2M,0.8853355726156431,Co-regulation
A2M,LAMA3,1.0,Co-regulation
A2M,LGALS8,-1.0,Co-regulation
A2M,LMAN1,-0.9568344972549392,Co-regulation
A2M,LOX,-0.9999999999999999,Co-regulation
LOXL1,A2M,1.0000000000000002,Co-regulation
LRG1,A2M,0.86354044473063,Co-regulation
A2M,LTBP2,1.0,Co-regulation
A2M,LTBP4,-0.9552719960391827,Co-regulation
A2M,LUM,0.9423527970836287,Co-regulation
A2M,MASP2,-1.0,Co-regulation
A2M,MFAP2,0.7071766693513324,Co-regulation
MFAP5,A2M,0.9999999999999998,Co-regulation
A2M,MFGE8,0.87220987852173,Co-regulation
A2M,MGP,-1.0,Co-regulation
MMP2,A2M,0.9999999999999999,Co-regulation
A2M,MXRA5,1.0,Co-regulation
A2M,NELL1,1.0,Co-regulation
A2M,OMD,1.0,Co-regulation
P3H1,A2M,0.9334492083683595,Co-regulation
A2M,P4HA1,0.7781011889761934,Co-regulation
A2M,P4HA2,0.99153807278894,Co-regulation
A2M,PAPLN,1.0,Co-regulation
A2M,PCOLCE,1.0,Co-regulation
A2M,PLOD1,1.0000000000000002,Co-regulation
A2M,PLXNB2,-1.0,Co-regulation
A2M,PODN,1.0,Co-regulation
A2M,POSTN,0.9746767686424521,Co-regulation
A2M,PRG2,0.9553329928190697,Co-regulation
A2M,PRSS2,0.9999999999999998,Co-regulation
A2M,S100A1,-1.0,Co-regulation
A2M,S100A13,0.9840902514324261,Co-regulation
A2M,S100A4,-1.0,Co-regulation
A2M,S100A6,-0.9900015511156892,Co-regulation
A2M,S100A7,-0.8754454945272302,Co-regulation
A2M,SBSPON,-0.9721601041720398,Co-regulation
A2M,SEMA3B,1.0,Co-regulation
A2M,SEMA3C,1.0,Co-regulation
A2M,SERPINA1,0.8690618121255439,Co-regulation
SERPINA10,A2M,1.0,Co-regulation
