Protein,Loading
Rnpep,0.056575626955213065
Cdnf,-0.05657562695521306
Fth1,-0.05657562695521306
Dnpep,-0.05657562695521306
Apob,0.05657562695521306
Apoa2,0.05657562695521306
Ache,-0.05657562695521306
Lamp2,0.05657562695521306
Cfh,-0.05657562695521305
Slc2a4,-0.05657562695521305
Ace,0.05657562695521305
Phospho1,0.05657562695521305
Gstm7,-0.05657562695521305
Lgals3bp,-0.05657562695521305
Cpa3,-0.05657562695521305
Hspa5,-0.05657562695521305
Cpn1,-0.05657562695521305
Cpq,0.05657562695521305
Sord,-0.05657562695521305
Ddt,-0.05657562695521305
Aoc3,0.05657562695521305
Igf2r,-0.05657562695521305
Pon1,-0.05657562695521305
Dpp4,0.05657562695521305
Aqp1,-0.05657562695521305
Nampt,0.05657562695521305
Gbp2,0.05657562695521305
Entpd1,0.05657562695521305
Kera,0.05657562695521305
Fetub,-0.05657562695521305
