Gene_Symbol,Tissue_Compartment,Organ,Species,Study_ID,Zscore_Delta,Zscore_Young,Zscore_Old,Matrisome_Category,Protein_Name
F13A1,NP,Intervertebral_disc,Homo sapiens,Tam_2020,1.1277934102539335,-0.7404209763653393,0.3873724338885942,ECM Regulators,Coagulation factor XIII A chain
F2,NP,Intervertebral_disc,Homo sapiens,Tam_2020,2.2662605809177805,-1.4388790093524055,0.8273815715653748,ECM Regulators,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain
PLG,NP,Intervertebral_disc,Homo sapiens,Tam_2020,2.5741242986134667,-1.2346500439404466,1.3394742546730198,ECM Regulators,"Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B"
F12,NP,Intervertebral_disc,Homo sapiens,Tam_2020,1.135517732236518,-0.8871563854720595,0.2483613467644584,ECM Regulators,Coagulation factor XII;Coagulation factor XIIa heavy chain;Beta-factor XIIa part 1;Coagulation factor XIIa light chain
SERPINC1,NP,Intervertebral_disc,Homo sapiens,Tam_2020,3.0125885630073665,-1.442933416329651,1.5696551466777156,ECM Regulators,Antithrombin-III
SERPINA1,NP,Intervertebral_disc,Homo sapiens,Tam_2020,0.8997898525825043,1.4918106852463828,2.391600537828887,ECM Regulators,Alpha-1-antitrypsin;Short peptide from AAT
SERPINA3,NP,Intervertebral_disc,Homo sapiens,Tam_2020,0.8252830577780692,0.9016452789306256,1.726928336708695,ECM Regulators,Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin His-Pro-less
A2M,NP,Intervertebral_disc,Homo sapiens,Tam_2020,1.237346148377939,1.1107952078498486,2.348141356227788,ECM Regulators,Alpha-2-macroglobulin
FGA,NP,Intervertebral_disc,Homo sapiens,Tam_2020,2.904223006672848,-1.3358845003257844,1.5683385063470638,ECM Glycoproteins,Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain
FGB,NP,Intervertebral_disc,Homo sapiens,Tam_2020,2.600559644634628,-0.8301118221875544,1.7704478224470737,ECM Glycoproteins,Fibrinogen beta chain;Fibrinopeptide B;Fibrinogen beta chain
FGG,NP,Intervertebral_disc,Homo sapiens,Tam_2020,2.890338500031436,-0.972658126410807,1.9176803736206287,ECM Glycoproteins,Fibrinogen gamma chain
HPX,NP,Intervertebral_disc,Homo sapiens,Tam_2020,2.716973940858929,-0.9822261676826912,1.7347477731762375,ECM-affiliated Proteins,Hemopexin
VTN,NP,Intervertebral_disc,Homo sapiens,Tam_2020,2.9147790715506203,-1.647458717135295,1.267320354415325,ECM Glycoproteins,Vitronectin;Vitronectin V65 subunit;Vitronectin V10 subunit;Somatomedin-B
THBS1,NP,Intervertebral_disc,Homo sapiens,Tam_2020,-0.0466852714828034,0.8609305918102869,0.8142453203274834,ECM Glycoproteins,Thrombospondin-1
SERPINF2,NP,Intervertebral_disc,Homo sapiens,Tam_2020,1.9497515823107792,-1.1972174958016892,0.7525340865090899,ECM Regulators,Alpha-2-antiplasmin
THBS2,NP,Intervertebral_disc,Homo sapiens,Tam_2020,0.0647528696580755,0.1686731524395852,0.2334260220976608,ECM Glycoproteins,Thrombospondin-2
F13A1,IAF,Intervertebral_disc,Homo sapiens,Tam_2020,0.961026525995513,-0.3896287739089018,0.5713977520866111,ECM Regulators,Coagulation factor XIII A chain
F2,IAF,Intervertebral_disc,Homo sapiens,Tam_2020,2.089382287446438,-1.6422861567683908,0.447096130678047,ECM Regulators,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain
PLG,IAF,Intervertebral_disc,Homo sapiens,Tam_2020,2.66376640893791,-1.7024861308798778,0.9612802780580324,ECM Regulators,"Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B"
SERPINC1,IAF,Intervertebral_disc,Homo sapiens,Tam_2020,2.497594082720548,-1.3951730742709365,1.1024210084496116,ECM Regulators,Antithrombin-III
SERPINA1,IAF,Intervertebral_disc,Homo sapiens,Tam_2020,0.7094964886191832,1.4095356230113028,2.119032111630486,ECM Regulators,Alpha-1-antitrypsin;Short peptide from AAT
SERPINA3,IAF,Intervertebral_disc,Homo sapiens,Tam_2020,0.5175504260240947,0.925636154013919,1.4431865800380137,ECM Regulators,Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin His-Pro-less
A2M,IAF,Intervertebral_disc,Homo sapiens,Tam_2020,1.0001868834310166,0.7425359246613192,1.7427228080923358,ECM Regulators,Alpha-2-macroglobulin
FGA,IAF,Intervertebral_disc,Homo sapiens,Tam_2020,2.352679305821766,-0.8107887272870714,1.5418905785346944,ECM Glycoproteins,Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain
FGB,IAF,Intervertebral_disc,Homo sapiens,Tam_2020,2.083182129127694,-0.5290494243444028,1.5541327047832916,ECM Glycoproteins,Fibrinogen beta chain;Fibrinopeptide B;Fibrinogen beta chain
FGG,IAF,Intervertebral_disc,Homo sapiens,Tam_2020,2.2223187273005296,-0.4838316750969584,1.7384870522035714,ECM Glycoproteins,Fibrinogen gamma chain
HPX,IAF,Intervertebral_disc,Homo sapiens,Tam_2020,2.3556691905136984,-0.9530092935702752,1.402659896943423,ECM-affiliated Proteins,Hemopexin
VTN,IAF,Intervertebral_disc,Homo sapiens,Tam_2020,2.700568719284795,-1.2730089115560264,1.4275598077287686,ECM Glycoproteins,Vitronectin;Vitronectin V65 subunit;Vitronectin V10 subunit;Somatomedin-B
VWF,IAF,Intervertebral_disc,Homo sapiens,Tam_2020,1.0107729476516771,-0.9948876527382154,0.0158852949134616,ECM Glycoproteins,von Willebrand factor;von Willebrand antigen 2
THBS1,IAF,Intervertebral_disc,Homo sapiens,Tam_2020,0.4125368320122298,1.0407492547652295,1.4532860867774593,ECM Glycoproteins,Thrombospondin-1
SERPINF2,IAF,Intervertebral_disc,Homo sapiens,Tam_2020,1.394018439909521,-1.4474886993616014,-0.0534702594520803,ECM Regulators,Alpha-2-antiplasmin
THBS2,IAF,Intervertebral_disc,Homo sapiens,Tam_2020,0.2264169864741549,0.2154339324724818,0.4418509189466367,ECM Glycoproteins,Thrombospondin-2
F13A1,OAF,Intervertebral_disc,Homo sapiens,Tam_2020,0.8273720166758178,0.0097863212548014,0.8371583379306192,ECM Regulators,Coagulation factor XIII A chain
F2,OAF,Intervertebral_disc,Homo sapiens,Tam_2020,1.3440608826566112,-0.6783779540170347,0.6656829286395763,ECM Regulators,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain
F9,OAF,Intervertebral_disc,Homo sapiens,Tam_2020,0.0917230896237119,-0.3882184775720864,-0.2964953879483744,ECM Regulators,Coagulation factor IX;Coagulation factor IXa light chain;Coagulation factor IXa heavy chain
F10,OAF,Intervertebral_disc,Homo sapiens,Tam_2020,-0.017785604779105,-0.3606378802473215,-0.3784234850264266,ECM Regulators,Coagulation factor X;Factor X light chain;Factor X heavy chain;Activated factor Xa heavy chain
PLG,OAF,Intervertebral_disc,Homo sapiens,Tam_2020,1.867780712776438,-0.593012366090815,1.2747683466856232,ECM Regulators,"Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B"
F12,OAF,Intervertebral_disc,Homo sapiens,Tam_2020,0.8249384690243117,-0.683083354746151,0.1418551142781606,ECM Regulators,Coagulation factor XII;Coagulation factor XIIa heavy chain;Beta-factor XIIa part 1;Coagulation factor XIIa light chain
SERPINC1,OAF,Intervertebral_disc,Homo sapiens,Tam_2020,0.8722177335094984,0.1842130870762098,1.0564308205857085,ECM Regulators,Antithrombin-III
SERPINA1,OAF,Intervertebral_disc,Homo sapiens,Tam_2020,0.5841250786336067,1.3955711097098158,1.9796961883434223,ECM Regulators,Alpha-1-antitrypsin;Short peptide from AAT
SERPINA3,OAF,Intervertebral_disc,Homo sapiens,Tam_2020,0.5413081840297604,0.8581674522400127,1.3994756362697731,ECM Regulators,Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin His-Pro-less
A2M,OAF,Intervertebral_disc,Homo sapiens,Tam_2020,0.8269960110757956,0.7846833586792722,1.6116793697550678,ECM Regulators,Alpha-2-macroglobulin
FGA,OAF,Intervertebral_disc,Homo sapiens,Tam_2020,1.3621161344017438,0.3775687936427045,1.7396849280444484,ECM Glycoproteins,Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain
FGB,OAF,Intervertebral_disc,Homo sapiens,Tam_2020,1.2802741874221053,0.5756943474216512,1.8559685348437565,ECM Glycoproteins,Fibrinogen beta chain;Fibrinopeptide B;Fibrinogen beta chain
FGG,OAF,Intervertebral_disc,Homo sapiens,Tam_2020,1.3490565064585789,0.5512835738147182,1.900340080273297,ECM Glycoproteins,Fibrinogen gamma chain
HPX,OAF,Intervertebral_disc,Homo sapiens,Tam_2020,0.9874802816704592,0.4844728971261154,1.4719531787965745,ECM-affiliated Proteins,Hemopexin
VTN,OAF,Intervertebral_disc,Homo sapiens,Tam_2020,1.4034545904930198,0.4436235789836297,1.8470781694766496,ECM Glycoproteins,Vitronectin;Vitronectin V65 subunit;Vitronectin V10 subunit;Somatomedin-B
VWF,OAF,Intervertebral_disc,Homo sapiens,Tam_2020,0.619890326000263,-0.6901283158400844,-0.0702379898398214,ECM Glycoproteins,von Willebrand factor;von Willebrand antigen 2
F13B,OAF,Intervertebral_disc,Homo sapiens,Tam_2020,0.1605833254842287,-0.7916519959301623,-0.6310686704459336,ECM Regulators,Coagulation factor XIII B chain
THBS1,OAF,Intervertebral_disc,Homo sapiens,Tam_2020,0.0652514317912784,1.973262540894628,2.038513972685906,ECM Glycoproteins,Thrombospondin-1
SERPINF2,OAF,Intervertebral_disc,Homo sapiens,Tam_2020,1.36849903749794,-1.2567954628904867,0.1117035746074532,ECM Regulators,Alpha-2-antiplasmin
THBS2,OAF,Intervertebral_disc,Homo sapiens,Tam_2020,0.0827044126452168,0.9238875160418806,1.0065919286870977,ECM Glycoproteins,Thrombospondin-2
FGA,Lung,Lung,Mus musculus,Angelidis_2019,0.0355849509779742,1.5255480272173516,1.5611329781953258,ECM Glycoproteins,Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain
PLAT,Lung,Lung,Mus musculus,Angelidis_2019,0.2621862381857784,-0.6099429604770803,-0.3477567222913018,ECM Regulators,Tissue-type plasminogen activator;Tissue-type plasminogen activator chain A;Tissue-type plasminogen activator chain B
F2,Lung,Lung,Mus musculus,Angelidis_2019,0.1532132584987627,-0.9733926466291426,-0.8201793881303798,ECM Regulators,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain;Prothrombin
VTN,Lung,Lung,Mus musculus,Angelidis_2019,0.3512190704726974,0.6149373483680067,0.966156418840704,ECM Glycoproteins,Vitronectin
SERPINC1,Lung,Lung,Mus musculus,Angelidis_2019,0.0947286313865971,0.8358340042718863,0.9305626356584834,ECM Regulators,Antithrombin-III
PLAU,Lung,Lung,Mus musculus,Angelidis_2019,-0.12198193914372,-0.9893163232174008,-1.1112982623611207,ECM Regulators,Urokinase-type plasminogen activator;Urokinase-type plasminogen activator long chain A;Urokinase-type plasminogen activator short chain A;Urokinase-type plasminogen activator chain B
VWF,Lung,Lung,Mus musculus,Angelidis_2019,0.0868865065386179,1.2801616454543356,1.3670481519929536,ECM Glycoproteins,von Willebrand factor;von Willebrand antigen 2
THBS1,Lung,Lung,Mus musculus,Angelidis_2019,0.1941587534701739,0.3977522741784356,0.5919110276486096,ECM Glycoproteins,Thrombospondin-1
PLG,Lung,Lung,Mus musculus,Angelidis_2019,0.1016681249067136,0.249028459602912,0.3506965845096256,ECM Regulators,"Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B"
F13A1,Lung,Lung,Mus musculus,Angelidis_2019,0.1964622687009002,0.2784166101663958,0.4748788788672961,ECM Regulators,Coagulation factor XIII A chain
SERPINF2,Lung,Lung,Mus musculus,Angelidis_2019,0.2062660584540852,-0.3299655002952519,-0.1236994418411667,ECM Regulators,Alpha-2-antiplasmin
A2M,Lung,Lung,Mus musculus,Angelidis_2019,0.2170709350567347,0.9447150601002766,1.1617859951570113,ECM Regulators,Alpha-2-macroglobulin;Alpha-2-macroglobulin 165 kDa subunit;Alpha-2-macroglobulin 35 kDa subunit
FGB,Lung,Lung,Mus musculus,Angelidis_2019,0.046077303425194,1.445259897188074,1.491337200613268,ECM Glycoproteins,Fibrinogen beta chain;Fibrinopeptide B;Fibrinogen beta chain
FGG,Lung,Lung,Mus musculus,Angelidis_2019,0.051599326360834,1.393680579983876,1.4452799063447102,ECM Glycoproteins,Fibrinogen gamma chain
HPX,Lung,Lung,Mus musculus,Angelidis_2019,0.4318387724131534,0.4893573717087038,0.9211961441218572,ECM-affiliated Proteins,Hemopexin
FGA,Ovary,Ovary,Mus musculus,Dipali_2023,0.1758118202345415,0.8329891719328018,1.008800992167343,ECM Glycoproteins,Fibrinogen alpha chain;Isoform 2 of Fibrinogen alpha chain
F10,Ovary,Ovary,Mus musculus,Dipali_2023,0.0600589053753417,-0.9057188786197872,-0.8456599732444455,ECM Regulators,Coagulation factor X
F9,Ovary,Ovary,Mus musculus,Dipali_2023,0.4173314089513842,-1.981002601097144,-1.56367119214576,ECM Regulators,Coagulation factor IX
PLG,Ovary,Ovary,Mus musculus,Dipali_2023,-0.0351140508547458,0.4516041852384747,0.4164901343837288,ECM Regulators,Plasminogen
VTN,Ovary,Ovary,Mus musculus,Dipali_2023,-0.121961579750117,0.4484799134555473,0.3265183337054302,ECM Glycoproteins,Vitronectin
SERPINC1,Ovary,Ovary,Mus musculus,Dipali_2023,0.0655333698499168,-0.9332527272239968,-0.8677193573740798,ECM Regulators,Antithrombin-III
THBS1,Ovary,Ovary,Mus musculus,Dipali_2023,-0.4769551140771677,0.7205576457502207,0.243602531673053,ECM Glycoproteins,Thrombospondin-1
FGG,Ovary,Ovary,Mus musculus,Dipali_2023,0.1625512664605102,0.7881191713891106,0.9506704378496208,ECM Glycoproteins,Fibrinogen gamma chain
SERPINF2,Ovary,Ovary,Mus musculus,Dipali_2023,-0.0481038428730089,-1.4460774487107293,-1.4941812915837382,ECM Regulators,Alpha-2-antiplasmin (Fragment);Alpha-2-antiplasmin
F12,Ovary,Ovary,Mus musculus,Dipali_2023,0.0709206348898363,-1.6630412980765297,-1.592120663186693,ECM Regulators,Coagulation factor XII
F13A1,Ovary,Ovary,Mus musculus,Dipali_2023,0.0990994039599248,-1.2406364967620829,-1.1415370928021578,ECM Regulators,Coagulation factor XIII A chain
