Gene_Symbol,Protein_Name,Protease_Family,Matrisome_Category,N_Tissues,N_Up,N_Down,Consistency_Pct,Direction,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,P_Value,T_Statistic,Target_Score
ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4 (ADAM-TS 4) (ADAM-TS4) (ADAMTS-4) (EC 3.4.24.82) (ADMP-1) (Aggrecanase-1),ADAMTS,ECM Regulators,1,1,0,100.0,UP,1.963387906603653,1.963387906603653,,,0.0
TIMP3,Metalloproteinase inhibitor 3,TIMP,ECM Regulators,7,6,1,85.71428571428571,UP,0.9380965928302631,0.9380965928302631,0.07312336073189447,2.1693908528156345,0.6086498720899622
PLG,"Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B",Other_Protease,ECM Regulators,8,4,4,50.0,DOWN,0.8340519123414248,0.8340519123414248,0.11294891915037177,1.811605645214083,0.5918773202617282
MMP2,72 kDa type IV collagenase;PEX,MMP,ECM Regulators,4,3,1,75.0,UP,0.5809673122778218,0.5809673122778218,0.23373844311314645,1.4869554840034116,0.17806916688254987
CTSD,Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain,Other_Protease,ECM Regulators,6,5,1,83.33333333333334,UP,0.35673722730632784,0.35673722730632784,0.05745957491752293,2.456722204474958,0.20174355472083028
Ctsb,Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain,Other_Protease,ECM Regulators,10,8,2,80.0,UP,0.29944733092727577,0.29944733092727577,0.02379418812982254,2.7151966034651154,0.2923222248002189
CTSS,Cathepsin S,Other_Protease,ECM Regulators,1,0,1,100.0,DOWN,-0.2968722753980415,0.2968722753980415,,,0.0
Timp3,Metalloproteinase inhibitor 3,TIMP,ECM Regulators,1,1,0,100.0,UP,0.2904236155160811,0.2904236155160811,,,0.0
MMP3,Stromelysin-1,MMP,ECM Regulators,3,3,0,100.0,UP,0.2791378212647263,0.2791378212647263,0.173191959886914,2.0787840140371285,0.06923801847639757
ADAMTS5,A disintegrin and metalloproteinase with thrombospondin motifs 5 OS=Homo sapiens GN=ADAMTS5 PE=1 SV=2,ADAMTS,ECM Regulators,2,2,0,100.0,UP,0.22391331581593127,0.22391331581593127,,,0.0
MMP14,Matrix metalloproteinase-14,MMP,ECM Regulators,1,1,0,100.0,UP,0.1886027684865838,0.1886027684865838,,,0.0
CTSB,Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain,Other_Protease,ECM Regulators,7,3,4,57.14285714285714,DOWN,0.17319559250266922,0.17319559250266922,0.35120395478797395,1.010618477611405,0.07865803082471978
MMP13,Collagenase 3 OS=Homo sapiens GN=MMP13 PE=1 SV=1,MMP,ECM Regulators,2,1,1,50.0,DOWN,-0.13636505964980156,0.13636505964980156,,,0.0
Mmp9,Matrix metalloproteinase-9,MMP,ECM Regulators,1,1,0,100.0,UP,0.1295090458136241,0.1295090458136241,,,0.0
MMP1,Interstitial collagenase;22 kDa interstitial collagenase;27 kDa interstitial collagenase,MMP,ECM Regulators,1,0,1,100.0,DOWN,-0.1214746387970262,0.1214746387970262,,,0.0
TIMP1,Metalloproteinase inhibitor 1,TIMP,ECM Regulators,5,3,2,60.0,UP,0.11001416583704082,0.11001416583704082,0.4846193613427522,0.7693100517846545,0.028349585525219236
MMP12,Neprilysin,MMP,ECM Regulators,2,1,1,50.0,DOWN,0.0756803445838968,0.0756803445838968,,,0.0
Timp2,,TIMP,ECM Regulators,2,0,2,100.0,DOWN,-0.052504176311031645,0.052504176311031645,,,0.0
TIMP2,Metalloproteinase inhibitor 2,TIMP,ECM Regulators,3,1,2,66.66666666666666,DOWN,-0.04418391496097246,0.04418391496097246,0.45099205740262327,-0.9289286472964088,0.007277196074586282
Plg,"Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B",Other_Protease,ECM Regulators,8,4,4,50.0,DOWN,0.0285395569753484,0.0285395569753484,0.27974573000240516,1.1714443102245204,0.016444590220267466
Mmp2,72 kDa type IV collagenase;PEX,MMP,ECM Regulators,3,1,2,66.66666666666666,DOWN,-0.02154012049846966,0.02154012049846966,0.8175332396340815,-0.26245302260700343,0.0011791068015741815
MMP9,Matrix metalloproteinase-9;67 kDa matrix metalloproteinase-9;82 kDa matrix metalloproteinase-9,MMP,ECM Regulators,4,3,1,75.0,UP,0.019369865064413176,0.019369865064413176,0.8504965514985687,0.20527515801051477,0.0011583446496548672
