Protein,RF_Importance,GB_Importance,Avg_Importance
COL1A1,0.023178136945812583,0.11917409389889218,0.07117611542235239
F2,0.05444373307527745,0.059144406680884165,0.056794069878080805
SERPINB6,0.005623715607366134,0.09653101303464279,0.05107736432100446
FGL2,0.0,0.07825064273742598,0.03912532136871299
PAPLN,0.010433498027762516,0.06409239908662331,0.037262948557192914
CLEC11A,0.002950047925178817,0.06144478774036302,0.03219741783277092
ITIH1,0.006464065026998633,0.05421770997469218,0.030340887500845404
CTHRC1,0.006008834561181179,0.04515132553427393,0.025580080047727556
LAMB2,0.03806772532519192,0.011687121166238882,0.024877423245715402
MATN3,0.007324570966165234,0.03922104225467088,0.023272806610418056
SBSPON,0.0,0.04155343585976017,0.020776717929880086
COL18A1,0.004348953218120063,0.034912315949048894,0.01963063458358448
FRZB,0.0,0.032863091813254544,0.016431545906627272
IL17B,0.001278872825145205,0.026616130814059787,0.013947501819602496
THBS2,0.01149598755799949,0.013675335265211037,0.012585661411605263
HAPLN1,0.013228265360770292,0.011735917628965893,0.012482091494868092
SERPINH1,0.002507161495778879,0.02208319950780302,0.012295180501790948
EPYC,0.0011011135966135905,0.021312938028116846,0.011207025812365217
CILP2,0.003317344827830677,0.017219286941679488,0.010268315884755082
DCN,0.010658005944370242,0.008354772060313978,0.00950638900234211
ECM1,0.0064846520786717415,0.011111931735835537,0.00879829190725364
SERPINC1,0.01638796085410432,0.0007100457224241762,0.008549003288264247
FGB,0.016342744063537515,0.0,0.008171372031768757
F13A1,0.015319077382075965,0.00014466417398753523,0.00773187077803175
ELN,0.0136511898815464,0.001203883208363863,0.007427536544955132
S100A7,0.0,0.014488787215488602,0.007244393607744301
FN1,0.006441721803819718,0.007267633824826507,0.006854677814323112
FGG,0.013493688718838808,5.7088478924359304e-05,0.0067753885988815835
EMILIN3,0.008260868030593312,0.005051927724728046,0.006656397877660679
PLG,0.006892105679090374,0.006239343437178481,0.006565724558134428
SERPINF1,0.0050094963740388845,0.008102909861153187,0.006556203117596035
SERPINA4,0.012342110104864565,6.56281337541509e-05,0.006203869119309358
LOXL2,0.012215380741177383,7.822640880290506e-10,0.006107690761720736
CCL14,0.001758912694836779,0.010351989158817337,0.006055450926827058
HMCN1,0.011866303928703274,1.4394313852988474e-05,0.005940349121278131
SERPINF2,0.002699487677103506,0.008976012288681782,0.005837749982892644
ITIH6,0.009329092761855309,0.0021931516624259257,0.005761122212140617
FBN1,0.007906693192613716,0.003317354597812734,0.0056120238952132254
P4HA1,0.011203884385339556,7.575282195140667e-06,0.005605729833767349
PRELP,0.011047864231288545,1.8253136368375934e-06,0.005524844772462691
HTRA1,0.010905280197082643,5.773958114184872e-09,0.005452642985520379
FGFBP2,0.01081229163111047,8.996847016375021e-07,0.005406595657906054
THBS3,0.010606189519991597,1.679433799691439e-08,0.005303103157164797
MFGE8,0.010180139527731166,4.506233850295972e-06,0.005092322880790731
PRG2,0.010020022334227788,7.741082388986437e-08,0.005010049872525839
LOX,0.00970025879003829,5.0435017377239697e-05,0.004875346903707765
MXRA5,0.009567410091583916,3.848005589136294e-09,0.004783706969794753
CHRD,0.009321706761268261,7.049500160651614e-05,0.004696100881437388
NID2,0.009210195094265686,4.34750743290263e-10,0.004605097764508215
COL2A1,0.008920658642056559,1.990552228395602e-05,0.0044702820821702575
A2M,0.008674832189258129,8.7011866695606e-05,0.004380922027976867
COL6A1,0.0030892883505097344,0.005481566922778609,0.004285427636644172
ITIH2,0.008360352764070034,2.0558235701893987e-06,0.0041812042938201115
INHBA,0.008307172725854642,4.32531082178825e-05,0.004175212917036262
AEBP1,0.008329545809486253,4.6430584986731074e-07,0.00416500505766806
COL11A2,0.008079021982610608,1.602867702627719e-06,0.004040312425156618
FGA,0.008016547859215396,1.1881755469249367e-07,0.004008333338385044
CTSD,0.007990992253428137,1.919129889788756e-06,0.003996455691658963
ABI3BP,0.007817739211836745,0.00012095340745277564,0.003969346309644761
SERPINA1,0.00786698634751773,1.2574219206689301e-05,0.003939780283362209
TIMP3,0.007526349097360234,9.407209865954957e-09,0.0037631792522850502
SERPINB5,0.0074496409167269795,4.876210311297593e-05,0.0037492015099199775
HPX,0.007434771720585667,4.537850397564532e-10,0.0037173860871853536
LGALS3,0.00730926948436634,4.479505941021205e-06,0.0036568744951536803
S100A8,0.0005119688854693102,0.006767365368854328,0.0036396671271618193
CCL21,0.0070514258629855294,1.1661272951005992e-11,0.003525712937323401
SLPI,0.006932559054389091,9.843010297963065e-06,0.003471201032343527
COL28A1,0.00661647836202555,0.0,0.003308239181012775
SEMA3A,0.00616170535723767,0.0004106890543212945,0.0032861972057794822
LTBP3,0.0065371494392569745,0.0,0.0032685747196284872
COL4A6,0.005229958372026946,0.001230977898150621,0.0032304681350887837
FCN3,0.006315468709760173,6.811040650688035e-05,0.0031917895581335264
VTN,0.0019128908217864993,0.004440068418521468,0.0031764796201539836
PCOLCE,0.0062713491940412916,3.321440996171393e-05,0.003152281802001503
ANXA2;ANXA2P2,0.006278081570668366,7.508740051514428e-10,0.003139041160771186
VIT,0.006144672855073342,1.8552572175602107e-10,0.003072336520299532
ANXA1,0.00455776949901368,0.001426844301394028,0.002992306900203854
OMD,0.005945267642354716,2.3469126352274488e-08,0.002972645555740534
LAMA4,0.00568612671923655,0.00021463218165718078,0.0029503794504468655
PDGFC,0.0,0.0058868293953680505,0.0029434146976840252
SCUBE1,0.0027508954449336443,0.003129020112262883,0.002939957778598264
COL9A1,0.005833766287414509,6.940626283287721e-06,0.0029203534568488982
FBN3,0.005545867688675577,0.0,0.0027729338443377885
LTBP2,0.005463383269667134,5.587905564776716e-05,0.0027596311626574502
ITIH5,0.0039462978727672,0.00154815613010171,0.002747227001434455
VWF,0.005435335420285395,0.0,0.0027176677101426977
ANXA11,0.004433469475258111,0.0009375564157099613,0.0026855129454840363
HRG,0.005252838934054066,1.396147674409098e-13,0.0026264194670968404
COL12A1,0.005023366020362143,0.00017942354359853138,0.002601394781980337
AGRN,0.005092342743927191,4.923292403167791e-10,0.002546171618128216
EMILIN1,0.004995079542792951,1.6579796966062512e-07,0.0024976226703813057
F10,0.004980642876977466,2.9315165479392892e-08,0.0024903360960714725
