Protein_ID,Study_ID,Tissue_Compartment,Gene_Symbol,Abundance_Young,Abundance_Old,Zscore_Delta
A0A024QZ42,Randles_2021,Glomerular,PDCD6,13.054404516831411,13.228700304622132,0.9846458520422735
A0A024QZ42,Randles_2021,Tubulointerstitial,PDCD6,13.322051790494571,13.592348455958708,0.9846458520422735
A0A024R216,Randles_2021,Glomerular,HDGFRP3,13.054404516831411,13.228700304622132,0.9846458520422735
A0A024R216,Randles_2021,Tubulointerstitial,HDGFRP3,13.322051790494571,13.592348455958708,0.9846458520422735
A0A024R4E5,Randles_2021,Glomerular,HDLBP,13.054404516831411,13.228700304622132,0.9846458520422735
A0A024R4E5,Randles_2021,Tubulointerstitial,HDLBP,13.322051790494571,13.592348455958708,0.9846458520422735
A0A024R4M0,Randles_2021,Glomerular,RPS9,13.054404516831411,13.228700304622132,0.9846458520422735
A0A024R4M0,Randles_2021,Tubulointerstitial,RPS9,13.322051790494571,13.592348455958708,0.9846458520422735
A0A024R571,Randles_2021,Glomerular,EHD1,13.054404516831411,13.228700304622132,0.9846458520422735
A0A024R571,Randles_2021,Tubulointerstitial,EHD1,13.322051790494571,13.592348455958708,0.9846458520422735
A0A024R6I7,Randles_2021,Glomerular,SERPINA1,13.054404516831411,13.228700304622132,0.9846458520422735
A0A024R6I7,Randles_2021,Tubulointerstitial,SERPINA1,13.322051790494571,13.592348455958708,0.9846458520422735
A0A024RAC6,Randles_2021,Glomerular,TCEB3,13.054404516831411,13.228700304622132,0.9846458520422735
A0A024RAC6,Randles_2021,Tubulointerstitial,TCEB3,13.322051790494571,13.592348455958708,0.9846458520422735
A0A075B715,Randles_2021,Glomerular,REC8,13.054404516831411,13.228700304622132,0.9846458520422735
A0A075B715,Randles_2021,Tubulointerstitial,REC8,13.322051790494571,13.592348455958708,0.9846458520422735
A0A075B7A0,Randles_2021,Glomerular,RPL18,13.054404516831411,13.228700304622132,0.9846458520422735
A0A075B7A0,Randles_2021,Tubulointerstitial,RPL18,13.322051790494571,13.592348455958708,0.9846458520422735
A0A075B7B8,Randles_2021,Glomerular,IGHV3OR16-12,13.054404516831411,13.228700304622132,0.9846458520422735
A0A075B7B8,Randles_2021,Tubulointerstitial,IGHV3OR16-12,13.322051790494571,13.592348455958708,0.9846458520422735
A0A075B7C0,Randles_2021,Glomerular,CAPNS1,13.054404516831411,13.228700304622132,0.9846458520422735
A0A075B7C0,Randles_2021,Tubulointerstitial,CAPNS1,13.322051790494571,13.592348455958708,0.9846458520422735
A0A075B7D9,Randles_2021,Glomerular,TAF15,13.054404516831411,13.228700304622132,0.9846458520422735
A0A075B7D9,Randles_2021,Tubulointerstitial,TAF15,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WQ70,Dipali_2023,Ovary,SERPINE2,19.081354596065317,19.135263626994472,
A0A087WR20,Tsumagari_2023,Cortex,Ctsh,21.281449740068453,21.36140927259177,0.024782625051505254
A0A087WR20,Tsumagari_2023,Hippocampus,Ctsh,27.67407062170647,27.819305979281637,0.024782625051505254
A0A087WR50,Angelidis_2019,Lung,FN1,29.276972411347536,29.476609785628018,0.017459237812922995
A0A087WR50,Dipali_2023,Ovary,FN1,19.081354596065317,19.135263626994472,0.017459237812922995
A0A087WSN6,Angelidis_2019,Lung,FN1,29.276972411347536,29.476609785628018,
A0A087WSY9,Randles_2021,Glomerular,TXNRD1,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WSY9,Randles_2021,Tubulointerstitial,TXNRD1,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WSZ2,Randles_2021,Glomerular,ACTN3,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WSZ2,Randles_2021,Tubulointerstitial,ACTN3,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WT12,Randles_2021,Glomerular,GPX4,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WT12,Randles_2021,Tubulointerstitial,GPX4,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WT59,Randles_2021,Glomerular,TTR,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WT59,Randles_2021,Tubulointerstitial,TTR,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WTA8,Randles_2021,Glomerular,COL1A2,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WTA8,Randles_2021,Tubulointerstitial,COL1A2,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WTI1,Randles_2021,Glomerular,RAB1B,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WTI1,Randles_2021,Tubulointerstitial,RAB1B,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WTZ4,Randles_2021,Glomerular,1,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WTZ4,Randles_2021,Tubulointerstitial,1,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WU02,Randles_2021,Glomerular,ERGIC2,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WU02,Randles_2021,Tubulointerstitial,ERGIC2,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WU08,Randles_2021,Glomerular,HP,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WU08,Randles_2021,Tubulointerstitial,HP,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WU70,Randles_2021,Glomerular,CHST13,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WU70,Randles_2021,Tubulointerstitial,CHST13,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WUA0,Randles_2021,Glomerular,FGA,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WUA0,Randles_2021,Tubulointerstitial,FGA,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WUA5,Randles_2021,Glomerular,EHD4,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WUA5,Randles_2021,Tubulointerstitial,EHD4,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WUB9,Randles_2021,Glomerular,CTNNBL1,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WUB9,Randles_2021,Tubulointerstitial,CTNNBL1,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WUC6,Randles_2021,Glomerular,SPCS2,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WUC6,Randles_2021,Tubulointerstitial,SPCS2,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WUD3,Randles_2021,Glomerular,OSTC,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WUD3,Randles_2021,Tubulointerstitial,OSTC,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WUF0,Randles_2021,Glomerular,CYP4F3,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WUF0,Randles_2021,Tubulointerstitial,CYP4F3,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WUF6,Randles_2021,Glomerular,FGF2,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WUF6,Randles_2021,Tubulointerstitial,FGF2,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WUK2,Randles_2021,Glomerular,HNRNPDL,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WUK2,Randles_2021,Tubulointerstitial,HNRNPDL,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WUL0,Randles_2021,Glomerular,TKFC,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WUL0,Randles_2021,Tubulointerstitial,TKFC,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WUM3,Randles_2021,Glomerular,KCTD14,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WUM3,Randles_2021,Tubulointerstitial,KCTD14,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WUQ6,Randles_2021,Glomerular,GPX1,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WUQ6,Randles_2021,Tubulointerstitial,GPX1,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WUS0,Randles_2021,Glomerular,RPS24,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WUS0,Randles_2021,Tubulointerstitial,RPS24,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WUT0,Randles_2021,Glomerular,MYEF2,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WUT0,Randles_2021,Tubulointerstitial,MYEF2,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WUY4,Randles_2021,Glomerular,CYP4A22,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WUY4,Randles_2021,Tubulointerstitial,CYP4A22,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WUZ3,Randles_2021,Glomerular,SPTBN1,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WUZ3,Randles_2021,Tubulointerstitial,SPTBN1,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WUZ8,Randles_2021,Glomerular,MRPS34,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WUZ8,Randles_2021,Tubulointerstitial,MRPS34,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WV24,Randles_2021,Glomerular,DDC,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WV24,Randles_2021,Tubulointerstitial,DDC,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WV68,Randles_2021,Glomerular,TARDBP,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WV68,Randles_2021,Tubulointerstitial,TARDBP,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WV90,Randles_2021,Glomerular,DMD,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WV90,Randles_2021,Tubulointerstitial,DMD,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WVA8,Randles_2021,Glomerular,TEX2,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WVA8,Randles_2021,Tubulointerstitial,TEX2,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WVD1,Randles_2021,Glomerular,LENG9,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WVD1,Randles_2021,Tubulointerstitial,LENG9,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WVQ6,Randles_2021,Glomerular,CLTC,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WVQ6,Randles_2021,Tubulointerstitial,CLTC,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WVT8,Randles_2021,Glomerular,KCP,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WVT8,Randles_2021,Tubulointerstitial,KCP,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WVZ9,Randles_2021,Glomerular,POLR2E,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WVZ9,Randles_2021,Tubulointerstitial,POLR2E,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WW63,Randles_2021,Glomerular,CACNA1A,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WW63,Randles_2021,Tubulointerstitial,CACNA1A,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WW83,Randles_2021,Glomerular,GPR179,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WW83,Randles_2021,Tubulointerstitial,GPR179,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WW88,Randles_2021,Glomerular,CHMP2B,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WW88,Randles_2021,Tubulointerstitial,CHMP2B,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WWA3,Randles_2021,Glomerular,KIF1B,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WWA3,Randles_2021,Tubulointerstitial,KIF1B,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WWE2,Randles_2021,Glomerular,POLR2A,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WWE2,Randles_2021,Tubulointerstitial,POLR2A,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WWI6,Randles_2021,Glomerular,DCAF7,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WWI6,Randles_2021,Tubulointerstitial,DCAF7,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WWM1,Randles_2021,Glomerular,MUC1,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WWM1,Randles_2021,Tubulointerstitial,MUC1,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WWS1,Randles_2021,Glomerular,THOC1,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WWS1,Randles_2021,Tubulointerstitial,THOC1,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WWT4,Randles_2021,Glomerular,TSPAN10,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WWT4,Randles_2021,Tubulointerstitial,TSPAN10,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WWY8,Randles_2021,Glomerular,CFAP99,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WWY8,Randles_2021,Tubulointerstitial,CFAP99,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WX08,Randles_2021,Glomerular,ADD3,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WX08,Randles_2021,Tubulointerstitial,ADD3,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WX99,Randles_2021,Glomerular,CDH4,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WX99,Randles_2021,Tubulointerstitial,CDH4,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WXF0,Randles_2021,Glomerular,MECP2,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WXF0,Randles_2021,Tubulointerstitial,MECP2,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WXF6,Randles_2021,Glomerular,NDUFS7,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WXF6,Randles_2021,Tubulointerstitial,NDUFS7,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WXM2,Randles_2021,Glomerular,GSTA3,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WXM2,Randles_2021,Tubulointerstitial,GSTA3,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WXV4,Randles_2021,Glomerular,HNF4A,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WXV4,Randles_2021,Tubulointerstitial,HNF4A,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WY00,Randles_2021,Glomerular,MYO5A,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WY00,Randles_2021,Tubulointerstitial,MYO5A,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WY71,Randles_2021,Glomerular,AP2M1,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WY71,Randles_2021,Tubulointerstitial,AP2M1,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WYA1,Randles_2021,Glomerular,MYO15A,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WYA1,Randles_2021,Tubulointerstitial,MYO15A,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WYC5,Randles_2021,Glomerular,IGHG1,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WYC5,Randles_2021,Tubulointerstitial,IGHG1,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WYD8,Randles_2021,Glomerular,AOC1,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WYD8,Randles_2021,Tubulointerstitial,AOC1,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WYG8,Randles_2021,Glomerular,INA,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WYG8,Randles_2021,Tubulointerstitial,INA,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WYS1,Randles_2021,Glomerular,UGP2,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WYS1,Randles_2021,Tubulointerstitial,UGP2,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WYT3,Randles_2021,Glomerular,PTGES3,13.054404516831411,13.228700304622132,0.9846458520422735
A0A087WYT3,Randles_2021,Tubulointerstitial,PTGES3,13.322051790494571,13.592348455958708,0.9846458520422735
A0A087WYU1,Randles_2021,Glomerular,SNX9,13.054404516831411,13.228700304622132,0.9846458520422735
