Gene_Symbol,N_Measurements,N_Studies,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,Std_Zscore_Delta,Direction_Consistency,Dominant_Direction,Cumulative_Effect,Combined_P_Value,Is_Weak_Signal
PRSS2,5,2,0.025082626875862907,0.025082626875862907,0.22734622421245093,0.6,decrease,0.12541313437931453,0.7353571783899365,False
MATN2,9,4,-0.10245008121132654,0.10245008121132654,0.5420296089677953,0.5555555555555556,decrease,-0.9220507309019388,0.61293448139084,False
AGRN,10,5,-0.18206901919041227,0.18206901919041227,0.32820001857835973,0.7,decrease,-1.8206901919041227,0.6063648797533152,False
PLOD2,3,1,-0.10407963200602931,0.10407963200602931,0.06563453950668766,1.0,decrease,-0.3122388960180879,0.5845863026524236,False
NELL1,4,2,0.11721597939258753,0.11721597939258753,0.4055362039293688,0.5,decrease,0.4688639175703501,0.7336294196224542,False
SEMA3E,3,1,0.057630819638656905,0.057630819638656905,0.3128543010006546,0.6666666666666666,decrease,0.17289245891597071,0.6675532052045732,False
LAMA5,8,5,-0.10840926181449184,0.10840926181449184,0.26116640637057015,0.75,decrease,-0.8672740945159347,0.6808257413996706,False
MATN3,3,1,-1.000424115967756,1.000424115967756,0.30602558542765385,1.0,decrease,-3.001272347903268,0.08028351178831095,False
CHAD,3,1,-0.19396339654720707,0.19396339654720707,0.13567555520068278,1.0,decrease,-0.5818901896416212,0.51869720512451,False
P4HA2,5,3,-0.31378495873038237,0.31378495873038237,0.4729607916639139,0.6,decrease,-1.5689247936519117,0.39308282091640107,False
EDIL3,3,1,-0.050960107988062164,0.050960107988062164,0.12305521788580599,0.6666666666666666,decrease,-0.1528803239641865,0.6177610483179508,False
SRPX2,4,2,0.015580860053251835,0.015580860053251835,0.1375189872285556,0.75,increase,0.06232344021300734,0.6815674013649963,False
SLIT3,3,1,-0.7101640506452735,0.7101640506452735,0.6556661284359037,0.6666666666666666,decrease,-2.1304921519358206,0.1445399820646794,False
CILP,5,3,0.8710693426945131,0.8710693426945131,0.6671512722792663,1.0,increase,4.355346713472565,0.05047511155772581,False
CRLF1,3,1,0.9262204024696703,0.9262204024696703,0.19869454943616802,1.0,increase,2.778661207409011,0.1059224695453147,False
CLEC3A,3,1,-0.7942434790763403,0.7942434790763403,0.4762284613647515,1.0,decrease,-2.382730437229021,0.13346377899164233,False
FCN3,3,1,0.6303325475721668,0.6303325475721668,0.21794360126106735,1.0,increase,1.8909976427165005,0.23133298635469168,False
ECM2,4,2,-0.2609506916035267,0.2609506916035267,0.09745795757413585,1.0,decrease,-1.0438027664141067,0.4925644278587118,False
SEMA3D,3,1,0.0835970652270851,0.0835970652270851,0.06791056570390852,0.6666666666666666,increase,0.2507911956812553,0.5984804375669621,False
CCN6,2,1,-0.05206601377218022,0.05206601377218022,0.2097221313076636,0.5,decrease,-0.10413202754436043,0.5579625332652001,False
MATN4,3,1,-0.1368106349372141,0.1368106349372141,0.24272412909663266,0.6666666666666666,decrease,-0.4104319048116423,0.5477908707318111,False
EFEMP2,3,1,0.054247319259626225,0.054247319259626225,0.11217775887685065,0.6666666666666666,decrease,0.16274195777887868,0.6864032811956959,False
F13A1,7,4,0.19198984504920671,0.19198984504920671,0.7689193340403102,0.5714285714285714,increase,1.343928915344447,0.3991384470817553,False
F2,14,8,0.4784004036981658,0.4784004036981658,0.8533868567498339,0.7857142857142857,increase,6.697605651774321,0.06836466967856498,False
PLG,8,5,0.8340519123414248,0.8340519123414248,1.218087361563991,0.5,decrease,6.672415298731399,0.9533011925504754,False
F12,7,5,0.34510577740472914,0.34510577740472914,0.4131097017886516,0.8571428571428571,increase,2.415740441833104,0.3796381374103375,False
SERPINC1,8,5,0.6917881033815407,0.6917881033815407,1.335953236754281,0.625,increase,5.534304827052326,0.006187801391181405,False
SERPINA1,10,5,0.3900365751958458,0.3900365751958458,0.4886591269315369,0.6,increase,3.900365751958458,0.29813663536206675,False
SERPINA3,10,5,0.2750957077975833,0.2750957077975833,0.4425326844580617,0.8,increase,2.750957077975833,0.4565808064528355,False
AGT,8,5,-0.18924588214028773,0.18924588214028773,0.8883088841299479,0.5,decrease,-1.5139670571223018,0.30315104292673517,False
A2M,8,5,0.4526963934658959,0.4526963934658959,0.5561087911324718,0.75,increase,3.6215711477271673,0.23263563473807633,False
TIMP1,5,2,0.11001416583704082,0.11001416583704082,0.2860073531649006,0.6,increase,0.5500708291852041,0.6176473153381062,False
CST3,6,3,0.05535741917194828,0.05535741917194828,0.16801096720119357,0.5,decrease,0.3321445150316897,0.7925910721097422,False
KNG1,7,5,0.6527320983499096,0.6527320983499096,0.8270132110157135,0.5714285714285714,increase,4.569124688449367,0.06529791877698639,False
TGFB1,3,1,0.06569377084860824,0.06569377084860824,0.08707619221775696,0.6666666666666666,increase,0.1970813125458247,0.6098189611648468,False
IGF2,2,1,-0.060079336822392554,0.060079336822392554,0.028474155624740347,1.0,decrease,-0.12015867364478511,0.5628558797514802,False
COL1A1,8,5,-0.05940191925367057,0.05940191925367057,0.3643297599774154,0.625,increase,-0.47521535402936455,0.8104585536754436,False
COL2A1,6,3,0.11355528005198055,0.11355528005198055,0.7327598346615842,0.5,decrease,0.6813316803118833,0.6909641997057747,False
COL3A1,10,5,-0.24409723861614108,0.24409723861614108,0.3454209473646051,0.7,decrease,-2.4409723861614108,0.5237695615883721,False
FGA,10,5,0.7075108772488362,0.7075108772488362,1.0819116582947628,0.8,increase,7.075108772488362,0.009290462742314312,False
FGB,8,5,0.8946244408992193,0.8946244408992193,0.9360504433679707,0.875,increase,7.156995527193755,0.008345185769412754,False
FGG,8,5,0.8766169966808384,0.8766169966808384,1.0935269269224768,0.75,increase,7.012935973446707,0.005064415868924983,False
C1QB,6,4,0.24496743863676307,0.24496743863676307,0.5163785895617696,0.6666666666666666,increase,1.4698046318205784,0.4473839434825727,False
FN1,8,5,0.2288793111476802,0.2288793111476802,0.5443512987994122,0.625,increase,1.8310344891814416,0.4616387344598162,False
AMBP,8,5,0.6179412953407062,0.6179412953407062,0.6513805072717832,0.75,increase,4.9435303627256495,0.09746235648419849,False
HPX,8,5,1.0050720136416453,1.0050720136416453,1.0542309028017187,0.75,increase,8.040576109133163,0.002306917148921818,False
SLPI,9,4,0.028482239892731267,0.028482239892731267,0.39222800521601436,0.6666666666666666,decrease,0.2563401590345814,0.7973843353115396,False
VTN,8,5,1.318911080793891,1.318911080793891,1.0650756075304408,0.875,increase,10.551288646351129,0.00012179743599865723,False
ANXA1,8,5,-0.24313303845827233,0.24313303845827233,0.33540545701226865,0.75,decrease,-1.9450643076661787,0.5149638905676696,False
HRG,8,5,0.6332291739319413,0.6332291739319413,0.8138836722864238,0.625,increase,5.065833391455531,0.06273777565457622,False
SERPINE1,4,2,0.08248756907183502,0.08248756907183502,0.36465741144486397,0.5,decrease,0.3299502762873401,0.7183222280331691,False
SERPINA5,6,3,-0.1561965206973348,0.1561965206973348,0.16283194367074547,0.8333333333333334,decrease,-0.9371791241840088,0.614739385328438,False
SERPING1,10,5,0.12024208660375194,0.12024208660375194,0.43966042843351827,0.6,increase,1.2024208660375193,0.6435558970097461,False
CLEC3B,5,3,0.027271992888374362,0.027271992888374362,0.37832870446440237,0.6,increase,0.13635996444187182,0.6665709832857225,False
COL5A2,10,5,-0.37021545536941874,0.37021545536941874,0.3297766740777335,0.9,decrease,-3.7021545536941876,0.3702738695488943,False
S100A9,11,5,0.2156586334038839,0.2156586334038839,0.4245606074812967,0.5454545454545454,increase,2.3722449674427226,0.5384164652951324,False
S100A6,4,3,-0.035487781433808825,0.035487781433808825,0.15799036369375152,0.5,decrease,-0.1419511257352353,0.665239404074578,False
SERPINE2,4,2,0.4082565941477477,0.4082565941477477,0.2561804264994851,1.0,increase,1.6330263765909907,0.3606524182665232,False
CTSD,6,4,0.35673722730632784,0.35673722730632784,0.3246963327431734,0.8333333333333334,increase,2.140423363837967,0.393715969330315,False
ANXA2,8,5,-0.22327288469154202,0.22327288469154202,0.4126239554020047,0.625,decrease,-1.7861830775323362,0.514090422789324,False
DCN,8,5,0.03162510678876691,0.03162510678876691,0.30930070837501417,0.625,increase,0.2530008543101353,0.7454581569267932,False
CTSB,7,4,0.17319559250266922,0.17319559250266922,0.41978336704592584,0.5714285714285714,decrease,1.2123691475186846,0.8543671264710773,False
LAMB1,8,5,-0.390870314170709,0.390870314170709,0.7231492630387936,0.75,decrease,-3.126962513365672,0.2155700189399343,False
THBS1,5,3,-0.11277261616617247,0.11277261616617247,0.3590109492396496,0.6,decrease,-0.5638630808308623,0.5998713519214791,False
COL1A2,8,5,-0.19006324886830506,0.19006324886830506,0.27096258666313877,0.75,decrease,-1.5205059909464405,0.5909864078572884,False
ANXA6,8,5,-0.07337344173423747,0.07337344173423747,0.5486080899913596,0.625,decrease,-0.5869875338738998,0.6307181503272014,False
SERPINA6,5,3,0.9884111368166959,0.9884111368166959,0.6087061579698371,1.0,increase,4.9420556840834795,0.032030472133725264,False
MMP2,4,2,0.5809673122778218,0.5809673122778218,0.676728330624061,0.75,increase,2.3238692491112873,0.17527908387792754,False
MMP3,3,1,0.2791378212647263,0.2791378212647263,0.1898997153808218,1.0,increase,0.8374134637941789,0.4549706903651559,False
INHBA,3,1,0.30496775933932657,0.30496775933932657,0.30700058324024926,1.0,increase,0.9149032780179797,0.4228717648693123,False
SERPINF2,8,5,0.6314849186405268,0.6314849186405268,0.7953187260624354,0.625,increase,5.051879349124214,0.0673034366043077,False
ANXA5,7,5,0.11697529462000113,0.11697529462000113,0.7454949482203678,0.5714285714285714,decrease,0.8188270623400079,0.7073636110708139,False
LGALS1,8,5,-0.06786786178979513,0.06786786178979513,0.6164430079081056,0.5,decrease,-0.5429428943183611,0.598654480370939,False
SPARC,5,3,-0.033831372794234364,0.033831372794234364,0.46810684160585936,0.6,decrease,-0.16915686397117183,0.6410673150156126,False
ANXA4,8,5,-0.17400350633305817,0.17400350633305817,0.4424918815466358,0.75,decrease,-1.3920280506644653,0.5630736799498894,False
SPP1,3,1,-0.45150912804633364,0.45150912804633364,0.27626707955058916,1.0,decrease,-1.3545273841390009,0.3305396995448793,False
