Author,DOI,Organ,Organism,Method,Raw data,Raw data ID,Folder
Angelidis et al.,10.1038/s41467-019-08831-9,Lung,Mouse,LFQ,https://www.ebi.ac.uk/pride/archive/projects/PXD012307,PXD012307,https://drive.google.com/drive/folders/1k55hyGkeLsYGfBoY3yJ3lY8SdQQ2Nh11?usp=drive_link
Ariosa-­Morejon et al.,10.7554/eLife.66635,Tibia; knee joint; skin,Mouse,SILAC,https://www.ebi.ac.uk/pride/archive/projects/PXD023180,PXD023180,https://drive.google.com/drive/folders/1IIV9DiUTdzPd3THGR4Jcw7TN7gX_hJPT?usp=drive_link
Caldeira et al.,10.1038/s41598-017-11960-0,Intervertebral disc,Cow,iTRAQ,https://www.ebi.ac.uk/pride/archive/projects/PXD005616,PXD005616,https://drive.google.com/drive/folders/1L96XsTzpCPw54cj1-a_msqsCXWGqySLt?usp=drive_link
,,Intervertebral disc,Cow,iTRAQ,https://www.ebi.ac.uk/pride/archive/projects/PXD004922,PXD004922,
Chmelova et al.,10.3389/fncel.2023.1296455,Brain,Mouse,LFQ,n/a,n/a,https://drive.google.com/drive/folders/1aA9IIe7eoYJnerDgs9DIWG3UvC9-x4rK?usp=drive_link
Dipali et al.,10.18632/aging.205190,Ovary,Mouse,LFQ,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?task=13fe684e74b34dcaa087c6960e5a40ac,PXD041789,https://drive.google.com/drive/folders/1mFcOXsxOK3uIFD4wZOil4cba0JN7Jtbt?usp=drive_link
Li et al.,10.3389/fcell.2021.783456,Skin,Human,LFQ,https://www.iprox.cn/page/project.html?id=IPX0001877000,PXD016440,https://drive.google.com/drive/folders/1NxQBhDqwFw3SH_ErZNnXAvJLRBrvZh1M?usp=drive_link
Li et al.,10.1038/s41467-021-21261-w,Pancreas,Human,DiLeu,http://www.ebi.ac.uk/pride/archive/projects/PXD020130,PXD020130,https://drive.google.com/drive/folders/1aXR_LgSRm1DN1UcG-u_hWNDQzD0Lhq4H?usp=drive_link
Lofaro et al.,10.3390/ijms221910564,Skeletal muscle,Mouse,LFQ,http://www.ebi.ac.uk/pride/archive/projects/PXD027895,PXD027895,https://drive.google.com/drive/folders/1qtehzZPaZ8NhKDUM4PMPsHJ0UwSdFQWN?usp=drive_link
McCabe et al.,10.1016/j.mbplus.2020.100041,Skin,Human,QconCAT,http://www.ebi.ac.uk/pride/archive/projects/PXD015982,PXD015982,https://drive.google.com/drive/folders/1t4XI2q6Zu31joLLtnnLuGa4rL8G7AKQM?usp=drive_link
Ouni et al.,10.1016/j.matbio.2022.03.005,Ovary,Human,TMT,https://www.ebi.ac.uk/pride/archive/projects/PXD025940,PXD025940,https://drive.google.com/drive/folders/17uGWwFoyQDJkSGLS6qx21EHfBZqFQan3?usp=drive_link
Randles et al.,10.1681/ASN.2020101442,Kidney,Mouse,LFQ,http://www.ebi.ac.uk/pride/archive/projects/PXD022363,PXD022363,https://drive.google.com/drive/folders/1Sw7Hv-fCFN8SY3YWj-Uw5IcwzXoMmI7Y?usp=drive_link
,,Kidney,Mouse,LFQ,http://www.ebi.ac.uk/pride/archive/projects/PXD022392,PXD022392,
,,Kidney,Mouse,LFQ,http://www.ebi.ac.uk/pride/archive/projects/PXD022227,PXD022227,
,,Kidney,Human,LFQ,http://www.ebi.ac.uk/pride/archive/projects/PXD022219,PXD022219,
Tam et al.,10.7554/eLife.64940,Intervertebral disc,Human,LFQ,https://www.ebi.ac.uk/pride/archive/projects/PXD017740,PXD017740,https://drive.google.com/drive/folders/1r9oozHNZi88xnUnV33WkBojpmx10rput?usp=drive_link
,,Intervertebral disc,Human,SILAC,http://www.ebi.ac.uk/pride/archive/projects/PXD018193,PXD018193,
,,Intervertebral disc,Human,TMT,http://www.ebi.ac.uk/pride/archive/projects/PXD018298,PXD018298,
Tsumagari et al.,10.1038/s41598-023-45570-w,Brain,Mouse,TMT,https://repository.jpostdb.org/entry/JPST001514,PXD041485,https://drive.google.com/drive/folders/1Q-9-Rv0iW9lZWL1cr-jsu_QJTe_I-GjM?usp=drive_link
