Protein,N_measurements,N_studies,N_tissues,Tissues,Studies,Category,Division,Mean_Zscore_Delta,Std_Zscore_Delta,Min_Zscore_Delta,Max_Zscore_Delta,Pct_Increasing,Mean_Old_Abundance,Mean_Young_Abundance
VTN,8,5,8,"Intervertebral_disc_NP, Intervertebral_disc_IAF, Intervertebral_disc_OAF, Heart_Native_Tissue, Skin dermis, Kidney_Glomerular, Kidney_Tubulointerstitial, Ovary_Cortex","Tam_2020, Santinha_2024_Human, LiDermis_2021, Randles_2021, Ouni_2022",ECM Glycoproteins,Core matrisome,1.318911080793891,1.138613718396862,-0.4304180663457554,2.9147790715506203,87.5,17571.471007751356,8971.201700476817
FGB,8,5,8,"Intervertebral_disc_NP, Intervertebral_disc_IAF, Intervertebral_disc_OAF, Heart_Native_Tissue, Skin dermis, Kidney_Glomerular, Kidney_Tubulointerstitial, Ovary_Cortex","Tam_2020, Santinha_2024_Human, LiDermis_2021, Randles_2021, Ouni_2022",ECM Glycoproteins,Core matrisome,0.8946244408992193,1.0006800159487974,-0.0323990238442088,2.600559644634628,87.5,70982.71597427184,19268.212028502767
Pcolce,8,5,8,"Lung, Ovary, Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL, Heart_Native_Tissue, Heart_Decellularized_Tissue","Angelidis_2019, Dipali_2023, Schuler_2021, Santinha_2024_Mouse_NT, Santinha_2024_Mouse_DT",ECM Glycoproteins,Core matrisome,-0.8249345752651844,0.8354528957259116,-1.9709283032828968,0.0802951409417245,12.5,23131.454391185875,18248.89562109357
FGA,10,5,8,"Intervertebral_disc_NP, Intervertebral_disc_IAF, Intervertebral_disc_OAF, Heart_Native_Tissue, Skin dermis, Kidney_Glomerular, Kidney_Tubulointerstitial, Ovary_Cortex","Tam_2020, Santinha_2024_Human, LiDermis_2021, Randles_2021, Ouni_2022",ECM Glycoproteins,Core matrisome,0.7075108772488362,1.1404350224337512,-0.5987056467640957,2.904223006672848,80.0,18056.65737616806,6158.618068845442
FGG,8,5,8,"Intervertebral_disc_NP, Intervertebral_disc_IAF, Intervertebral_disc_OAF, Heart_Native_Tissue, Skin dermis, Kidney_Glomerular, Kidney_Tubulointerstitial, Ovary_Cortex","Tam_2020, Santinha_2024_Human, LiDermis_2021, Randles_2021, Ouni_2022",ECM Glycoproteins,Core matrisome,0.8766169966808384,1.1690294582159122,-0.3016536039523329,2.890338500031436,75.0,69017.92783681309,34820.7605961516
ITIH1,8,5,8,"Intervertebral_disc_NP, Intervertebral_disc_IAF, Intervertebral_disc_OAF, Heart_Native_Tissue, Skin dermis, Kidney_Glomerular, Kidney_Tubulointerstitial, Ovary_Cortex","Tam_2020, Santinha_2024_Human, LiDermis_2021, Randles_2021, Ouni_2022",ECM Regulators,Matrisome-associated,0.6863276009367996,1.0573837488130424,-0.9028767376227252,2.511990422314238,87.5,1125.066368206079,1520.558548368518
Ctsf,7,5,7,"Ovary, Skeletal_muscle_Soleus, Skeletal_muscle_TA, Brain_Cortex, Brain_Hippocampus, Heart_Native_Tissue, Heart_Decellularized_Tissue","Dipali_2023, Schuler_2021, Tsumagari_2023, Santinha_2024_Mouse_NT, Santinha_2024_Mouse_DT",ECM Regulators,Matrisome-associated,0.7774724633378417,0.7859450480119888,-0.0073985390258923,2.1424854320950724,85.71428571428571,28321.887599079422,17511.499007101826
VIT,4,2,4,"Intervertebral_disc_NP, Intervertebral_disc_IAF, Intervertebral_disc_OAF, Skin dermis","Tam_2020, LiDermis_2021",ECM Glycoproteins,Core matrisome,-0.9767647112103883,0.8483351620589166,-2.109319728560796,-0.1013224495208338,0.0,20.403985257672574,23.996435036487746
Aspn,8,5,8,"Lung, Ovary, Skeletal_muscle_Soleus, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA, Skeletal_muscle_EDL, Heart_Native_Tissue, Heart_Decellularized_Tissue","Angelidis_2019, Dipali_2023, Schuler_2021, Santinha_2024_Mouse_NT, Santinha_2024_Mouse_DT",Proteoglycans,Core matrisome,0.4126795693589933,0.6040202114096187,-0.1978159613369907,1.3380693965324342,75.0,115711.94709237278,87762.88526571983
LAMB1,8,5,8,"Intervertebral_disc_NP, Intervertebral_disc_IAF, Intervertebral_disc_OAF, Heart_Native_Tissue, Skin dermis, Kidney_Glomerular, Kidney_Tubulointerstitial, Ovary_Cortex","Tam_2020, Santinha_2024_Human, LiDermis_2021, Randles_2021, Ouni_2022",ECM Glycoproteins,Core matrisome,-0.390870314170709,0.7730790805112097,-2.201500554755228,0.3261995765468516,25.0,240472.27292845823,226105.80639784152
