Study_ID,Pseudotime,PC1,PC2,Tissue,Species
Schuler_2021,-58.16389223966935,-58.16389223966935,3.184416769387428,Skeletal_muscle_Soleus,Mus musculus
Santinha_2024_Mouse_NT,3.41238808352906,3.41238808352906,-5.220372660527805,Heart_Native_Tissue,Mus musculus
Santinha_2024_Mouse_DT,3.8024332852024783,3.8024332852024783,-7.707041480702283,Heart_Decellularized_Tissue,Mus musculus
Caldeira_2017,4.016338966554299,4.016338966554299,-2.2450894078345516,Intervertebral_disc_Nucleus_pulposus,Bos taurus
Angelidis_2019,4.5724982112502985,4.5724982112502985,-10.900395454186265,Lung,Mus musculus
Ouni_2022,4.653525992720855,4.653525992720855,-1.0772956495426078,Ovary_Cortex,Homo sapiens
Dipali_2023,4.664600005958053,4.664600005958053,-3.2664840621487303,Ovary,Mus musculus
Randles_2021,5.359353262566351,5.359353262566351,-3.691732560469892,Kidney_Glomerular,Homo sapiens
LiDermis_2021,5.609322524726534,5.609322524726534,-3.9783375038388162,Skin dermis,Homo sapiens
Tsumagari_2023,5.866407915343414,5.866407915343414,-6.379960138549066,Brain_Cortex,Mus musculus
Santinha_2024_Human,6.657878281018629,6.657878281018629,1.1190356141602704,Heart_Native_Tissue,Homo sapiens
Tam_2020,9.549145710799044,9.549145710799044,40.163256534252085,Intervertebral_disc_NP,Homo sapiens
