Tissue,Target_Aging_Magnitude,VTN,TENA,F2,TIMP3,ADAMTS4,PLG,FGB,FGG,FGA,IL17B
NP,0.6096816729358258,2.9147790715506203,0.0,2.2662605809177805,0.6478449233496578,0.0,2.5741242986134667,2.600559644634628,2.890338500031436,2.904223006672848,-1.8298120244534333
IAF,0.4651539556181471,2.700568719284795,0.0,2.089382287446438,0.907393033140784,0.0,2.66376640893791,2.083182129127694,2.2223187273005296,2.352679305821766,-1.1943793978241133
OAF,0.37564528910583767,1.4034545904930198,0.0,1.3440608826566112,1.030801626177056,0.0,1.867780712776438,1.2802741874221053,1.3490565064585789,1.3621161344017438,-1.2412866159878913
Lung,0.15352865344504868,0.3512190704726974,0.0,0.1532132584987627,0.2904236155160811,0.0,0.1016681249067136,0.046077303425194,0.051599326360834,0.0355849509779742,0.0
Ovary,0.14627609413905562,-0.121961579750117,0.0,0.0,0.0,0.0,-0.0351140508547458,0.1803570771894951,0.1625512664605102,0.1758118202345415,0.0
Skeletal_muscle_Soleus,0.30024080728876656,0.0,0.0,-0.1151071413615128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skeletal_muscle_Gastrocnemius,0.2531329805114638,0.0,0.0,0.070950279694108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skeletal_muscle_TA,0.31683853738577306,0.0,0.0,0.3352042861426409,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skeletal_muscle_EDL,0.28974375646534745,0.0,0.0,0.1874263329035564,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cortex,0.20250638929201448,1.766139652316271,0.0,0.7132780720863754,0.0,0.0,0.2899869059713602,-0.0323990238442088,0.4215569238604847,0.062363402424954,0.0
Hippocampus,0.08130698985549184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nucleus_pulposus,1.0835289885473907,0.0,-2.740813453889599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Native_Tissue,0.33392712244896533,1.18184154195977,0.0,0.3007869512834993,3.141208179502989,1.963387906603653,-0.1936952123649446,0.7531559820111289,0.55213664417412,0.4907371115520871,0.0
Decellularized_Tissue,0.418290920006654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin dermis,0.5562102963897183,0.5977770670716107,0.0,-1.0411413062513342,1.237967176507091,0.0,-0.2370964608840878,0.1262066609658161,-0.1616484052814364,-0.5987056467640957,0.0
Glomerular,0.27017788943730026,0.4171460700207978,0.0,0.1423668649914931,-0.5376416720368191,0.0,-0.1010911231709834,0.0576800282848828,0.0408306808553275,0.2839642276739732,0.0
Tubulointerstitial,0.26916247786493525,-0.4304180663457554,0.0,-0.0498626485175967,0.1391028831710835,0.0,-0.1913602311477608,0.2883359185917086,-0.3016536039523329,-0.03311649848444344,0.0
